Precinct	total_votes	votes|Camille Lilly
29001	470	470
29004	380	380
29005	294	294
29007	375	375
29009	400	400
29010	479	479
29012	442	442
29013	377	377
29015	413	413
29017	320	320
29023	372	372
29024	262	262
29025	429	429
29026	360	360
29027	322	322
29030	206	206
29033	265	265
29035	275	275
29036	51	51
29037	348	348
29040	402	402
29041	278	278
29043	448	448
29044	458	458
37018	268	268
37029	154	154
37035	330	330
37037	332	332
Leyden 3	412	412
Leyden 5	336	336
Leyden 6	478	478
Leyden 7	200	200
Leyden 8	450	450
Leyden 9	466	466
Leyden 10	473	473
Leyden 11	367	367
Leyden 13	425	425
Leyden 14	300	300
Leyden 16	402	402
Leyden 19	378	378
Leyden 20	186	186
Leyden 22	278	278
Leyden 26	568	568
Leyden 30	424	424
Leyden 34	158	158
Leyden 36	355	355
Leyden 39	271	271
Leyden 46	314	314
Leyden 50	510	510
Oak Park 1	494	494
Oak Park 2	826	826
Oak Park 3	861	861
Oak Park 4	709	709
Oak Park 5	752	752
Oak Park 6	814	814
Oak Park 7	524	524
Oak Park 8	665	665
Oak Park 9	421	421
Oak Park 10	643	643
Oak Park 11	604	604
Oak Park 12	358	358
Oak Park 13	640	640
Oak Park 14	702	702
Oak Park 15	824	824
Oak Park 18	572	572
Oak Park 19	676	676
Oak Park 20	942	942
Oak Park 21	499	499
Oak Park 22	482	482
Oak Park 23	648	648
Oak Park 24	457	457
Oak Park 26	595	595
Oak Park 28	860	860
Oak Park 30	766	766
Oak Park 32	443	443
Oak Park 34	563	563
Oak Park 35	780	780
Oak Park 36	428	428
Oak Park 37	428	428
