Precinct	total_votes	votes|Kelly M. Burke
17018	3	3
18009	126	126
18019	11	11
18026	60	60
18032	180	180
18034	233	233
19003	134	134
19005	302	302
19009	183	183
19012	162	162
19016	11	11
19018	34	34
19024	163	163
19030	8	8
19033	30	30
19055	158	158
19056	194	194
21003	0	0
21007	201	201
21009	201	201
21013	147	147
21015	44	44
21026	15	15
21029	117	117
Lyons 23	5	5
Lyons 46	125	125
Palos 2	107	107
Palos 7	136	136
Palos 10	150	150
Palos 11	122	122
Palos 12	142	142
Palos 13	51	51
Palos 14	101	101
Palos 21	94	94
Palos 22	33	33
Palos 26	55	55
Palos 30	36	36
Palos 32	64	64
Palos 34	113	113
Palos 35	207	207
Palos 36	175	175
Palos 37	148	148
Palos 39	163	163
Worth 3	202	202
Worth 4	239	239
Worth 5	220	220
Worth 6	170	170
Worth 10	257	257
Worth 11	209	209
Worth 13	249	249
Worth 25	163	163
Worth 26	7	7
Worth 27	160	160
Worth 28	131	131
Worth 29	177	177
Worth 31	271	271
Worth 32	158	158
Worth 33	106	106
Worth 35	197	197
Worth 36	240	240
Worth 37	153	153
Worth 38	256	256
Worth 39	212	212
Worth 40	181	181
Worth 41	150	150
Worth 45	189	189
Worth 46	222	222
Worth 48	151	151
Worth 49	115	115
Worth 52	103	103
Worth 54	238	238
Worth 56	190	190
Worth 57	237	237
Worth 58	97	97
Worth 60	122	122
Worth 61	156	156
Worth 62	132	132
Worth 63	181	181
Worth 69	257	257
Worth 70	231	231
Worth 71	113	113
Worth 72	209	209
Worth 75	246	246
Worth 77	213	213
Worth 78	228	228
Worth 80	219	219
Worth 83	15	15
Worth 84	206	206
Worth 85	197	197
Worth 90	214	214
Worth 91	113	113
Worth 92	196	196
Worth 93	109	109
Worth 96	228	228
Worth 98	165	165
Worth 100	217	217
