Precinct	Votes	votes|Danny K. Davis	pct|Danny K. Davis	votes|Anthony V. Clark	pct|Anthony V. Clark
22019	38	31	81.58	7	18.42
22021	198	182	91.92	16	8.08
23017	33	21	63.64	12	36.36
23019	46	25	54.35	21	45.65
23031	56	34	60.71	22	39.29
24001	155	139	89.68	16	10.32
24002	150	139	92.67	11	7.33
24003	146	129	88.36	17	11.64
24004	125	112	89.60	13	10.40
24005	80	70	87.50	10	12.50
24006	164	147	89.63	17	10.37
24007	95	56	58.95	39	41.05
24008	81	76	93.83	5	6.17
24009	126	106	84.13	20	15.87
24010	75	68	90.67	7	9.33
24011	157	142	90.45	15	9.55
24012	90	77	85.56	13	14.44
24013	69	64	92.75	5	7.25
24014	130	116	89.23	14	10.77
24015	67	63	94.03	4	5.97
24016	76	58	76.32	18	23.68
24017	133	122	91.73	11	8.27
24018	173	160	92.49	13	7.51
24019	208	186	89.42	22	10.58
24020	125	116	92.80	9	7.20
24021	70	62	88.57	8	11.43
24022	201	177	88.06	24	11.94
24023	126	104	82.54	22	17.46
24024	181	164	90.61	17	9.39
24025	129	122	94.57	7	5.43
24026	269	250	92.94	19	7.06
24027	173	151	87.28	22	12.72
24028	131	116	88.55	15	11.45
24029	140	124	88.57	16	11.43
24030	96	84	87.50	12	12.50
24031	174	156	89.66	18	10.34
24032	92	81	88.04	11	11.96
24033	89	78	87.64	11	12.36
24034	144	131	90.97	13	9.03
24035	132	119	90.15	13	9.85
24036	197	167	84.77	30	15.23
24037	95	88	92.63	7	7.37
24038	148	129	87.16	19	12.84
24039	200	168	84.00	32	16.00
24040	163	148	90.80	15	9.20
24041	139	125	89.93	14	10.07
25003	210	117	55.71	93	44.29
25004	176	129	73.30	47	26.70
25006	69	56	81.16	13	18.84
25010	212	134	63.21	78	36.79
25014	96	68	70.83	28	29.17
25016	183	119	65.03	64	34.97
25018	142	112	78.87	30	21.13
25020	139	115	82.73	24	17.27
25021	316	201	63.61	115	36.39
25025	177	117	66.10	60	33.90
25027	156	95	60.90	61	39.10
25029	206	166	80.58	40	19.42
25031	203	145	71.43	58	28.57
26001	93	58	62.37	35	37.63
26003	180	107	59.44	73	40.56
26004	98	77	78.57	21	21.43
26010	114	76	66.67	38	33.33
26017	117	66	56.41	51	43.59
26019	94	71	75.53	23	24.47
26021	172	106	61.63	66	38.37
26027	80	40	50.00	40	50.00
26028	99	59	59.60	40	40.40
26033	157	102	64.97	55	35.03
26036	86	51	59.30	35	40.70
26039	88	56	63.64	32	36.36
26045	7	6	85.71	1	14.29
26046	93	56	60.22	37	39.78
27001	181	117	64.64	64	35.36
27002	194	150	77.32	44	22.68
27003	117	96	82.05	21	17.95
27004	106	75	70.75	31	29.25
27005	148	132	89.19	16	10.81
27006	168	125	74.40	43	25.60
27008	132	107	81.06	25	18.94
27009	85	57	67.06	28	32.94
27010	237	215	90.72	22	9.28
27011	152	104	68.42	48	31.58
27013	228	203	89.04	25	10.96
27014	91	80	87.91	11	12.09
27015	103	86	83.50	17	16.50
27016	120	75	62.50	45	37.50
27017	171	149	87.13	22	12.87
27018	136	113	83.09	23	16.91
27019	83	69	83.13	14	16.87
27020	103	90	87.38	13	12.62
