Precinct	total_votes	votes|Michael J. Madigan
13001	214	214
13002	226	226
13003	236	236
13004	259	259
13005	347	347
13006	246	246
13007	225	225
13008	209	209
13009	286	286
13010	218	218
13011	293	293
13012	250	250
13013	309	309
13014	298	298
13015	409	409
13016	188	188
13017	226	226
13018	195	195
13019	323	323
13020	143	143
13021	264	264
13022	270	270
13023	211	211
13024	289	289
13025	286	286
13026	252	252
13027	254	254
13028	243	243
13029	216	216
13030	245	245
13031	271	271
13032	203	203
13033	249	249
13034	365	365
13035	281	281
13036	181	181
13037	324	324
13038	230	230
13039	305	305
13040	283	283
13041	332	332
13042	223	223
13043	288	288
13044	324	324
13045	302	302
13046	347	347
13047	327	327
13048	233	233
14003	295	295
14006	23	23
14010	0	0
14011	173	173
14015	323	323
14018	79	79
14022	234	234
14023	64	64
18015	317	317
18043	192	192
18046	177	177
23001	131	131
23002	237	237
23004	271	271
23005	286	286
23006	187	187
23007	238	238
23008	296	296
23009	225	225
23010	326	326
23011	295	295
23013	259	259
23014	34	34
23015	241	241
23017	68	68
23018	184	184
23020	140	140
23022	179	179
23023	207	207
23024	83	83
23025	14	14
23026	161	161
23028	250	250
23029	212	212
23030	322	322
23032	277	277
23033	291	291
23034	247	247
23035	154	154
23038	202	202
23039	313	313
Stickney 3	451	451
Stickney 12	0	0
Stickney 20	263	263
