Precinct	total_votes	votes|Joseph Berrios	votes|Frederick ''Fritz'' Kaegi	votes|Andrea A. Raila
16016	147	84	36	27
16017	127	67	33	27
16018	132	70	43	19
16019	111	59	28	24
16020	117	53	44	20
16021	111	53	38	20
16022	112	62	27	23
16023	126	63	31	32
16024	83	53	14	16
16025	166	86	49	31
16026	126	60	39	27
16027	117	43	45	29
16028	148	66	59	23
16029	117	62	23	32
16030	110	41	32	37
16031	171	83	48	40
16032	137	79	22	36
16033	124	55	36	33
16034	115	58	29	28
16035	175	77	40	58
16036	114	63	34	17
17001	158	77	36	45
17002	153	72	48	33
17003	175	95	41	39
17004	236	112	80	44
17005	151	85	34	32
17006	146	75	47	24
17007	112	56	29	27
17008	126	59	37	30
17009	146	63	42	41
17010	244	122	74	48
17011	135	73	35	27
17012	197	90	53	54
17013	155	77	44	34
17014	189	84	61	44
17015	174	89	48	37
17016	139	60	37	42
17017	155	74	45	36
17018	220	114	58	48
17019	105	53	31	21
17020	268	108	99	61
17021	273	129	90	54
17022	160	71	52	37
17023	119	59	36	24
17024	218	118	51	49
17025	123	59	33	31
17026	202	112	45	45
17027	183	95	52	36
17028	135	78	30	27
17029	166	91	36	39
17030	112	55	35	22
17031	103	53	27	23
17032	132	60	35	37
17033	98	52	27	19
17034	129	61	45	23
17035	129	72	33	24
17036	179	87	46	46
17037	156	76	37	43
17038	156	79	45	32
17039	178	92	58	28
17040	222	126	68	28
17041	252	128	73	51
18001	143	75	37	31
18002	142	62	44	36
18003	136	60	44	32
18004	263	113	89	61
18005	127	64	39	24
18006	164	65	67	32
18007	174	88	61	25
18008	213	104	62	47
18009	245	108	91	46
18010	306	140	108	58
18011	165	63	65	37
18012	191	101	52	38
18013	227	119	62	46
18014	211	102	77	32
18015	218	108	71	39
18016	189	83	63	43
18017	188	100	48	40
18018	214	113	64	37
18019	232	106	83	43
18020	169	89	43	37
18021	262	115	95	52
18022	274	128	83	63
18023	170	71	51	48
18024	160	75	45	40
18025	175	83	51	41
18026	280	117	113	50
18027	156	69	49	38
18028	163	63	75	25
18029	208	80	68	60
18030	179	77	68	34
18031	214	109	55	50
18032	245	117	75	53
18033	167	88	51	28
18034	278	123	113	42
18035	281	104	107	70
18036	201	99	63	39
18037	251	112	98	41
18038	201	90	74	37
18039	151	79	38	34
18040	230	118	71	41
18041	259	121	101	37
18042	148	78	39	31
18043	129	60	39	30
18044	169	77	68	24
18045	151	79	45	27
18046	219	95	81	43
18047	142	70	40	32
18048	164	88	34	42
18049	120	58	42	20
18050	132	63	37	32
19001	244	72	141	31
19002	386	117	210	59
19003	145	46	79	20
19004	260	77	158	25
19005	324	89	181	54
19006	241	76	122	43
19007	244	61	148	35
19008	218	81	120	17
19009	201	73	89	39
19010	381	109	220	52
19011	200	42	117	41
19012	178	66	96	16
19013	344	135	134	75
19014	296	93	142	61
19015	252	87	125	40
19016	250	85	128	37
19017	220	65	122	33
19018	261	63	169	29
19019	354	83	201	70
19020	252	74	116	62
19021	179	60	98	21
19022	308	59	187	62
19023	273	90	150	33
19024	180	49	111	20
19025	271	80	157	34
19026	288	67	178	43
19027	276	95	121	60
19028	304	111	113	80
19029	196	60	108	28
19030	188	64	103	21
19031	253	56	160	37
19032	223	55	125	43
19033	209	93	96	20
19034	252	63	164	25
19035	291	74	173	44
19036	320	105	145	70
19037	290	67	144	79
19038	259	87	119	53
19039	68	28	18	22
19040	283	76	156	51
19041	196	62	115	19
19042	212	66	102	44
19043	359	162	127	70
19044	220	70	128	22
19045	260	75	154	31
19046	280	92	154	34
19047	408	137	176	95
19048	283	138	88	57
19049	368	129	164	75
19050	198	53	106	39
19051	319	96	181	42
19052	215	66	118	31
19053	246	67	135	44
19054	150	57	69	24
19055	183	45	114	24
19056	302	79	184	39
19057	251	50	157	44
20001	204	93	62	49
20002	72	44	15	13
20003	165	74	58	33
20004	73	36	13	24
20005	227	90	76	61
20006	74	41	18	15
20007	160	65	52	43
20008	203	108	47	48
20009	266	121	89	56
20010	144	68	44	32
20011	223	104	77	42
20012	114	52	33	29
20013	206	106	56	44
20014	114	58	33	23
20015	131	70	26	35
20016	214	78	72	64
20017	96	52	24	20
20018	137	39	57	41
20019	149	69	36	44
20020	113	60	19	34
20021	113	55	29	29
20022	249	92	102	55
20023	182	72	58	52
20024	189	55	87	47
20025	130	52	44	34
20026	235	84	105	46
20027	94	46	19	29
20028	126	50	36	40
20029	264	125	71	68
20030	91	53	23	15
20031	204	106	55	43
20032	155	83	43	29
20033	148	61	43	44
20034	241	74	122	45
20035	80	38	26	16
20036	56	26	15	15
20037	64	27	25	12
20038	61	29	21	11
20039	18	11	2	5
21001	248	116	86	46
21002	151	84	35	32
21003	240	106	81	53
21004	193	100	56	37
21005	264	115	91	58
21006	161	75	50	36
21007	244	122	83	39
21008	230	114	63	53
21009	259	106	96	57
21010	193	89	50	54
21011	201	103	49	49
21012	179	90	60	29
21013	196	100	55	41
21014	274	143	72	59
21015	179	100	45	34
21016	192	98	57	37
21017	161	78	48	35
21018	235	108	81	46
21019	226	111	68	47
21020	166	80	48	38
21021	196	98	56	42
21022	205	98	58	49
21023	196	87	73	36
21024	229	120	67	42
21025	208	92	69	47
21026	185	82	53	50
21027	200	96	71	33
21028	249	131	65	53
21029	235	112	65	58
21030	175	86	51	38
21031	177	86	55	36
21032	196	113	47	36
21033	189	98	59	32
21034	187	77	68	42
21035	259	112	85	62
21036	214	114	52	48
21037	188	90	60	38
21038	186	74	58	54
21039	138	67	40	31
21040	185	95	60	30
21041	212	85	65	62
21042	239	116	54	69
21043	216	109	70	37
21044	218	96	85	37
21045	182	75	56	51
21046	230	133	62	35
21047	172	74	55	43
21048	198	101	53	44
21049	258	106	89	63
21050	174	91	52	31
21051	206	95	68	43
21052	207	104	55	48
21053	172	78	58	36
21054	198	95	52	51
22001	131	63	44	24
22002	247	113	90	44
22003	246	107	69	70
22004	145	58	43	44
22005	145	59	53	33
22006	158	77	48	33
22007	128	53	42	33
22008	264	115	87	62
22009	133	56	41	36
22010	219	99	70	50
22011	165	79	41	45
22012	187	89	48	50
22013	168	80	49	39
22014	144	57	53	34
22015	128	63	36	29
22016	122	67	27	28
22017	195	85	64	46
22018	140	70	39	31
22019	65	24	28	13
22020	155	78	32	45
22021	184	77	74	33
22022	139	61	45	33
22023	278	111	114	53
22024	186	85	54	47
22025	167	84	42	41
23001	199	82	80	37
23002	181	78	67	36
23003	201	95	66	40
23004	218	95	84	39
23005	173	94	44	35
23006	182	95	51	36
23007	152	83	34	35
23008	220	104	66	50
23009	157	94	35	28
23010	211	107	59	45
23011	191	104	43	44
23012	201	75	98	28
23013	138	82	28	28
23014	184	77	77	30
23015	147	79	31	37
23016	222	80	106	36
23017	95	51	15	29
23018	166	82	57	27
23019	148	79	26	43
23020	94	54	12	28
23021	218	81	101	36
23022	184	90	60	34
23023	193	82	82	29
23024	154	79	41	34
23025	172	74	54	44
23026	194	89	61	44
23027	190	81	80	29
23028	188	75	68	45
23029	173	87	58	28
23030	210	119	53	38
23031	137	48	53	36
23032	173	92	47	34
23033	176	85	42	49
23034	162	62	50	50
23035	129	50	53	26
23036	180	74	68	38
23037	204	82	90	32
23038	161	70	70	21
23039	171	84	42	45
24001	141	69	48	24
24002	137	85	31	21
24003	135	67	49	19
24004	114	56	35	23
24005	73	32	28	13
24006	151	68	58	25
24007	93	31	39	23
24008	73	28	31	14
24009	118	51	32	35
24010	70	38	22	10
24011	131	64	49	18
24012	79	38	26	15
24013	59	28	16	15
24014	113	56	30	27
24015	62	31	18	13
24016	220	100	67	53
24017	123	53	41	29
24018	163	78	52	33
24019	189	87	61	41
24020	114	59	38	17
24021	59	19	24	16
24022	169	77	51	41
24023	120	52	43	25
24024	159	66	62	31
24025	114	44	44	26
24026	247	116	80	51
24027	164	92	46	26
24028	125	54	52	19
24029	125	49	44	32
24030	86	41	32	13
24031	155	72	53	30
24032	80	32	33	15
24033	85	40	32	13
24034	131	63	42	26
24035	125	50	48	27
24036	189	85	67	37
24037	86	40	29	17
24038	134	62	54	18
24039	195	96	58	41
24040	140	74	49	17
24041	122	52	41	29
25001	216	79	89	48
25002	237	58	133	46
25003	203	34	139	30
25004	167	67	67	33
25005	238	71	106	61
25006	68	26	29	13
25007	228	81	102	45
25008	244	75	118	51
25009	191	54	101	36
25010	217	41	144	32
25011	243	61	116	66
25012	202	68	95	39
25013	238	72	128	38
25014	107	27	51	29
25015	182	50	97	35
25016	183	28	112	43
25017	264	95	101	68
25018	132	32	86	14
25019	245	59	140	46
25020	121	51	35	35
25021	302	70	156	76
25022	200	56	99	45
25023	279	91	129	59
25024	229	73	116	40
25025	184	50	94	40
25026	193	70	77	46
25027	166	32	104	30
25028	239	67	127	45
25029	191	78	78	35
25030	212	63	105	44
25031	204	42	123	39
25032	188	75	73	40
26001	184	46	83	55
26002	168	58	81	29
26003	191	41	97	53
26004	95	47	19	29
26005	159	55	64	40
26006	133	55	48	30
26007	164	32	91	41
26008	84	40	24	20
26009	161	86	47	28
26010	162	56	68	38
26011	160	65	52	43
26012	173	68	68	37
26013	78	50	17	11
26014	123	49	50	24
26015	85	50	22	13
26016	83	48	19	16
26017	117	18	69	30
26018	108	53	35	20
26019	92	48	18	26
26020	147	57	64	26
26021	176	62	70	44
26022	69	33	15	21
26023	101	51	29	21
26024	153	69	58	26
26025	144	51	55	38
26026	97	19	51	27
26027	208	78	91	39
26028	224	53	117	54
26029	101	37	34	30
26030	133	45	66	22
26031	81	45	19	17
26032	169	48	81	40
26033	168	51	69	48
26034	215	59	120	36
26035	160	74	56	30
26036	134	29	74	31
26037	154	59	65	30
26038	64	39	8	17
26039	157	44	70	43
26040	101	52	34	15
26041	169	63	64	42
26042	123	53	49	21
26043	79	40	25	14
26044	101	51	22	28
26045	57	30	14	13
26046	93	26	54	13
26047	84	44	23	17
26048	150	35	74	41
26049	79	42	21	16
27001	189	37	112	40
27002	187	75	72	40
27003	110	53	35	22
27004	100	45	37	18
27005	142	88	34	20
27006	156	66	63	27
27007	241	53	129	59
27008	120	62	29	29
27009	81	20	43	18
27010	231	155	51	25
27011	148	38	77	33
27012	98	22	59	17
27013	302	144	95	63
27014	82	47	15	20
27015	88	45	26	17
27016	115	14	76	25
27017	157	58	58	41
27018	131	51	57	23
27019	86	39	29	18
27020	100	55	25	20
27021	143	40	75	28
27022	113	57	34	22
27023	147	67	49	31
27024	111	58	27	26
27025	171	59	77	35
27026	161	57	62	42
27027	181	82	64	35
27028	95	40	29	26
27029	108	54	37	17
27030	95	42	36	17
27031	157	86	50	21
27032	150	61	55	34
27033	157	52	73	32
27034	141	82	38	21
27035	172	31	100	41
27036	145	72	43	30
27037	217	113	68	36
27038	300	134	96	70
27039	152	85	37	30
27040	216	77	93	46
27041	190	103	55	32
27042	125	52	38	35
27043	117	53	36	28
27044	123	76	31	16
27045	246	61	143	42
27046	114	28	65	21
27047	159	89	55	15
27048	250	107	93	50
27049	132	55	48	29
27050	170	99	46	25
28001	103	54	25	24
28002	135	56	51	28
28003	120	62	36	22
28004	105	26	66	13
28005	116	57	43	16
28006	115	46	56	13
28007	141	78	34	29
28008	133	33	69	31
28009	141	82	34	25
28010	190	72	89	29
28011	244	79	100	65
28012	148	70	43	35
28013	154	82	40	32
28014	135	74	37	24
28015	48	27	16	5
28016	96	50	30	16
28017	117	61	28	28
28018	131	68	36	27
28019	141	36	70	35
28020	137	69	39	29
28021	128	64	38	26
28022	140	75	43	22
28023	168	92	48	28
28024	127	73	30	24
28025	227	125	60	42
28026	161	88	47	26
28027	159	38	93	28
28028	209	46	119	44
28029	66	44	14	8
28030	37	25	6	6
28031	258	135	76	47
28032	137	73	30	34
28033	170	88	59	23
28034	204	107	51	46
28035	153	97	31	25
28036	71	35	25	11
28037	190	102	55	33
28038	68	39	20	9
28039	100	63	26	11
28040	199	112	61	26
28041	119	60	41	18
28042	153	75	48	30
28043	177	97	54	26
28044	117	69	24	24
28045	123	28	75	20
28046	261	76	119	66
29001	317	101	167	49
29002	292	148	92	52
29003	197	93	63	41
29004	245	108	101	36
29005	142	70	44	28
29006	170	77	60	33
29007	235	89	113	33
29008	137	64	54	19
29009	257	88	120	49
29010	295	93	144	58
29011	124	52	46	26
29012	263	134	93	36
29013	203	89	76	38
29014	194	94	66	34
29015	250	109	112	29
29016	220	84	104	32
29017	216	69	115	32
29018	201	107	68	26
29019	221	85	99	37
29020	232	99	89	44
29021	216	99	79	38
29022	166	63	75	28
29023	206	76	86	44
29024	208	103	69	36
29025	257	129	94	34
29026	228	96	93	39
29027	185	83	74	28
29028	250	115	98	37
29029	163	72	59	32
29030	281	120	100	61
29031	146	66	58	22
29032	118	38	56	24
29033	188	80	72	36
29034	112	40	45	27
29035	151	81	49	21
29036	187	74	86	27
29037	205	92	73	40
29038	152	67	57	28
29039	168	83	61	24
29040	247	124	77	46
29041	155	69	57	29
29042	207	74	97	36
29043	285	88	139	58
29044	261	144	77	40
30001	205	90	77	38
30002	133	68	43	22
30003	150	38	77	35
30004	143	51	73	19
30005	102	55	23	24
30006	134	62	40	32
30007	162	53	73	36
30008	226	81	98	47
30009	120	72	33	15
30010	145	73	45	27
30011	126	70	31	25
30012	104	52	37	15
30013	138	55	51	32
30014	92	55	19	18
30015	223	46	138	39
30016	60	29	23	8
30017	184	74	69	41
30018	194	58	103	33
30019	140	82	28	30
30020	176	68	73	35
30021	132	51	59	22
30022	226	73	105	48
30023	155	62	59	34
30024	215	60	105	50
30025	251	79	116	56
30026	103	37	44	22
30027	95	44	31	20
30028	205	72	101	32
30029	85	39	21	25
30030	48	21	15	12
30031	100	38	36	26
30032	155	47	76	32
31001	92	50	24	18
31002	102	57	26	19
31003	86	41	30	15
31004	198	73	85	40
31005	149	76	45	28
31006	97	70	17	10
31007	209	48	110	51
31008	102	69	24	9
31009	123	91	24	8
31010	97	43	40	14
31011	90	37	32	21
