Precinct	total_votes	votes|Nicholas ''Nick'' Smith
06001	374	374
06002	353	353
06003	354	354
06008	352	352
06013	259	259
06014	319	319
06016	350	350
06019	55	55
06029	361	361
06031	353	353
06034	362	362
06035	308	308
06036	397	397
06037	354	354
06038	358	358
06039	256	256
06041	344	344
06042	347	347
06043	296	296
06044	330	330
06045	350	350
06046	223	223
08015	67	67
08022	307	307
08026	96	96
08031	248	248
08032	284	284
08034	323	323
08039	343	343
08043	136	136
08045	99	99
08047	282	282
08054	19	19
09001	128	128
09007	5	5
09008	324	324
09009	262	262
09012	354	354
09013	290	290
09023	379	379
09024	337	337
09025	327	327
09028	76	76
09031	35	35
09036	258	258
09037	438	438
09038	234	234
09042	331	331
09043	140	140
09046	327	327
09047	336	336
09048	356	356
09049	341	341
09050	432	432
09051	314	314
10013	0	0
10016	0	0
17021	325	325
21031	227	227
21053	114	114
Bloom 18	72	72
Bloom 23	424	424
Bloom 26	270	270
Bloom 27	402	402
Bloom 32	321	321
Bloom 38	605	605
Bloom 53	42	42
Thornton 1	265	265
Thornton 9	231	231
Thornton 17	163	163
Thornton 19	476	476
Thornton 35	626	626
Thornton 38	609	609
Thornton 62	37	37
Thornton 63	222	222
Thornton 78	464	464
Thornton 85	395	395
Thornton 94	487	487
Thornton 99	352	352
Thornton 107	600	600
Thornton 114	406	406
Thornton 117	455	455
Thornton 120	689	689
