Precinct	total_votes	votes|Marcus C. Evans, Jr.
07026	171	171
07027	160	160
07028	96	96
07029	153	153
07030	103	103
07032	142	142
07036	253	253
07037	18	18
07038	160	160
07039	165	165
07040	160	160
07041	168	168
07042	177	177
07043	182	182
07044	137	137
07045	134	134
08003	270	270
08004	255	255
08005	255	255
08006	217	217
08007	252	252
08008	243	243
08010	312	312
08011	182	182
08012	165	165
08014	102	102
08015	151	151
08017	206	206
08018	128	128
08019	267	267
08023	169	169
08024	148	148
08025	173	173
08027	248	248
08029	250	250
08030	205	205
08033	200	200
08035	232	232
08036	240	240
08037	200	200
08038	112	112
08040	163	163
08041	197	197
08044	128	128
08045	98	98
08046	158	158
08048	165	165
08049	188	188
08050	236	236
08051	238	238
08052	290	290
08053	109	109
08054	12	12
08056	239	239
10002	142	142
10003	122	122
10005	96	96
10009	106	106
10013	122	122
10014	0	0
10015	360	360
10016	92	92
10017	169	169
10021	1	1
10023	0	0
10024	102	102
10027	6	6
10033	0	0
Bloom 5	122	122
Bloom 14	207	207
Bloom 16	196	196
Bloom 18	107	107
Bloom 22	123	123
Bloom 36	278	278
Bloom 38	204	204
Bloom 41	310	310
Bloom 43	267	267
Bloom 44	188	188
Bloom 53	58	58
Bloom 55	117	117
Thornton 2	77	77
Thornton 3	167	167
Thornton 5	122	122
Thornton 10	171	171
Thornton 11	91	91
Thornton 12	147	147
Thornton 13	145	145
Thornton 14	206	206
Thornton 16	145	145
Thornton 17	95	95
Thornton 18	199	199
Thornton 43	141	141
Thornton 47	98	98
Thornton 50	135	135
Thornton 51	119	119
Thornton 56	162	162
Thornton 57	91	91
Thornton 58	201	201
Thornton 61	122	122
Thornton 62	37	37
Thornton 65	179	179
Thornton 68	175	175
Thornton 79	239	239
