Precinct	total_votes	votes|Don Harmon
29001	482	482
29004	376	376
29005	298	298
29007	374	374
29009	400	400
29010	495	495
29012	453	453
29013	378	378
29015	416	416
29017	332	332
29023	374	374
29024	266	266
29025	432	432
29026	350	350
29027	326	326
29030	206	206
29033	253	253
29035	273	273
29036	52	52
29037	356	356
29040	409	409
29041	275	275
29043	459	459
29044	455	455
37018	270	270
37029	161	161
37035	337	337
37037	331	331
Elk Grove 17	0	0
Leyden 3	425	425
Leyden 4	340	340
Leyden 5	349	349
Leyden 6	486	486
Leyden 7	207	207
Leyden 8	464	464
Leyden 9	483	483
Leyden 10	495	495
Leyden 11	371	371
Leyden 13	431	431
Leyden 14	307	307
Leyden 15	430	430
Leyden 16	414	414
Leyden 19	391	391
Leyden 20	201	201
Leyden 21	275	275
Leyden 22	285	285
Leyden 24	375	375
Leyden 26	585	585
Leyden 29	253	253
Leyden 30	427	427
Leyden 31	391	391
Leyden 32	447	447
Leyden 33	376	376
Leyden 34	172	172
Leyden 35	192	192
Leyden 36	366	366
Leyden 39	288	288
Leyden 40	344	344
Leyden 41	205	205
Leyden 43	286	286
Leyden 46	333	333
Leyden 47	300	300
Leyden 48	392	392
Leyden 50	530	530
Maine 56	13	13
Maine 66	34	34
Oak Park 1	509	509
Oak Park 2	842	842
Oak Park 3	874	874
Oak Park 4	717	717
Oak Park 5	767	767
Oak Park 6	839	839
Oak Park 7	539	539
Oak Park 8	678	678
Oak Park 9	424	424
Oak Park 10	651	651
Oak Park 11	608	608
Oak Park 12	366	366
Oak Park 13	660	660
Oak Park 14	725	725
Oak Park 15	843	843
Oak Park 18	585	585
Oak Park 19	702	702
Oak Park 20	960	960
Oak Park 21	506	506
Oak Park 22	490	490
Oak Park 23	669	669
Oak Park 24	468	468
Oak Park 26	604	604
Oak Park 28	868	868
Oak Park 30	764	764
Oak Park 32	458	458
Oak Park 34	569	569
Oak Park 35	795	795
Oak Park 36	435	435
Oak Park 37	442	442
Proviso 2	349	349
Proviso 10	327	327
Proviso 11	309	309
Proviso 12	453	453
Proviso 13	410	410
Proviso 14	268	268
Proviso 15	360	360
Proviso 48	264	264
Proviso 64	3	3
Proviso 78	111	111
Proviso 80	269	269
Proviso 87	427	427
Proviso 88	186	186
Proviso 95	137	137
Proviso 98	445	445
Proviso 100	540	540
