Precinct	total_votes	votes|Frances Ann Hurley	votes|Herbert Hebein
19001	402	314	88
19002	600	548	52
19004	486	340	146
19006	454	306	148
19007	399	331	68
19008	487	316	171
19010	530	463	67
19011	420	289	131
19013	498	485	13
19015	538	356	182
19016	381	254	127
19017	391	290	101
19018	354	302	52
19019	562	491	71
19021	406	267	139
19022	477	403	74
19023	448	340	108
19024	15	10	5
19025	429	338	91
19026	454	365	89
19027	446	408	38
19028	481	466	15
19029	446	280	166
19030	377	246	131
19032	405	316	89
19033	347	216	131
19034	401	335	66
19035	398	336	62
19036	596	557	39
19037	424	396	28
19038	380	351	29
19039	163	149	14
19041	406	265	141
19044	486	325	161
19045	437	333	104
19046	457	345	112
19050	369	293	76
19051	482	387	95
19052	458	278	180
19053	398	331	67
19054	365	224	141
19056	141	114	27
19057	358	318	40
21001	404	396	8
21003	360	349	11
21008	373	363	10
21014	372	366	6
21016	333	322	11
21018	396	388	8
21022	86	85	1
21029	166	162	4
21032	330	328	2
21036	76	75	1
21042	166	161	5
21048	144	139	5
34049	55	53	2
Orland 1	806	491	315
Orland 2	643	336	307
Orland 3	296	207	89
Orland 4	387	216	171
Orland 7	301	185	116
Orland 8	414	263	151
Orland 9	610	371	239
Orland 10	566	331	235
Orland 12	242	140	102
Orland 16	544	265	279
Orland 18	702	391	311
Orland 20	301	146	155
Orland 22	509	295	214
Orland 25	882	495	387
Orland 26	439	289	150
Orland 28	398	189	209
Orland 29	810	416	394
Orland 31	388	227	161
Orland 32	334	183	151
Orland 33	442	245	197
Orland 36	636	417	219
Orland 37	604	342	262
Orland 38	305	184	121
Orland 40	597	320	277
Orland 46	346	203	143
Orland 48	528	304	224
Orland 53	457	260	197
Orland 54	783	403	380
Orland 55	414	224	190
Orland 56	492	188	304
Orland 64	739	350	389
Orland 69	275	204	71
Palos 1	133	54	79
Palos 8	214	108	106
Palos 11	19	9	10
Palos 13	235	114	121
Palos 16	737	365	372
Palos 24	279	133	146
Palos 29	608	269	339
Palos 30	502	295	207
Worth 9	604	451	153
Worth 15	712	541	171
Worth 16	451	279	172
Worth 22	432	280	152
Worth 51	368	226	142
Worth 67	325	187	138
Worth 73	333	261	72
Worth 81	401	220	181
Worth 87	460	297	163
Worth 98	116	78	38
