Precinct	total_votes	votes|Sonya Marie Harper
03001	49	49
03003	150	150
03005	117	117
03010	110	110
03013	268	268
03018	121	121
03026	290	290
03029	40	40
03036	48	48
03041	124	124
04013	165	165
04016	71	71
04017	270	270
04020	225	225
04021	172	172
04037	318	318
06015	45	45
06018	16	16
06028	46	46
11012	281	281
11013	239	239
11021	298	298
11024	292	292
11028	78	78
11029	249	249
11031	197	197
11032	104	104
11034	67	67
11035	51	51
15001	144	144
15002	96	96
15003	88	88
15005	42	42
15007	35	35
15013	33	33
15014	18	18
15017	117	117
15018	80	80
15020	108	108
15021	112	112
15022	12	12
15023	126	126
15024	93	93
16002	84	84
16003	101	101
16004	105	105
16005	84	84
16006	46	46
16008	78	78
16009	145	145
16010	107	107
16012	96	96
16014	87	87
16015	134	134
16017	37	37
16018	111	111
16019	98	98
16020	99	99
16021	96	96
16022	96	96
16025	138	138
16026	116	116
16027	109	109
16028	119	119
16030	17	17
16031	152	152
16033	19	19
16034	101	101
16036	98	98
17001	0	0
17006	127	127
17008	83	83
17016	12	12
17017	7	7
17025	101	101
18050	45	45
20002	60	60
20004	61	61
20006	67	67
20013	169	169
20015	100	100
20017	84	84
20020	96	96
20021	100	100
20025	108	108
20027	83	83
20029	222	222
20032	122	122
20036	54	54
20038	54	54
20039	10	10
25014	0	0
25021	270	270
25027	48	48
42005	129	129
42009	169	169
42010	9	9
42012	62	62
42014	47	47
42015	95	95
42017	203	203
42018	112	112
42021	96	96
42033	0	0
42036	144	144
42037	93	93
42038	133	133
42041	111	111
