Precinct	total_votes	votes|Frances Ann Hurley
19001	227	227
19002	329	329
19004	253	253
19006	220	220
19007	229	229
19008	199	199
19010	340	340
19011	191	191
19013	305	305
19015	240	240
19016	221	221
19017	200	200
19018	203	203
19019	306	306
19021	185	185
19022	257	257
19023	246	246
19024	6	6
19025	239	239
19026	260	260
19027	247	247
19028	283	283
19029	187	187
19030	168	168
19032	210	210
19033	167	167
19034	229	229
19035	255	255
19036	292	292
19037	264	264
19038	226	226
19039	61	61
19041	181	181
19044	222	222
19045	253	253
19046	260	260
19050	182	182
19051	301	301
19052	206	206
19053	226	226
19054	147	147
19056	77	77
19057	219	219
21001	207	207
21003	195	195
21008	182	182
21014	231	231
21016	157	157
21018	186	186
21022	53	53
21029	73	73
21032	165	165
21036	40	40
21042	39	39
21048	27	27
34049	10	10
Orland 1	177	177
Orland 2	170	170
Orland 3	87	87
Orland 4	89	89
Orland 7	79	79
Orland 8	142	142
Orland 9	171	171
Orland 10	156	156
Orland 12	59	59
Orland 16	97	97
Orland 18	199	199
Orland 20	62	62
Orland 22	153	153
Orland 25	234	234
Orland 26	139	139
Orland 28	86	86
Orland 29	151	151
Orland 31	97	97
Orland 32	81	81
Orland 33	116	116
Orland 36	198	198
Orland 37	205	205
Orland 38	70	70
Orland 40	140	140
Orland 46	89	89
Orland 48	139	139
Orland 53	174	174
Orland 54	168	168
Orland 55	141	141
Orland 56	104	104
Orland 64	161	161
Orland 69	97	97
Palos 1	47	47
Palos 8	59	59
Palos 11	1	1
Palos 13	64	64
Palos 16	185	185
Palos 24	60	60
Palos 29	135	135
Palos 30	147	147
Worth 9	257	257
Worth 15	251	251
Worth 16	139	139
Worth 22	162	162
Worth 51	109	109
Worth 67	64	64
Worth 73	99	99
Worth 81	109	109
Worth 87	114	114
Worth 98	60	60
