Precinct	total_votes	votes|Justin Q. Slaughter
09002	51	51
09010	265	265
09017	84	84
09020	329	329
09021	277	277
09027	291	291
09030	259	259
19014	416	416
19020	315	315
19031	294	294
19040	358	358
19042	306	306
19043	513	513
19047	527	527
19048	417	417
19049	453	453
21002	88	88
21005	364	364
21006	283	283
21010	299	299
21011	307	307
21012	305	305
21017	253	253
21019	352	352
21020	67	67
21021	274	274
21022	218	218
21023	291	291
21024	338	338
21025	283	283
21027	327	327
21033	279	279
21034	150	150
21035	388	388
21036	224	224
21037	251	251
21038	310	310
21039	279	279
21040	302	302
21041	339	339
21042	210	210
21043	7	7
21044	224	224
21045	304	304
21046	373	373
21048	191	191
21049	373	373
21050	259	259
21052	24	24
34001	360	360
34002	146	146
34005	290	290
34007	379	379
34008	269	269
34010	332	332
34012	356	356
34013	327	327
34015	262	262
34017	416	416
34019	353	353
34020	136	136
34021	402	402
34025	499	499
34029	257	257
34031	43	43
34032	326	326
34034	352	352
34035	379	379
34040	363	363
34043	313	313
34044	330	330
34045	345	345
34046	238	238
34047	322	322
34048	361	361
34049	271	271
34051	155	155
34052	265	265
Bremen 64	44	44
Bremen 68	184	184
Calumet 2	230	230
Calumet 6	279	279
Orland 21	399	399
Orland 35	334	334
Palos 1	120	120
Palos 3	285	285
Palos 9	236	236
Palos 15	301	301
Palos 24	42	42
Palos 33	363	363
Worth 7	286	286
Worth 8	486	486
Worth 9	0	0
Worth 12	264	264
Worth 14	390	390
Worth 16	159	159
Worth 17	457	457
Worth 18	235	235
Worth 19	388	388
Worth 20	296	296
Worth 23	369	369
Worth 34	380	380
Worth 42	296	296
Worth 43	146	146
Worth 50	403	403
Worth 55	208	208
Worth 59	576	576
Worth 64	441	441
Worth 65	479	479
Worth 68	371	371
Worth 79	212	212
Worth 88	223	223
Worth 89	414	414
Worth 95	344	344
Worth 97	348	348
