Precinct	total_votes	votes|Kelly M. Burke
17018	4	4
18009	187	187
18019	7	7
18026	103	103
18032	309	309
18034	392	392
19003	243	243
19005	432	432
19009	253	253
19012	253	253
19016	55	55
19018	50	50
19024	225	225
19030	20	20
19033	82	82
19055	262	262
19056	294	294
21003	34	34
21007	327	327
21009	383	383
21013	283	283
21015	62	62
21026	7	7
21029	231	231
Lyons 23	13	13
Lyons 46	283	283
Palos 2	263	263
Palos 7	417	417
Palos 10	358	358
Palos 11	346	346
Palos 12	330	330
Palos 13	184	184
Palos 14	246	246
Palos 21	245	245
Palos 22	65	65
Palos 26	217	217
Palos 30	90	90
Palos 32	181	181
Palos 34	256	256
Palos 35	442	442
Palos 36	407	407
Palos 37	369	369
Palos 39	389	389
Worth 3	427	427
Worth 4	603	603
Worth 5	433	433
Worth 6	406	406
Worth 10	562	562
Worth 11	437	437
Worth 13	514	514
Worth 25	327	327
Worth 26	69	69
Worth 27	331	331
Worth 28	288	288
Worth 29	408	408
Worth 31	571	571
Worth 32	324	324
Worth 33	329	329
Worth 35	423	423
Worth 36	481	481
Worth 37	374	374
Worth 38	532	532
Worth 39	422	422
Worth 40	389	389
Worth 41	240	240
Worth 45	401	401
Worth 46	508	508
Worth 48	321	321
Worth 49	251	251
Worth 52	276	276
Worth 54	496	496
Worth 56	401	401
Worth 57	475	475
Worth 58	206	206
Worth 60	246	246
Worth 61	326	326
Worth 62	235	235
Worth 63	418	418
Worth 69	537	537
Worth 70	476	476
Worth 71	292	292
Worth 72	499	499
Worth 75	496	496
Worth 77	418	418
Worth 78	502	502
Worth 80	534	534
Worth 83	33	33
Worth 84	418	418
Worth 85	421	421
Worth 90	450	450
Worth 91	236	236
Worth 92	421	421
Worth 93	237	237
Worth 96	545	545
Worth 98	354	354
Worth 100	421	421
