Precinct	total_votes	votes|Lou Lang
40004	98	98
40010	112	112
40029	0	0
40035	0	0
40039	38	38
50001	173	173
50002	114	114
50003	172	172
50004	194	194
50005	131	131
50006	215	215
50007	252	252
50008	24	24
50009	154	154
50010	128	128
50011	148	148
50012	93	93
50013	145	145
50014	54	54
50015	251	251
50016	65	65
50017	118	118
50018	67	67
50019	100	100
50020	173	173
50021	150	150
50022	122	122
50023	98	98
50025	136	136
50026	133	133
50027	55	55
50028	137	137
50029	91	91
50030	104	104
50031	174	174
50032	150	150
50033	178	178
50034	260	260
50035	243	243
50036	176	176
50037	195	195
50038	94	94
50039	84	84
50040	186	186
Niles 4	120	120
Niles 5	121	121
Niles 6	61	61
Niles 10	192	192
Niles 12	127	127
Niles 15	208	208
Niles 16	246	246
Niles 17	291	291
Niles 20	175	175
Niles 24	238	238
Niles 25	153	153
Niles 26	118	118
Niles 27	144	144
Niles 29	131	131
Niles 30	131	131
Niles 33	139	139
Niles 34	199	199
Niles 35	212	212
Niles 39	235	235
Niles 40	107	107
Niles 41	239	239
Niles 42	195	195
Niles 44	278	278
Niles 46	204	204
Niles 51	98	98
Niles 52	157	157
Niles 55	164	164
Niles 56	215	215
Niles 57	227	227
Niles 58	189	189
Niles 61	281	281
Niles 63	318	318
