Precinct	total_votes	votes|Frank L. McPartlin
38002	138	138
38003	110	110
38004	127	127
38005	127	127
38006	107	107
38007	115	115
38009	145	145
38012	119	119
38013	141	141
38016	138	138
38017	146	146
38019	148	148
38020	132	132
38024	134	134
38026	62	62
38027	124	124
38028	151	151
38029	142	142
38030	114	114
38038	126	126
41001	118	118
41002	143	143
41003	154	154
41004	180	180
41005	154	154
41006	202	202
41007	152	152
41008	143	143
41009	142	142
41010	202	202
41011	154	154
41012	133	133
41013	141	141
41014	180	180
41015	192	192
41016	120	120
41017	162	162
41018	120	120
41019	145	145
41020	123	123
41021	157	157
41022	183	183
41023	116	116
41024	107	107
41025	71	71
41026	152	152
41027	93	93
41028	104	104
41029	75	75
41030	141	141
41031	179	179
41032	128	128
41033	124	124
41034	136	136
41035	183	183
41036	150	150
41037	164	164
41038	133	133
41039	187	187
41040	177	177
41041	110	110
41042	128	128
41043	139	139
41044	148	148
41045	128	128
41046	176	176
41047	160	160
Elk Grove 1	189	189
Elk Grove 5	268	268
Elk Grove 7	210	210
Elk Grove 10	253	253
Elk Grove 11	178	178
Elk Grove 16	209	209
Elk Grove 23	171	171
Elk Grove 25	134	134
Elk Grove 26	97	97
Elk Grove 30	13	13
Elk Grove 32	63	63
Elk Grove 34	292	292
Elk Grove 38	76	76
Elk Grove 39	172	172
Leyden 1	56	56
Leyden 2	70	70
Leyden 3	165	165
Leyden 8	46	46
Leyden 9	150	150
Leyden 10	138	138
Leyden 11	109	109
Leyden 12	45	45
Leyden 13	117	117
Leyden 14	96	96
Leyden 17	63	63
Leyden 19	144	144
Leyden 20	57	57
Leyden 22	76	76
Leyden 23	195	195
Leyden 25	85	85
Leyden 26	181	181
Leyden 27	20	20
Leyden 28	60	60
Leyden 30	117	117
Leyden 34	89	89
Leyden 36	95	95
Leyden 37	90	90
Leyden 38	28	28
Leyden 39	88	88
Leyden 42	121	121
Leyden 44	69	69
Leyden 45	72	72
Leyden 49	164	164
Leyden 50	169	169
Maine 1	75	75
Maine 2	110	110
Maine 4	90	90
Maine 5	76	76
Maine 15	71	71
Maine 17	44	44
Maine 18	119	119
Maine 19	61	61
Maine 20	91	91
Maine 21	153	153
Maine 22	177	177
Maine 23	108	108
Maine 24	223	223
Maine 25	159	159
Maine 27	122	122
Maine 29	192	192
Maine 30	307	307
Maine 31	63	63
Maine 32	76	76
Maine 36	124	124
Maine 37	121	121
Maine 39	118	118
Maine 40	112	112
Maine 41	97	97
Maine 42	193	193
Maine 43	82	82
Maine 46	115	115
Maine 47	137	137
Maine 49	118	118
Maine 50	107	107
Maine 51	108	108
Maine 53	75	75
Maine 54	152	152
Maine 55	116	116
Maine 56	2	2
Maine 57	4	4
Maine 58	131	131
Maine 59	114	114
Maine 60	190	190
Maine 62	70	70
Maine 63	108	108
Maine 64	65	65
Maine 65	72	72
Maine 66	31	31
Maine 67	146	146
Maine 69	47	47
Maine 70	31	31
Maine 71	71	71
Maine 72	115	115
Maine 73	41	41
Maine 74	50	50
Maine 75	118	118
Maine 76	13	13
Maine 77	181	181
Maine 78	100	100
Maine 80	124	124
Maine 81	59	59
Maine 82	113	113
Maine 83	74	74
Maine 84	67	67
Maine 85	63	63
Maine 86	88	88
Maine 87	76	76
Maine 88	66	66
Maine 89	59	59
Maine 90	59	59
Maine 91	193	193
Northfield 27	124	124
Northfield 39	92	92
Norwood Park 1	134	134
Norwood Park 2	176	176
Norwood Park 3	148	148
Norwood Park 4	158	158
Norwood Park 5	141	141
Norwood Park 6	172	172
Norwood Park 7	137	137
Norwood Park 8	83	83
Norwood Park 9	108	108
Norwood Park 10	122	122
Norwood Park 11	212	212
Norwood Park 12	130	130
Norwood Park 13	100	100
Norwood Park 14	110	110
Norwood Park 15	108	108
Norwood Park 16	95	95
Norwood Park 17	153	153
Proviso 95	114	114
River Forest 1	232	232
River Forest 2	154	154
River Forest 3	222	222
River Forest 4	224	224
River Forest 5	170	170
River Forest 6	150	150
River Forest 7	222	222
River Forest 8	282	282
Wheeling 11	155	155
Wheeling 12	45	45
Wheeling 18	196	196
Wheeling 25	261	261
Wheeling 26	88	88
Wheeling 28	109	109
Wheeling 39	240	240
Wheeling 42	164	164
Wheeling 45	195	195
Wheeling 46	18	18
Wheeling 56	114	114
Wheeling 59	175	175
Wheeling 61	46	46
Wheeling 65	174	174
Wheeling 75	137	137
Wheeling 78	220	220
Wheeling 83	224	224
Wheeling 84	154	154
Wheeling 85	106	106
Wheeling 86	91	91
