Precinct	total_votes	votes|JB Pritzker & Juliana Stratton	votes|Bruce Rauner & Evelyn Sanguinetti	votes|Grayson Kash Jackson & Sanjeev Mohip	votes|William McCann & Aaron Merreighn
06029	427	411	7	6	3
06030	324	310	8	1	5
06031	406	381	11	8	6
06032	366	349	10	3	4
06033	392	360	25	1	6
06034	403	388	4	8	3
06035	363	342	10	7	4
06036	464	447	9	3	5
06037	406	381	13	8	4
06038	419	395	16	7	1
06039	329	307	8	11	3
06040	352	335	6	5	6
06041	391	376	7	4	4
06042	415	389	15	6	5
06043	360	335	13	9	3
06044	402	377	11	10	4
06045	418	402	6	6	4
06046	267	263	2	1	1
06047	284	265	10	6	3
06048	418	394	14	4	6
07001	346	325	11	6	4
07002	360	338	12	8	2
07003	391	368	17	4	2
07004	390	363	18	5	4
07005	326	290	20	12	4
07006	489	452	18	13	6
07007	376	355	13	3	5
07008	313	289	15	7	2
07009	665	615	24	15	11
07010	420	400	11	5	4
07011	413	393	11	8	1
07012	356	337	9	7	3
07013	244	228	7	4	5
07014	404	381	11	9	3
07015	367	352	2	11	2
07016	287	270	10	4	3
07017	313	295	8	4	6
07018	342	313	15	6	8
07019	354	328	10	6	10
07020	294	283	4	5	2
07021	286	271	8	5	2
07022	320	285	22	12	1
07023	361	350	8	1	2
07024	307	294	5	7	1
07025	296	277	12	5	2
07026	306	294	4	6	2
07027	307	293	5	5	4
07028	283	263	9	7	4
07029	311	283	9	11	8
07030	272	248	12	7	5
07031	248	231	9	4	4
07032	497	459	22	13	3
07033	495	472	12	6	5
07034	447	420	13	10	4
07035	407	378	19	4	6
07036	444	412	7	14	11
07037	401	376	16	5	4
07038	321	305	11	4	1
07039	344	331	6	5	2
07040	330	314	10	6	0
07041	370	353	8	7	2
07042	314	291	6	7	10
07043	381	359	15	4	3
07044	317	305	6	1	5
07045	355	339	9	3	4
07046	161	157	2	1	1
08001	339	310	10	13	6
08002	361	337	12	8	4
08003	451	426	8	12	5
08004	442	428	6	6	2
08005	436	409	16	6	5
08006	410	390	11	5	4
08007	458	437	13	5	3
08008	385	372	7	5	1
08009	267	260	3	3	1
08010	496	465	16	11	4
08011	330	309	12	6	3
08012	351	337	7	4	3
08013	449	426	13	6	4
08014	285	274	3	4	4
08015	351	335	9	2	5
08016	123	114	3	3	3
08017	352	337	9	3	3
08018	378	351	12	7	8
08019	428	399	15	7	7
08020	448	428	7	9	4
08021	486	454	14	11	7
08022	360	338	10	8	4
08023	338	322	8	7	1
08024	243	230	7	4	2
08025	389	368	15	5	1
08026	366	339	9	9	9
08027	429	408	11	7	3
08028	412	398	10	2	2
08029	453	419	16	11	7
08030	412	385	12	9	6
08031	295	274	10	6	5
08032	322	301	9	5	7
08033	378	349	11	13	5
08034	383	356	12	9	6
08035	428	402	8	10	8
08036	418	401	10	3	4
08037	330	313	10	5	2
08038	270	261	7	0	2
08039	402	388	9	5	0
08040	303	286	8	8	1
08041	446	433	7	4	2
08042	476	465	4	5	2
08043	223	208	5	5	5
08044	275	266	6	2	1
08045	383	360	12	6	5
08046	312	295	9	6	2
08047	328	302	11	8	7
08048	370	351	9	7	3
08049	364	355	4	3	2
08050	403	381	9	9	4
08051	443	423	9	9	2
08052	489	470	9	6	4
08053	225	205	11	8	1
08054	322	303	11	2	6
08055	313	299	5	5	4
08056	391	378	3	8	2
09001	376	358	10	4	4
09002	325	314	8	2	1
09003	295	283	6	2	4
09004	283	278	2	1	2
09005	368	357	2	5	4
09006	342	315	10	4	13
09007	297	275	8	10	4
09008	368	353	6	7	2
09009	400	379	8	6	7
09010	305	295	4	3	3
09011	246	223	15	6	2
09012	420	398	13	4	5
09013	422	403	13	5	1
09014	445	426	13	3	3
09015	408	384	12	7	5
09016	318	305	4	8	1
09017	248	237	4	6	1
09018	280	269	8	2	1
09019	351	342	3	5	1
09020	366	342	9	9	6
09021	319	301	12	3	3
09022	385	368	12	4	1
09023	433	412	11	7	3
09024	381	358	15	3	5
09025	378	362	5	6	5
09026	412	388	11	6	7
09027	323	317	4	1	1
09028	220	205	5	6	4
09029	344	322	12	8	2
09030	293	275	7	3	8
09031	290	275	6	2	7
09032	373	351	10	5	7
09033	278	268	3	4	3
09034	275	259	13	1	2
09035	371	354	6	6	5
09036	307	292	5	6	4
09037	523	423	70	20	10
09038	391	374	10	5	2
09039	399	373	9	11	6
09040	413	395	11	6	1
09041	308	295	5	4	4
09042	374	356	13	5	0
09043	329	313	8	3	5
09044	326	300	17	3	6
09045	297	284	6	5	2
09046	373	346	18	7	2
09047	389	379	5	4	1
09048	426	406	9	7	4
09049	406	388	8	5	5
09050	489	465	13	6	5
09051	364	346	14	4	0
10001	338	306	22	4	6
10002	384	247	118	6	13
10003	380	239	117	7	17
10004	287	260	20	4	3
10005	302	196	82	2	22
10006	311	254	48	4	5
10007	271	214	38	11	8
10008	229	209	11	4	5
10009	351	230	106	2	13
10010	382	298	62	4	18
10011	422	338	63	12	9
10012	241	177	52	4	8
10013	333	298	30	3	2
10014	455	362	79	7	7
10015	681	641	16	14	10
10016	279	202	65	6	6
10017	487	325	133	5	24
10018	228	207	10	4	7
10019	382	254	104	7	17
10020	407	306	71	9	21
10021	362	299	46	6	11
10022	211	190	14	2	5
10023	321	275	33	9	4
10024	366	225	121	5	15
10025	106	96	5	4	1
10026	268	230	29	4	5
10027	357	322	23	6	6
10028	401	321	51	9	20
10029	322	259	44	6	13
10030	309	256	38	6	9
10031	272	247	14	6	5
10032	372	281	72	13	6
10033	248	211	26	8	3
10034	254	220	28	3	3
10035	429	289	123	6	11
10036	95	86	8	0	1
11001	439	312	97	20	10
11002	34	27	7	0	0
11003	437	387	33	11	6
11004	379	277	82	13	7
11005	552	450	72	19	11
11006	727	567	134	18	8
11007	686	594	65	21	6
11008	442	341	75	17	9
11009	358	257	74	15	12
11010	411	299	103	8	1
11011	485	322	138	15	10
11012	595	381	174	19	21
11013	529	304	188	16	21
11014	290	202	71	5	12
11015	176	128	41	2	5
11016	309	201	96	7	5
11017	545	408	113	15	9
11018	340	255	71	4	10
11019	559	438	94	16	11
11020	301	213	76	6	6
11021	555	392	136	13	14
11022	501	363	118	12	8
11023	271	172	86	6	7
11024	506	369	117	10	10
11025	571	413	134	16	8
11026	510	376	107	17	10
11027	149	122	23	2	2
11028	199	127	59	8	5
11029	496	355	123	10	8
11030	242	159	74	6	3
11031	433	269	136	13	15
11032	221	135	74	5	7
11033	566	412	137	5	12
11034	179	132	32	6	9
11035	136	104	28	3	1
11036	189	138	42	3	6
11037	134	107	26	0	1
11038	243	204	25	10	4
12001	364	304	45	10	5
12002	333	283	38	5	7
12003	496	399	78	11	8
12004	404	325	54	18	7
12005	345	246	86	10	3
12006	383	314	55	9	5
12007	339	298	23	10	8
12008	411	327	60	14	10
12009	323	246	54	14	9
12010	434	398	19	12	5
12011	380	338	25	12	5
12012	380	320	46	11	3
12013	374	318	41	4	11
12014	334	308	11	11	4
12015	287	255	21	9	2
12016	338	305	21	7	5
12017	370	306	48	7	9
12018	319	275	22	16	6
12019	386	315	49	16	6
12020	445	361	61	16	7
12021	360	299	40	11	10
12022	303	283	13	5	2
12023	380	303	49	14	14
13001	304	207	84	4	9
13002	311	208	92	3	8
13003	279	236	35	3	5
13004	369	227	116	7	19
13005	401	331	51	8	11
13006	352	209	121	7	15
13007	267	225	33	5	4
13008	281	185	77	10	9
13009	358	286	61	7	4
13010	331	153	151	9	18
13011	380	248	112	9	11
13012	307	233	65	5	4
13013	351	304	39	2	6
13014	353	287	50	7	9
13015	471	395	60	9	7
13016	231	187	38	3	3
