Precinct	total_votes	votes|Mary E. Flowers
06010	207	207
06017	241	241
06019	87	87
06020	219	219
06022	197	197
06025	192	192
06026	40	40
06027	208	208
17002	319	319
17004	390	390
17005	245	245
17009	255	255
17010	417	417
17011	189	189
17015	343	343
17018	358	358
17020	419	419
17021	61	61
17022	285	285
17023	213	213
17024	339	339
17026	339	339
17027	299	299
17028	260	260
17029	324	324
17032	171	171
17034	164	164
17037	236	236
17038	305	305
17039	295	295
17040	338	338
17041	405	405
18004	375	375
18006	141	141
18007	330	330
18008	357	357
18009	150	150
18010	475	475
18012	311	311
18013	374	374
18014	374	374
18016	344	344
18018	298	298
18019	341	341
18020	288	288
18021	150	150
18022	424	424
18026	329	329
18029	47	47
18032	19	19
18033	39	39
18035	422	422
18036	368	368
18037	413	413
18038	345	345
18041	417	417
21002	171	171
21004	335	335
21013	42	42
21015	253	253
21017	45	45
21020	245	245
21026	333	333
21028	433	433
21030	281	281
21034	159	159
21043	343	343
21044	110	110
21047	333	333
21051	337	337
21052	311	311
21053	174	174
21054	311	311
Lyons 5	432	432
Lyons 23	396	396
Lyons 25	156	156
Lyons 28	136	136
Lyons 49	230	230
Lyons 52	421	421
Lyons 53	346	346
Lyons 54	85	85
Lyons 61	390	390
Lyons 73	377	377
Lyons 76	225	225
Lyons 78	241	241
Palos 4	284	284
Palos 5	212	212
Palos 19	441	441
Palos 23	240	240
Palos 27	8	8
Palos 28	347	347
Palos 31	358	358
Palos 38	333	333
Stickney 9	1	1
Worth 1	224	224
Worth 2	435	435
Worth 21	553	553
Worth 25	148	148
Worth 26	231	231
Worth 30	416	416
Worth 33	40	40
Worth 40	65	65
Worth 44	242	242
Worth 47	221	221
Worth 53	402	402
Worth 58	217	217
Worth 66	265	265
Worth 76	204	204
Worth 82	374	374
Worth 83	158	158
Worth 94	427	427
Worth 99	226	226
