Precinct	total_votes	votes|Don Harmon
29001	272	272
29004	201	201
29005	116	116
29007	203	203
29009	220	220
29010	261	261
29012	223	223
29013	163	163
29015	209	209
29017	188	188
29023	147	147
29024	138	138
29025	227	227
29026	202	202
29027	146	146
29030	111	111
29033	159	159
29035	127	127
29036	32	32
29037	169	169
29040	208	208
29041	130	130
29043	252	252
29044	209	209
37018	145	145
37029	72	72
37035	175	175
37037	174	174
Elk Grove 17	0	0
Leyden 3	176	176
Leyden 4	97	97
Leyden 5	140	140
Leyden 6	179	179
Leyden 7	86	86
Leyden 8	160	160
Leyden 9	185	185
Leyden 10	153	153
Leyden 11	130	130
Leyden 13	125	125
Leyden 14	106	106
Leyden 15	140	140
Leyden 16	159	159
Leyden 19	161	161
Leyden 20	60	60
Leyden 21	89	89
Leyden 22	96	96
Leyden 24	106	106
Leyden 26	200	200
Leyden 29	70	70
Leyden 30	134	134
Leyden 31	130	130
Leyden 32	164	164
Leyden 33	108	108
Leyden 34	63	63
Leyden 35	53	53
Leyden 36	110	110
Leyden 39	99	99
Leyden 40	113	113
Leyden 41	63	63
Leyden 43	101	101
Leyden 46	125	125
Leyden 47	80	80
Leyden 48	126	126
Leyden 50	181	181
Maine 56	2	2
Maine 66	8	8
Oak Park 1	293	293
Oak Park 2	448	448
Oak Park 3	511	511
Oak Park 4	394	394
Oak Park 5	460	460
Oak Park 6	388	388
Oak Park 7	293	293
Oak Park 8	417	417
Oak Park 9	234	234
Oak Park 10	424	424
Oak Park 11	334	334
Oak Park 12	181	181
Oak Park 13	353	353
Oak Park 14	412	412
Oak Park 15	466	466
Oak Park 18	310	310
Oak Park 19	369	369
Oak Park 20	489	489
Oak Park 21	226	226
Oak Park 22	219	219
Oak Park 23	342	342
Oak Park 24	291	291
Oak Park 26	365	365
Oak Park 28	408	408
Oak Park 30	429	429
Oak Park 32	267	267
Oak Park 34	296	296
Oak Park 35	435	435
Oak Park 36	267	267
Oak Park 37	217	217
Proviso 2	146	146
Proviso 10	96	96
Proviso 11	124	124
Proviso 12	208	208
Proviso 13	114	114
Proviso 14	107	107
Proviso 15	114	114
Proviso 48	110	110
Proviso 64	5	5
Proviso 78	43	43
Proviso 80	73	73
Proviso 87	225	225
Proviso 88	51	51
Proviso 95	49	49
Proviso 98	222	222
Proviso 100	273	273
