Precinct	total_votes	votes|Robin Kelly	votes|David Merkle
05001	387	384	3
05006	387	376	11
05010	65	65	0
05011	327	314	13
05014	385	376	9
05018	194	185	9
05023	893	841	52
05025	386	375	11
05026	480	464	16
05028	525	509	16
05029	496	474	22
05031	371	368	3
05032	604	584	20
05035	108	106	2
05036	270	263	7
05037	567	543	24
05038	426	418	8
05040	339	335	4
05041	288	282	6
07001	202	197	5
07002	361	351	10
07003	400	394	6
07004	385	375	10
07005	319	307	12
07006	477	463	14
07007	366	360	6
07008	317	308	9
07009	649	625	24
07010	419	414	5
07011	404	396	8
07012	350	340	10
07013	231	225	6
07014	401	390	11
07015	365	360	5
07016	284	273	11
07017	312	302	10
07018	337	319	18
07019	355	344	11
07020	279	274	5
07021	281	278	3
07022	319	304	15
07023	357	352	5
07024	302	297	5
07025	303	291	12
07026	301	296	5
07027	301	297	4
07028	272	267	5
07029	309	299	10
07030	263	251	12
07031	245	236	9
07032	495	481	14
07033	480	470	10
07034	438	434	4
07035	399	389	10
07036	439	431	8
07037	385	374	11
07038	313	306	7
07039	339	332	7
07040	314	309	5
07041	373	369	4
07042	309	307	2
07043	371	359	12
07044	307	302	5
07045	346	336	10
07046	153	150	3
08004	282	280	2
08005	18	17	1
08007	441	438	3
08009	261	257	4
08017	346	341	5
08027	343	338	5
08028	402	390	12
08032	316	314	2
08036	415	411	4
08039	382	378	4
08042	469	460	9
08046	313	308	5
08049	17	17	0
08050	159	156	3
08053	221	216	5
09001	374	369	5
09002	330	324	6
09003	283	277	6
09004	279	278	1
09005	353	352	1
09006	343	339	4
09007	305	294	11
09008	358	356	2
09009	377	373	4
09010	302	297	5
09011	246	241	5
09013	419	409	10
09014	447	434	13
09015	401	396	5
09016	321	319	2
09017	242	238	4
09018	259	255	4
09019	342	338	4
09020	364	358	6
09021	311	299	12
09022	370	359	11
09026	408	404	4
09027	326	320	6
09028	225	217	8
09029	335	327	8
09030	288	276	12
09031	274	268	6
09032	367	360	7
09033	268	266	2
09034	266	259	7
09035	369	363	6
09037	520	452	68
09038	391	382	9
09039	392	382	10
09040	395	386	9
09041	299	294	5
09043	316	308	8
09044	321	314	7
09045	291	283	8
09046	368	353	15
10001	336	314	22
10002	371	248	123
10003	377	263	114
10004	273	250	23
10005	296	205	91
10006	294	251	43
10007	258	220	38
10008	233	221	12
10009	344	242	102
10010	370	296	74
10011	408	349	59
10012	232	185	47
10013	318	297	21
10014	448	362	86
10015	677	668	9
10016	279	214	65
10017	479	347	132
10018	232	214	18
10019	370	268	102
10020	397	321	76
10021	360	309	51
10022	207	192	15
10023	315	281	34
10024	366	238	128
10025	102	96	6
10026	265	243	22
10027	355	328	27
10028	392	333	59
10029	317	276	41
10030	299	270	29
10031	263	243	20
10032	361	290	71
10033	251	220	31
10034	252	233	19
10035	426	305	121
10036	90	83	7
34002	53	52	1
34004	278	268	10
34018	287	276	11
34022	269	263	6
34023	295	293	2
34024	340	332	8
34027	318	307	11
34028	238	233	5
34030	228	226	2
34036	340	332	8
34037	219	213	6
34038	177	173	4
34039	259	252	7
34041	173	170	3
34053	232	227	5
Bloom 1	656	500	156
Bloom 2	628	455	173
Bloom 3	384	314	70
Bloom 4	402	352	50
Bloom 5	390	246	144
Bloom 6	186	185	1
Bloom 7	549	390	159
Bloom 8	497	322	175
Bloom 9	416	253	163
Bloom 10	195	190	5
Bloom 11	335	206	129
Bloom 12	498	412	86
Bloom 13	817	722	95
Bloom 14	736	555	181
Bloom 15	396	276	120
Bloom 16	488	399	89
Bloom 17	389	358	31
Bloom 18	470	353	117
Bloom 19	518	433	85
Bloom 20	510	374	136
Bloom 21	132	127	5
Bloom 22	401	341	60
Bloom 23	464	437	27
Bloom 24	826	694	132
Bloom 25	333	284	49
Bloom 26	336	261	75
Bloom 27	466	414	52
Bloom 28	472	331	141
Bloom 29	185	181	4
Bloom 30	641	554	87
Bloom 31	527	355	172
Bloom 32	368	335	33
Bloom 33	454	413	41
Bloom 34	314	288	26
Bloom 35	239	209	30
Bloom 36	651	610	41
Bloom 37	313	296	17
Bloom 38	1,147	1,069	78
Bloom 39	324	295	29
Bloom 40	345	295	50
Bloom 41	642	595	47
Bloom 42	489	434	55
Bloom 43	486	455	31
Bloom 44	595	412	183
Bloom 45	732	653	79
Bloom 46	352	319	33
Bloom 47	697	510	187
Bloom 48	415	362	53
Bloom 49	544	517	27
Bloom 50	498	405	93
Bloom 51	229	203	26
Bloom 52	335	327	8
Bloom 53	264	192	72
Bloom 54	475	356	119
Bloom 55	384	354	30
Bloom 56	433	288	145
Bloom 57	466	331	135
Bloom 58	364	319	45
Bloom 59	387	325	62
Bloom 60	438	424	14
Bloom 61	432	275	157
Bremen 3	4	3	1
Bremen 7	289	272	17
Bremen 8	375	365	10
Bremen 26	477	416	61
Bremen 29	688	666	22
Bremen 31	466	435	31
Bremen 32	431	405	26
Bremen 35	304	296	8
Bremen 38	375	364	11
Bremen 39	303	287	16
Bremen 40	425	381	44
Bremen 44	396	374	22
Bremen 45	122	117	5
Bremen 47	415	392	23
Bremen 48	380	356	24
Bremen 49	421	409	12
Bremen 51	607	583	24
Bremen 56	527	506	21
