Precinct	total_votes	votes|Jesus ''Chuy'' Garcia	votes|Mark Wayne Lorch
01001	584	532	52
01002	469	445	24
01007	406	375	31
01009	453	407	46
01013	254	230	24
01015	428	366	62
01016	662	615	47
01017	486	448	38
01018	532	495	37
01019	645	587	58
01020	444	413	31
01022	359	327	32
01023	771	705	66
01024	473	452	21
01025	555	505	50
01026	346	320	26
01027	604	521	83
01029	676	594	82
01030	596	549	47
01031	525	475	50
01034	448	417	31
01038	478	426	52
01041	332	313	19
01042	179	162	17
01043	348	319	29
01044	505	453	52
11003	447	414	33
11037	1	1	0
11038	242	216	26
12002	350	308	42
12003	104	91	13
12005	219	162	57
12006	386	339	47
12007	347	324	23
12008	395	348	47
12010	370	355	15
12011	383	361	22
12012	383	344	39
12013	369	339	30
12014	343	331	12
12015	125	122	3
12016	339	328	11
12017	376	337	39
12018	184	173	11
12019	9	9	0
12020	447	412	35
12021	356	316	40
12022	306	297	9
14002	459	394	65
14003	371	350	21
14005	457	432	25
14006	173	164	9
14010	257	217	40
14011	212	196	16
14013	315	275	40
14014	320	296	24
14015	391	370	21
14016	253	227	26
14017	292	266	26
14019	313	291	22
14020	255	231	24
14025	205	185	20
14027	356	296	60
14028	280	245	35
14030	197	185	12
14031	206	193	13
15001	72	65	7
15004	338	319	19
15005	240	213	27
15006	329	291	38
15008	279	264	15
15009	418	396	22
15010	457	415	42
15011	369	337	32
15012	385	354	31
15015	95	88	7
16001	112	107	5
22003	475	447	28
22004	273	264	9
22005	336	318	18
22006	324	316	8
22007	252	244	8
22009	284	278	6
22010	452	424	28
22011	281	269	12
22013	341	321	20
22014	115	110	5
22015	266	251	15
22016	295	278	17
22017	354	332	22
22018	302	287	15
22019	4	4	0
22020	304	290	14
22022	303	283	20
22024	361	340	21
22025	340	321	19
23009	158	141	17
23013	307	284	23
23015	4	3	1
23024	293	260	33
23026	129	118	11
23034	140	127	13
23039	292	268	24
24016	269	257	12
25001	355	327	28
25002	520	500	20
25005	482	441	41
25007	481	455	26
25008	500	478	22
25009	440	420	20
25011	497	471	26
25012	452	435	17
25013	522	505	17
25014	29	27	2
25015	413	379	34
25017	527	487	40
25019	492	476	16
25022	434	419	15
25023	516	495	21
25024	467	437	30
25026	404	373	31
25027	41	37	4
25028	482	465	17
25030	444	427	17
25032	374	333	41
26001	202	192	10
26002	323	300	23
26005	343	326	17
26006	318	296	22
26007	381	360	21
26008	193	179	14
26009	260	237	23
26010	83	81	2
26011	325	297	28
26012	407	382	25
26013	193	183	10
26014	279	267	12
26015	214	196	18
26016	196	180	16
26018	285	262	23
26020	326	297	29
26022	182	173	9
26023	239	219	20
26024	298	282	16
26025	348	323	25
26026	257	235	22
26027	239	214	25
26029	232	209	23
26030	288	277	11
26031	155	135	20
26033	67	62	5
26034	472	450	22
26035	312	293	19
26036	20	19	1
26037	388	368	20
26038	160	149	11
26039	171	148	23
26040	250	236	14
26041	422	394	28
26042	306	296	10
26043	204	194	10
26044	219	201	18
26045	83	81	2
26047	244	218	26
26048	357	325	32
26049	208	197	11
28019	4	3	1
29001	15	12	3
29009	462	379	83
29023	408	324	84
29030	544	485	59
29038	435	353	82
29039	185	151	34
29043	184	169	15
30001	478	396	82
30002	416	349	67
30003	360	316	44
30004	408	325	83
30005	308	267	41
30006	354	298	56
30007	448	376	72
30008	530	474	56
30009	349	277	72
30010	435	374	61
30011	386	346	40
30012	360	310	50
30013	409	341	68
30014	269	240	29
30015	114	97	17
30016	201	175	26
30017	187	151	36
30018	523	487	36
30019	379	344	35
30020	461	385	76
30022	575	512	63
30023	460	407	53
30024	555	499	56
30025	601	538	63
30026	254	207	47
30027	282	237	45
30028	433	385	48
30029	228	202	26
