Precinct	total_votes	votes|Sara Feigenholtz
02028	530	530
02030	394	394
02031	525	525
02033	664	664
02035	594	594
02037	442	442
02038	147	147
02044	286	286
27009	0	0
27012	283	283
27046	300	300
43004	563	563
43008	370	370
43012	366	366
43013	486	486
43014	478	478
43015	491	491
43019	555	555
43025	394	394
43026	329	329
43027	470	470
43028	623	623
43032	515	515
43033	473	473
43034	367	367
43036	299	299
43038	350	350
43042	495	495
43043	425	425
44001	857	857
44003	334	334
44004	469	469
44005	657	657
44006	703	703
44007	361	361
44008	775	775
44010	561	561
44011	197	197
44012	580	580
44013	452	452
44014	503	503
44015	497	497
44017	744	744
44018	603	603
44019	683	683
44020	619	619
44021	723	723
44022	586	586
44023	565	565
44024	402	402
44025	28	28
44026	689	689
44027	660	660
44028	539	539
44029	575	575
44031	475	475
44032	600	600
44033	623	623
44034	613	613
44035	655	655
44036	590	590
44037	640	640
44038	554	554
44039	582	582
44040	499	499
44041	703	703
46003	620	620
46005	688	688
46007	543	543
46009	580	580
46010	853	853
46011	486	486
46013	504	504
46015	523	523
46017	576	576
46018	576	576
46019	369	369
46024	630	630
46026	261	261
46027	677	677
46028	493	493
46029	382	382
46030	549	549
46031	540	540
46033	630	630
46034	615	615
46035	576	576
46036	502	502
46038	562	562
46039	501	501
