Precinct	total_votes	votes|Angeles Sandoval	votes|Alma E. Anaya
11003	192	83	109
11007	73	29	44
11033	197	96	101
11037	82	39	43
11038	109	41	68
12001	231	83	148
12002	180	86	94
12003	291	110	181
12004	243	98	145
12005	206	76	130
12006	191	91	100
12007	171	48	123
12008	240	102	138
12009	175	84	91
12010	212	93	119
12011	197	86	111
12012	192	94	98
12013	219	109	110
12014	174	52	122
12015	179	67	112
12016	155	61	94
12017	199	104	95
12018	133	63	70
12019	51	23	28
12020	216	106	110
12021	202	86	116
12022	166	60	106
12023	28	14	14
13003	168	76	92
13005	74	38	36
13015	306	120	186
13028	164	67	97
13030	148	48	100
13034	306	70	236
13035	49	17	32
13039	34	15	19
13040	36	27	9
13046	91	37	54
14003	169	85	84
14005	259	132	127
14006	101	65	36
14010	132	66	66
14011	127	88	39
14014	214	122	92
14015	201	122	79
14016	149	88	61
14017	174	85	89
14019	203	111	92
14020	125	65	60
14021	209	90	119
14025	128	58	70
14026	150	80	70
14029	199	84	115
14030	114	51	63
14031	104	56	48
15001	177	56	121
15004	182	64	118
15005	155	56	99
15006	164	74	90
15008	163	57	106
15009	218	94	124
15010	214	102	112
15011	184	88	96
15012	190	94	96
15013	160	53	107
15014	151	45	106
15015	124	60	64
15016	139	77	62
15019	160	96	64
16001	196	94	102
16013	42	21	21
16017	70	46	24
16023	85	54	31
16032	142	78	64
16035	179	100	79
17007	97	59	38
17012	170	104	66
17014	176	97	79
20015	133	67	66
20017	45	25	20
20020	119	49	70
22001	130	87	43
22002	249	157	92
22003	263	99	164
22004	155	52	103
22005	167	54	113
22006	175	67	108
22007	135	46	89
22008	272	157	115
22009	140	50	90
22010	239	66	173
22011	173	60	113
22012	185	94	91
22013	180	51	129
22014	152	56	96
22015	139	48	91
22016	132	51	81
22017	203	53	150
22018	148	47	101
22020	171	54	117
22022	147	51	96
22023	274	184	90
22024	197	62	135
22025	180	61	119
23005	181	112	69
23007	155	84	71
23009	164	88	76
23010	136	72	64
23011	182	84	98
23013	145	77	68
23015	153	81	72
23017	100	53	47
23019	150	65	85
23020	101	43	58
23024	156	79	77
23026	173	95	78
23030	212	108	104
23031	140	56	84
23032	174	96	78
23033	177	71	106
23034	174	80	94
23039	175	94	81
24007	96	46	50
24016	221	98	123
25001	222	82	140
25002	241	82	159
25005	254	104	150
25007	238	82	156
25008	250	84	166
25009	206	62	144
25011	251	68	183
25012	226	80	146
25013	261	68	193
25014	15	7	8
25015	199	65	134
25017	281	118	163
25019	264	64	200
25022	214	66	148
25023	294	104	190
25024	238	82	156
25026	203	84	119
25027	15	6	9
25028	264	79	185
25030	225	52	173
25032	211	75	136
28019	1	0	1
28034	6	4	2
