Precinct	total_votes	votes|Camille Lilly
29001	280	280
29004	213	213
29005	119	119
29007	210	210
29009	217	217
29010	252	252
29012	226	226
29013	175	175
29015	220	220
29017	193	193
29023	150	150
29024	147	147
29025	240	240
29026	202	202
29027	159	159
29030	112	112
29033	159	159
29035	131	131
29036	33	33
29037	177	177
29040	224	224
29041	135	135
29043	259	259
29044	217	217
37018	152	152
37029	80	80
37035	191	191
37037	181	181
Leyden 3	169	169
Leyden 5	133	133
Leyden 6	173	173
Leyden 7	83	83
Leyden 8	155	155
Leyden 9	180	180
Leyden 10	149	149
Leyden 11	128	128
Leyden 13	122	122
Leyden 14	103	103
Leyden 16	139	139
Leyden 19	165	165
Leyden 20	58	58
Leyden 22	88	88
Leyden 26	200	200
Leyden 30	124	124
Leyden 34	62	62
Leyden 36	110	110
Leyden 39	99	99
Leyden 46	121	121
Leyden 50	179	179
Oak Park 1	293	293
Oak Park 2	445	445
Oak Park 3	504	504
Oak Park 4	378	378
Oak Park 5	441	441
Oak Park 6	380	380
Oak Park 7	286	286
Oak Park 8	400	400
Oak Park 9	228	228
Oak Park 10	406	406
Oak Park 11	328	328
Oak Park 12	176	176
Oak Park 13	343	343
Oak Park 14	400	400
Oak Park 15	449	449
Oak Park 18	300	300
Oak Park 19	356	356
Oak Park 20	470	470
Oak Park 21	227	227
Oak Park 22	214	214
Oak Park 23	325	325
Oak Park 24	279	279
Oak Park 26	352	352
Oak Park 28	398	398
Oak Park 30	435	435
Oak Park 32	260	260
Oak Park 34	297	297
Oak Park 35	421	421
Oak Park 36	256	256
Oak Park 37	210	210
