Precinct	total_votes	votes|Jaime M. Andrade, Jr.
01041	18	18
01042	22	22
30003	315	315
30007	7	7
30008	452	452
30015	357	357
30018	282	282
30022	506	506
30023	12	12
30024	281	281
30025	230	230
30028	378	378
30032	281	281
32001	155	155
32003	298	298
32017	525	525
32026	293	293
32028	229	229
32043	469	469
33001	481	481
33002	334	334
33003	577	577
33004	643	643
33005	343	343
33006	429	429
33007	418	418
33009	545	545
33011	535	535
33012	484	484
33013	473	473
33014	251	251
33015	483	483
33016	625	625
33017	548	548
33018	466	466
33019	538	538
33020	529	529
33021	525	525
33022	452	452
33025	605	605
33026	420	420
33027	534	534
33028	494	494
35001	436	436
35004	396	396
35005	390	390
35006	399	399
35009	353	353
35020	376	376
35022	529	529
35023	428	428
35024	374	374
35026	356	356
35027	349	349
35029	349	349
35030	382	382
35031	437	437
39003	423	423
39006	1	1
39012	281	281
39025	280	280
39028	496	496
39031	280	280
39034	409	409
45001	348	348
45002	411	411
45003	383	383
45004	500	500
45005	401	401
45006	539	539
45007	578	578
45008	29	29
