Precinct	total_votes	votes|Jeffrey R. Tobolski
14002	397	397
14007	363	363
14008	346	346
14012	344	344
14013	282	282
14018	125	125
14022	384	384
14027	298	298
14028	242	242
Berwyn Ward 1 Precinct 1	300	300
Berwyn Ward 1 Precinct 2	323	323
Berwyn Ward 1 Precinct 3	544	544
Berwyn Ward 1 Precinct 4	312	312
Berwyn Ward 1 Precinct 5	310	310
Berwyn Ward 2 Precinct 1	243	243
Berwyn Ward 2 Precinct 2	321	321
Berwyn Ward 2 Precinct 3	448	448
Berwyn Ward 2 Precinct 4	564	564
Berwyn Ward 3 Precinct 1	365	365
Berwyn Ward 3 Precinct 2	290	290
Berwyn Ward 3 Precinct 3	290	290
Berwyn Ward 3 Precinct 4	386	386
Berwyn Ward 3 Precinct 5	509	509
Berwyn Ward 4 Precinct 1	254	254
Berwyn Ward 4 Precinct 2	396	396
Berwyn Ward 4 Precinct 3	444	444
Berwyn Ward 4 Precinct 4	255	255
Berwyn Ward 5 Precinct 1	598	598
Berwyn Ward 5 Precinct 2	367	367
Berwyn Ward 5 Precinct 3	334	334
Berwyn Ward 6 Precinct 1	212	212
Berwyn Ward 6 Precinct 2	279	279
Berwyn Ward 6 Precinct 3	374	374
Berwyn Ward 6 Precinct 4	445	445
Berwyn Ward 7 Precinct 1	343	343
Berwyn Ward 7 Precinct 2	378	378
Berwyn Ward 7 Precinct 3	421	421
Berwyn Ward 7 Precinct 4	506	506
Berwyn Ward 8 Precinct 1	626	626
Berwyn Ward 8 Precinct 2	357	357
Berwyn Ward 8 Precinct 3	260	260
Cicero 1	439	439
Cicero 2	224	224
Cicero 3	294	294
Cicero 4	309	309
Cicero 5	447	447
Cicero 6	382	382
Cicero 7	258	258
Cicero 8	218	218
Cicero 9	384	384
Cicero 10	448	448
Cicero 11	409	409
Cicero 12	320	320
Cicero 13	363	363
Cicero 14	341	341
Cicero 15	394	394
Cicero 16	284	284
Cicero 17	423	423
Cicero 18	239	239
Cicero 19	490	490
Cicero 20	274	274
Cicero 21	367	367
Cicero 22	312	312
Cicero 23	486	486
Cicero 24	421	421
Cicero 25	356	356
Cicero 26	262	262
Cicero 27	385	385
Cicero 28	362	362
Cicero 29	349	349
Cicero 30	337	337
Cicero 31	269	269
Cicero 32	327	327
Leyden 4	341	341
Leyden 6	472	472
Leyden 7	202	202
Leyden 8	301	301
Leyden 15	419	419
Leyden 16	394	394
Leyden 21	266	266
Leyden 24	381	381
Leyden 29	257	257
Leyden 31	386	386
Leyden 33	377	377
Leyden 35	189	189
Leyden 40	338	338
Leyden 41	209	209
Leyden 43	286	286
Leyden 46	325	325
Leyden 47	304	304
Leyden 48	399	399
Lyons 1	46	46
Lyons 2	355	355
Lyons 3	334	334
Lyons 4	606	606
Lyons 6	282	282
Lyons 7	433	433
Lyons 9	541	541
Lyons 10	376	376
Lyons 11	324	324
Lyons 14	305	305
Lyons 15	288	288
Lyons 19	375	375
Lyons 22	279	279
Lyons 25	179	179
Lyons 30	75	75
Lyons 37	277	277
Lyons 43	321	321
Lyons 45	479	479
Lyons 50	476	476
Lyons 56	535	535
Lyons 57	439	439
Lyons 59	324	324
Lyons 60	622	622
Lyons 64	362	362
Lyons 66	274	274
Lyons 67	415	415
Lyons 72	531	531
Lyons 76	264	264
Proviso 1	351	351
Proviso 2	340	340
Proviso 3	241	241
Proviso 10	322	322
Proviso 11	317	317
Proviso 12	465	465
Proviso 13	413	413
Proviso 14	265	265
Proviso 15	365	365
Proviso 39	245	245
Proviso 49	333	333
Proviso 51	288	288
Proviso 57	382	382
Proviso 63	382	382
Proviso 78	108	108
Proviso 80	265	265
Proviso 81	209	209
Proviso 85	404	404
Proviso 87	434	434
Proviso 88	190	190
Proviso 91	264	264
Proviso 92	242	242
Proviso 93	35	35
Proviso 95	137	137
Proviso 98	431	431
Proviso 99	2	2
Proviso 100	528	528
Proviso 101	381	381
Proviso 102	534	534
Riverside 2	25	25
Riverside 6	386	386
Riverside 7	316	316
Riverside 11	32	32
Riverside 12	302	302
Riverside 13	447	447
Stickney 1	180	180
Stickney 2	297	297
Stickney 10	442	442
Stickney 16	472	472
Stickney 17	263	263
Stickney 19	316	316
