Precinct	total_votes	votes|Bushra Amiwala	votes|Larry Suffredin	votes|Daniel Foster
Niles 24	268	132	84	52
Niles 25	156	58	57	41
Niles 26	215	72	94	49
Niles 27	152	60	51	41
Niles 28	305	50	217	38
Niles 29	142	29	79	34
Niles 30	161	58	73	30
Niles 31	280	83	136	61
Niles 32	93	20	51	22
Niles 33	287	121	130	36
Niles 34	200	52	111	37
Niles 35	230	117	70	43
Niles 36	160	62	68	30
Niles 37	230	92	91	47
Niles 38	347	120	144	83
Niles 39	236	73	118	45
Niles 40	100	22	57	21
Niles 41	244	80	115	49
Niles 42	216	103	68	45
Niles 43	222	77	80	65
Niles 44	305	149	111	45
Niles 45	215	82	102	31
Niles 46	206	60	101	45
Niles 47	157	44	82	31
Niles 48	189	81	60	48
Niles 49	438	95	278	65
Niles 50	223	67	88	68
Niles 51	107	29	54	24
Niles 52	170	68	70	32
Niles 53	295	83	147	65
Niles 54	142	38	68	36
Niles 55	192	89	73	30
Niles 56	247	55	136	56
Niles 57	240	77	105	58
Niles 58	221	78	91	52
Niles 59	311	104	138	69
Niles 60	293	88	136	69
Niles 61	283	119	123	41
Niles 62	152	51	54	47
Niles 63	355	156	148	51
Niles 64	314	86	163	65
