Precinct	total_votes	votes|Silvana Tabares	votes|Rebecca Davies
Stickney 20	164	96	68
Worth 1	94	37	57
Worth 2	185	79	106
Worth 3	180	68	112
Worth 4	241	97	144
Worth 5	190	75	115
Worth 6	175	74	101
Worth 9	143	55	88
Worth 11	199	82	117
Worth 15	123	56	67
Worth 21	255	119	136
Worth 22	161	73	88
Worth 25	226	81	145
Worth 26	137	76	61
Worth 27	154	63	91
Worth 28	123	38	85
Worth 30	195	91	104
Worth 33	126	60	66
Worth 35	181	67	114
Worth 36	234	90	144
Worth 40	222	76	146
Worth 41	137	64	73
Worth 44	106	65	41
Worth 46	214	80	134
Worth 47	99	40	59
Worth 48	147	55	92
Worth 49	109	50	59
Worth 51	115	37	78
Worth 53	200	78	122
Worth 56	183	70	113
Worth 58	189	82	107
Worth 60	123	50	73
Worth 61	151	60	91
Worth 62	118	47	71
Worth 63	172	73	99
Worth 66	118	61	57
Worth 67	66	25	41
Worth 70	238	96	142
Worth 71	118	42	76
Worth 74	100	48	52
Worth 75	221	86	135
Worth 76	86	38	48
Worth 77	196	90	106
Worth 78	236	74	162
Worth 81	58	25	33
Worth 82	170	60	110
Worth 83	89	36	53
Worth 84	194	73	121
Worth 85	190	73	117
Worth 86	227	122	105
Worth 90	215	86	129
Worth 91	110	47	63
Worth 92	173	60	113
Worth 93	106	55	51
Worth 94	202	79	123
Worth 98	220	98	122
Worth 99	91	43	48
Worth 100	201	74	127
