Precinct	total_votes	votes|John P. Daley	votes|Steven S. Graves
03029	62	57	5
11001	419	343	76
11004	360	301	59
11005	540	473	67
11008	411	354	57
11009	341	278	63
11010	389	331	58
11011	464	360	104
11012	571	465	106
11013	519	411	108
11014	216	177	39
11015	165	137	28
11016	285	229	56
11017	529	448	81
11018	328	276	52
11019	536	469	67
11020	289	249	40
11021	543	489	54
11022	485	401	84
11023	269	236	33
11024	505	456	49
11025	553	466	87
11026	504	433	71
11027	139	123	16
11028	194	154	40
11029	486	419	67
11030	218	165	53
11031	432	362	70
11032	212	180	32
11034	157	128	29
11035	117	100	17
11036	181	150	31
12019	274	236	38
12023	322	276	46
13001	288	202	86
13002	295	212	83
13004	344	235	109
13005	342	299	43
13006	347	235	112
13007	257	221	36
13008	274	203	71
13009	340	289	51
13010	320	197	123
13011	363	277	86
13012	299	243	56
13013	347	312	35
13014	335	284	51
13016	222	199	23
13017	286	225	61
13018	267	195	72
13019	357	335	22
13020	198	138	60
13021	396	262	134
13022	375	255	120
13023	248	224	24
13024	333	271	62
13025	332	287	45
13026	312	243	69
13027	309	242	67
13029	254	218	36
13030	72	69	3
13031	367	257	110
13032	279	184	95
13033	347	248	99
13035	232	208	24
13036	203	176	27
13037	366	322	44
13038	293	201	92
13039	282	259	23
13040	293	247	46
13041	359	331	28
13042	328	224	104
13043	337	280	57
13044	343	317	26
13045	383	298	85
13046	271	243	28
13047	351	316	35
13048	303	216	87
14001	418	269	149
14004	375	256	119
14009	430	324	106
14022	16	12	4
14023	299	242	57
14024	446	306	140
15003	28	27	1
15016	100	97	3
15019	5	5	0
16002	268	254	14
16007	242	230	12
16008	176	166	10
16010	20	20	0
16011	262	249	13
16012	225	214	11
16013	125	118	7
16017	136	124	12
16018	288	276	12
16019	229	220	9
16021	29	28	1
16022	10	10	0
16023	101	96	5
17001	322	301	21
17007	259	239	20
17012	48	46	2
17016	282	263	19
17030	254	228	26
18002	335	284	51
18003	329	259	70
18006	311	237	74
18011	302	276	26
18015	394	350	44
18017	354	326	28
18024	367	310	57
18025	353	299	54
18028	355	259	96
18029	366	328	38
18030	426	341	85
18036	284	253	31
18040	397	343	54
18043	262	217	45
18044	324	233	91
18045	322	296	26
18046	391	319	72
19001	389	270	119
19002	577	505	72
19003	340	117	223
19004	481	220	261
19005	469	394	75
19006	444	242	202
19007	376	274	102
19008	473	209	264
19009	319	187	132
19010	518	403	115
19011	407	171	236
19012	354	150	204
19013	492	455	37
19014	491	404	87
19015	535	250	285
19016	455	200	255
19017	383	250	133
19018	399	320	79
19019	561	462	99
19020	357	319	38
19021	399	188	211
19022	473	364	109
19023	434	281	153
19024	308	117	191
19025	419	295	124
19026	439	328	111
19027	440	371	69
19028	477	439	38
19029	434	202	232
19030	400	175	225
19031	398	287	111
19032	384	242	142
19033	459	181	278
19034	402	307	95
19035	402	311	91
19036	576	524	52
19037	413	365	48
19038	370	321	49
19039	166	152	14
19040	443	343	100
19041	400	185	215
19042	363	288	75
19043	559	523	36
19044	474	213	261
19045	427	260	167
19046	436	288	148
19047	593	515	78
19048	464	445	19
19049	496	437	59
19050	361	250	111
19051	472	331	141
19052	461	222	239
19053	379	274	105
19054	352	166	186
19055	364	148	216
19056	469	373	96
19057	354	290	64
20004	143	140	3
20017	110	98	12
20021	198	186	12
20025	31	28	3
23001	328	208	120
23002	361	246	115
23003	350	210	140
23004	392	279	113
23006	358	300	58
23008	404	330	74
23010	171	144	27
23012	352	210	142
23014	336	222	114
23016	350	229	121
23018	288	186	102
23021	347	207	140
23022	360	263	97
23023	340	232	108
23025	286	237	49
23026	110	95	15
23027	293	175	118
23028	357	243	114
23029	299	223	76
23035	250	156	94
23036	334	223	111
23037	353	219	134
23038	315	220	95
34049	5	5	0
Stickney 3	686	483	203
Stickney 4	532	367	165
Stickney 5	591	386	205
Stickney 6	657	441	216
Stickney 7	279	195	84
Stickney 8	442	292	150
Stickney 9	447	304	143
Stickney 11	511	356	155
Stickney 12	485	316	169
Stickney 13	395	284	111
Stickney 14	584	387	197
Stickney 15	533	375	158
Stickney 18	250	170	80
Stickney 20	394	297	97
Worth 1	272	180	92
Worth 2	587	361	226
Worth 3	556	333	223
Worth 5	558	324	234
Worth 10	651	487	164
Worth 11	542	349	193
Worth 13	595	421	174
Worth 25	605	408	197
Worth 26	130	92	38
Worth 27	434	259	175
Worth 30	568	367	201
Worth 31	489	368	121
Worth 32	360	239	121
Worth 35	575	330	245
Worth 36	561	401	160
Worth 39	498	322	176
Worth 40	552	398	154
Worth 41	293	194	99
Worth 44	343	211	132
Worth 45	447	305	142
Worth 46	655	405	250
Worth 47	284	201	83
Worth 48	402	268	134
Worth 49	335	222	113
Worth 52	340	215	125
Worth 53	518	348	170
Worth 54	560	403	157
Worth 56	519	295	224
Worth 57	592	405	187
Worth 58	568	379	189
Worth 60	308	174	134
Worth 62	311	187	124
Worth 63	505	351	154
Worth 69	619	470	149
Worth 72	578	434	144
Worth 75	455	305	150
Worth 77	531	346	185
Worth 82	509	330	179
Worth 84	524	336	188
Worth 85	525	339	186
Worth 92	537	345	192
Worth 93	297	199	98
Worth 94	560	360	200
Worth 96	632	485	147
Worth 99	320	197	123
Worth 100	453	298	155
