Precinct	total_votes	votes|Curtis J. Tarver Ii
04001	724	724
04005	480	480
04009	550	550
04010	607	607
04015	494	494
04022	503	503
04023	604	604
04027	654	654
04031	500	500
04034	329	329
05001	372	372
05003	524	524
05007	497	497
05008	490	490
05009	570	570
05011	497	497
05014	250	250
05017	155	155
05018	458	458
05019	433	433
05020	552	552
05021	254	254
05022	530	530
05023	804	804
05024	536	536
05025	419	419
05026	438	438
05027	543	543
05028	255	255
05029	448	448
05031	348	348
05032	557	557
05033	489	489
05034	550	550
05035	578	578
05037	529	529
05038	390	390
05039	373	373
05040	318	318
05041	265	265
07005	286	286
07006	438	438
07007	343	343
07008	293	293
07009	600	600
07011	323	323
07012	320	320
07013	213	213
07014	362	362
07016	257	257
07017	294	294
07018	300	300
07021	230	230
07022	292	292
07025	28	28
07032	264	264
07033	428	428
07034	417	417
07035	377	377
07037	340	340
07046	142	142
10001	312	312
10004	242	242
10006	251	251
10007	221	221
10008	207	207
10010	296	296
10011	355	355
10012	189	189
10014	362	362
10019	296	296
10020	311	311
10021	298	298
10022	188	188
10023	249	249
10025	98	98
10026	235	235
10028	341	341
10029	281	281
10030	260	260
10031	235	235
10032	299	299
10033	219	219
10034	47	47
10035	307	307
10036	76	76
20024	261	261
20026	361	361
20034	585	585
