Precinct	total_votes	votes|Karen A. Yarbrough
11007	608	608
11008	365	365
11009	290	290
11010	313	313
11011	384	384
11012	410	410
11013	343	343
11014	169	169
11015	133	133
11016	228	228
11017	457	457
11018	255	255
11019	461	461
11020	231	231
11021	438	438
11022	390	390
11023	208	208
11024	386	386
11025	470	470
11026	396	396
11027	120	120
11028	153	153
11029	347	347
11030	164	164
11031	331	331
11032	146	146
11033	457	457
11034	108	108
11035	92	92
11036	146	146
11037	98	98
11038	198	198
12001	320	320
12002	268	268
12003	431	431
12004	364	364
12005	269	269
12006	328	328
12007	308	308
12008	342	342
12009	265	265
12010	401	401
12011	346	346
12012	328	328
12013	319	319
12014	312	312
12015	251	251
12016	301	301
12017	330	330
12018	282	282
12019	322	322
12020	389	389
12021	316	316
12022	277	277
12023	328	328
13001	229	229
13002	237	237
13003	245	245
13004	262	262
13005	352	352
13006	260	260
13007	226	226
13008	231	231
13009	300	300
13010	238	238
13011	295	295
13012	255	255
13013	286	286
13014	307	307
13015	407	407
13016	198	198
13017	228	228
13018	211	211
13019	332	332
13020	151	151
13021	280	280
13022	280	280
13023	210	210
13024	281	281
13025	294	294
13026	269	269
13027	267	267
13028	230	230
13029	222	222
13030	245	245
13031	295	295
13032	206	206
13033	263	263
13034	329	329
13035	263	263
13036	192	192
13037	330	330
13038	220	220
13039	303	303
13040	287	287
13041	330	330
13042	246	246
13043	286	286
13044	281	281
13045	304	304
13046	347	347
13047	326	326
13048	232	232
14001	290	290
14002	394	394
14003	319	319
14004	278	278
14005	410	410
14006	142	142
14007	366	366
14008	336	336
14009	358	358
14010	210	210
14011	186	186
14012	336	336
14013	270	270
14014	281	281
14015	328	328
14016	215	215
14017	261	261
14018	131	131
14019	289	289
14020	222	222
14021	291	291
14022	407	407
14023	239	239
14024	340	340
14025	168	168
14026	238	238
14027	288	288
14028	244	244
14029	243	243
14030	181	181
14031	192	192
15001	281	281
15002	205	205
15003	219	219
15004	305	305
15005	278	278
15006	271	271
15007	223	223
15008	246	246
15009	366	366
15010	398	398
15011	319	319
15012	353	353
15013	274	274
15014	256	256
15015	229	229
15016	325	325
15017	239	239
15018	197	197
15019	257	257
15020	240	240
15021	205	205
15022	251	251
15023	243	243
15024	191	191
16001	349	349
16002	259	259
16003	223	223
16004	270	270
16005	185	185
16006	266	266
16007	242	242
16008	178	178
16009	274	274
16010	238	238
16011	258	258
16012	228	228
16013	237	237
16014	199	199
16015	275	275
16016	251	251
16017	311	311
16018	285	285
16019	231	231
16020	219	219
16021	230	230
16022	214	214
16023	292	292
16024	149	149
16025	308	308
16026	205	205
16027	222	222
16028	227	227
16029	250	250
16030	216	216
16031	278	278
16032	285	285
16033	241	241
16034	241	241
16035	314	314
16036	203	203
17001	313	313
17002	328	328
17003	331	331
17004	398	398
17005	235	235
17006	264	264
17007	253	253
17008	267	267
17009	251	251
17010	425	425
17011	257	257
17012	405	405
17013	281	281
17014	369	369
17015	343	343
17016	320	320
17017	293	293
17018	364	364
17019	193	193
17020	421	421
17021	429	429
17022	281	281
17023	216	216
17024	346	346
17025	245	245
17026	340	340
17027	300	300
17028	251	251
17029	327	327
17030	230	230
17031	203	203
17032	263	263
17033	215	215
17034	235	235
17035	226	226
17036	299	299
17037	270	270
17038	307	307
17039	311	311
17040	329	329
17041	405	405
18001	316	316
18002	297	297
18003	291	291
18004	380	380
18005	222	222
18006	261	261
18007	333	333
18008	358	358
18009	347	347
18010	470	470
18011	298	298
18012	355	355
18013	374	374
18014	376	376
18015	384	384
18016	339	339
18017	342	342
18018	302	302
18019	342	342
18020	293	293
18021	434	434
18022	426	426
18023	344	344
18024	322	322
18025	324	324
18026	441	441
18027	294	294
18028	299	299
18029	375	375
18030	373	373
18031	375	375
18032	369	369
18033	277	277
18034	422	422
18035	424	424
18036	373	373
18037	410	410
18038	345	345
18039	280	280
18040	384	384
18041	407	407
18042	306	306
18043	233	233
18044	260	260
18045	309	309
18046	358	358
18047	263	263
18048	301	301
18049	215	215
18050	274	274
19001	273	273
19002	535	535
19003	203	203
19004	328	328
19005	399	399
19006	305	305
19007	299	299
19008	305	305
19009	221	221
19010	440	440
19011	244	244
19012	219	219
19013	487	487
19014	439	439
19015	355	355
19016	307	307
19017	268	268
19018	348	348
19019	480	480
19020	339	339
