Precinct	total_votes	votes|Gregory Harris
33018	199	199
39013	19	19
39022	318	318
39030	57	57
40001	340	340
40002	368	368
40003	591	591
40004	28	28
40005	469	469
40006	592	592
40007	465	465
40008	619	619
40009	331	331
40010	99	99
40011	490	490
40012	405	405
40013	775	775
40014	347	347
40015	382	382
40016	660	660
40017	372	372
40018	332	332
40019	493	493
40020	440	440
40021	511	511
40022	537	537
40023	589	589
40024	349	349
40025	580	580
40026	514	514
40027	598	598
40029	395	395
40030	340	340
40031	545	545
40032	538	538
40033	482	482
40034	362	362
40035	277	277
40036	415	415
40037	405	405
40038	600	600
40039	72	72
46001	380	380
46002	483	483
46004	498	498
46006	441	441
46008	331	331
46012	571	571
46014	457	457
46016	632	632
46020	410	410
46021	328	328
46022	387	387
46023	423	423
46025	498	498
46026	343	343
46029	43	43
46032	501	501
46037	447	447
46040	440	440
47005	461	461
47010	694	694
47015	659	659
47019	704	704
47020	513	513
47022	549	549
47023	620	620
47026	720	720
47028	450	450
47030	676	676
47031	548	548
47032	672	672
47034	555	555
47036	624	624
47037	534	534
47038	535	535
47039	10	10
47041	522	522
47042	560	560
47045	512	512
48004	498	498
48007	7	7
48014	28	28
48017	460	460
48020	380	380
48021	622	622
48023	517	517
48024	531	531
48035	317	317
48038	65	65
