Precinct	total_votes	votes|Patricia Van Pelt
01008	369	369
01011	60	60
01012	573	573
01021	76	76
01032	122	122
01033	39	39
01037	209	209
02001	357	357
02006	495	495
02007	467	467
02008	583	583
02009	415	415
02012	450	450
02015	418	418
02017	508	508
02020	471	471
02025	532	532
02041	157	157
02046	234	234
11002	26	26
11006	605	605
11007	623	623
11033	473	473
12010	60	60
22019	153	153
22021	308	308
24001	252	252
24002	261	261
24003	291	291
24004	221	221
24005	148	148
24006	279	279
24007	180	180
24008	129	129
24009	262	262
24010	116	116
24011	306	306
24012	161	161
24013	154	154
24014	251	251
24015	135	135
24016	26	26
24017	230	230
24018	323	323
24019	340	340
24020	247	247
24021	138	138
24022	343	343
24023	212	212
24024	284	284
24025	231	231
24026	399	399
24027	303	303
24028	173	173
24029	218	218
24030	166	166
24031	310	310
24032	144	144
24033	170	170
24034	262	262
24035	256	256
24036	334	334
24037	166	166
24038	239	239
24039	298	298
24040	320	320
24041	198	198
25003	669	669
25004	345	345
25010	637	637
25016	618	618
25020	266	266
25025	382	382
25027	269	269
25029	326	326
25031	760	760
26004	55	55
26017	258	258
26019	92	92
26028	373	373
26046	220	220
27001	788	788
27002	392	392
27003	217	217
27004	194	194
27005	273	273
27006	417	417
27008	273	273
27009	191	191
27010	388	388
27011	513	513
27013	428	428
27014	181	181
27015	171	171
27016	436	436
27017	371	371
27018	265	265
27019	173	173
27020	272	272
27021	397	397
27022	163	163
27023	265	265
27024	222	222
27025	325	325
27026	281	281
27027	428	428
27028	370	370
27029	231	231
27030	164	164
27031	284	284
27032	336	336
27033	419	419
27034	251	251
27035	443	443
27036	313	313
27037	454	454
27038	422	422
27039	255	255
27040	456	456
27041	294	294
27042	258	258
27043	230	230
27044	246	246
27045	841	841
27047	243	243
27048	711	711
27049	264	264
27050	338	338
28001	0	0
28002	266	266
28003	238	238
28004	288	288
28005	197	197
28006	171	171
28007	282	282
28008	378	378
28009	276	276
28010	394	394
28011	622	622
28013	314	314
28015	62	62
28016	182	182
28017	262	262
28018	269	269
28019	259	259
28020	267	267
28021	242	242
28022	256	256
28023	331	331
28024	232	232
28025	391	391
28026	278	278
28027	302	302
28028	378	378
28029	152	152
28030	47	47
28032	266	266
28033	312	312
28034	500	500
28035	350	350
28036	161	161
28037	370	370
28038	137	137
28040	400	400
28042	104	104
28044	196	196
28045	398	398
28046	564	564
29006	5	5
32002	522	522
32004	473	473
32005	478	478
32006	612	612
32029	440	440
32031	531	531
32032	565	565
32033	267	267
32034	504	504
32035	521	521
32036	530	530
32037	211	211
37002	254	254
37003	237	237
37004	255	255
37007	218	218
37008	230	230
37012	186	186
37013	234	234
37014	19	19
37019	219	219
37020	2	2
37021	290	290
37022	34	34
37027	1	1
37028	280	280
37030	14	14
42003	531	531
42009	3	3
42012	250	250
42016	525	525
42018	0	0
42021	141	141
42036	352	352
42041	159	159
43001	269	269
43003	470	470
43005	445	445
43007	321	321
43010	588	588
43011	454	454
43023	359	359
43045	287	287
