Precinct	total_votes	votes|Omar Aquino
01001	186	186
01002	102	102
01003	210	210
01004	196	196
01005	171	171
01006	161	161
01008	40	40
01010	175	175
01011	150	150
01014	180	180
01015	179	179
01017	142	142
01018	212	212
01020	149	149
01021	165	165
01022	124	124
01024	161	161
01025	173	173
01026	116	116
01027	187	187
01029	208	208
01030	208	208
01031	193	193
01032	140	140
01033	193	193
01035	207	207
01036	160	160
01037	156	156
01038	164	164
01039	156	156
01040	181	181
01044	188	188
02001	58	58
02003	218	218
02004	135	135
02005	198	198
02014	209	209
02015	22	22
02016	154	154
02017	34	34
02021	202	202
26001	156	156
26002	130	130
26003	168	168
26004	77	77
26005	135	135
26006	106	106
26008	58	58
26009	123	123
26010	136	136
26011	130	130
26012	131	131
26013	66	66
26014	100	100
26015	68	68
26016	65	65
26018	78	78
26019	42	42
26020	116	116
26021	141	141
26022	53	53
26023	87	87
26024	120	120
26025	119	119
26026	72	72
26027	178	178
26028	40	40
26029	77	77
26030	102	102
26031	61	61
26032	145	145
26033	135	135
26034	10	10
26035	136	136
26036	116	116
26037	140	140
26038	48	48
26039	140	140
26040	83	83
26041	145	145
26042	111	111
26043	65	65
26044	76	76
26045	44	44
26047	62	62
26048	116	116
26049	68	68
27005	2	2
27007	200	200
27013	76	76
27024	11	11
27027	5	5
27040	25	25
27043	3	3
29015	2	2
29023	19	19
29024	34	34
29029	32	32
29030	101	101
29031	72	72
29036	120	120
29038	129	129
29039	144	144
30002	124	124
30005	78	78
30006	103	103
30009	22	22
30010	116	116
30011	100	100
30012	83	83
30013	107	107
30014	75	75
30016	46	46
30019	86	86
30021	109	109
30029	67	67
30030	37	37
31003	67	67
31004	156	156
31014	35	35
31015	92	92
31016	153	153
31019	80	80
31021	16	16
31022	76	76
31025	78	78
31031	80	80
31039	106	106
35002	225	225
35003	173	173
35007	188	188
35008	196	196
35012	119	119
35013	104	104
35014	124	124
35016	109	109
35018	126	126
35019	78	78
35021	166	166
36001	133	133
36002	104	104
36003	128	128
36004	90	90
36005	116	116
36006	95	95
36007	177	177
36008	95	95
36009	96	96
36010	152	152
36011	74	74
36012	65	65
36013	68	68
36015	180	180
36018	39	39
36019	144	144
36021	99	99
36022	88	88
36023	78	78
36024	120	120
36025	109	109
36026	103	103
36027	121	121
36028	100	100
36029	129	129
36030	126	126
37012	8	8
37022	28	28
37026	7	7
38004	144	144
38008	122	122
38010	115	115
38016	128	128
38021	10	10
38037	152	152
38039	125	125
