Precinct	total_votes	votes|Larry Rogers, Jr.
17009	126	126
17010	189	189
17011	101	101
17012	117	117
17013	114	114
17015	145	145
17016	103	103
17017	126	126
17018	194	194
17019	86	86
17020	239	239
17021	229	229
17022	127	127
17023	106	106
17024	181	181
17025	105	105
17026	159	159
17027	150	150
17028	107	107
17029	132	132
17030	90	90
17031	78	78
17032	97	97
17033	87	87
17034	114	114
17035	100	100
17036	138	138
17037	127	127
17038	135	135
17039	154	154
17040	192	192
17041	217	217
18001	115	115
18002	114	114
18003	121	121
18004	226	226
18005	109	109
18006	130	130
18007	149	149
18008	185	185
18009	222	222
18010	261	261
18011	145	145
18012	168	168
18013	192	192
18014	183	183
18015	195	195
18016	155	155
18017	162	162
18018	186	186
18019	194	194
18020	137	137
18021	210	210
18022	233	233
18023	138	138
18024	132	132
18025	146	146
18026	236	236
18027	129	129
18028	122	122
18029	174	174
18030	132	132
18031	175	175
18032	198	198
18033	138	138
18034	243	243
18035	232	232
18036	166	166
18037	219	219
18038	173	173
18039	127	127
18040	195	195
18041	222	222
18042	129	129
18043	108	108
18044	129	129
18045	124	124
18046	179	179
18047	115	115
18048	142	142
18049	91	91
18050	105	105
19002	100	100
19005	270	270
19006	99	99
19007	186	186
19008	8	8
19010	293	293
19013	323	323
19014	243	243
19017	159	159
19018	214	214
19019	93	93
19020	227	227
19021	10	10
19023	202	202
19025	212	212
19026	220	220
19027	238	238
19028	270	270
19029	130	130
19031	192	192
19032	167	167
19034	195	195
19035	230	230
19036	273	273
19037	237	237
19038	219	219
19040	229	229
19042	165	165
19043	307	307
19046	210	210
19048	245	245
19049	338	338
19050	150	150
19052	177	177
19056	248	248
19057	204	204
20001	177	177
20002	59	59
20003	140	140
20004	61	61
20005	171	171
20006	62	62
20007	134	134
20008	164	164
20009	210	210
20010	119	119
20011	185	185
20012	96	96
20013	168	168
20014	81	81
20015	102	102
20016	174	174
20017	81	81
20018	113	113
20019	120	120
20020	90	90
20021	94	94
20022	208	208
20023	139	139
20024	145	145
20025	105	105
20026	185	185
20027	74	74
20028	101	101
20029	201	201
20030	73	73
20031	169	169
20032	118	118
20033	124	124
20034	185	185
20035	58	58
20036	44	44
20037	51	51
20038	51	51
20039	19	19
21001	200	200
21002	122	122
21003	198	198
21004	169	169
21005	230	230
21006	147	147
21007	207	207
21008	187	187
21009	215	215
21010	165	165
21011	166	166
21012	144	144
21013	166	166
21014	233	233
21015	145	145
21016	151	151
21017	133	133
21018	206	206
21019	199	199
21020	133	133
21021	166	166
21022	158	158
21023	169	169
21024	206	206
21025	175	175
21026	151	151
21027	156	156
21028	208	208
21029	190	190
21030	143	143
21031	145	145
21032	174	174
21033	162	162
21034	153	153
21035	228	228
21036	170	170
21037	160	160
21038	147	147
21039	124	124
21040	163	163
21041	179	179
21042	210	210
21043	167	167
21044	193	193
21045	154	154
21046	193	193
21047	141	141
21048	174	174
21049	217	217
21050	152	152
21051	166	166
21052	176	176
21053	144	144
21054	148	148
22001	0	0
22003	177	177
22004	104	104
22005	98	98
22006	111	111
22010	123	123
22013	123	123
22014	83	83
22016	88	88
22017	123	123
22019	32	32
22020	112	112
22021	150	150
22023	147	147
22024	124	124
23001	150	150
23002	131	131
23003	143	143
23010	2	2
23011	147	147
23012	139	139
23014	132	132
23016	168	168
23018	121	121
23021	166	166
23022	55	55
23023	133	133
23027	141	141
23028	144	144
23030	4	4
23032	4	4
23035	99	99
23036	137	137
23037	160	160
24001	124	124
