Precinct	total_votes	votes|Will Guzzardi
01002	88	88
01007	369	369
01009	363	363
01013	226	226
01016	591	591
01017	50	50
01019	577	577
01023	696	696
01034	403	403
01041	281	281
01042	87	87
01043	311	311
26007	353	353
26034	386	386
26037	19	19
30001	392	392
30004	323	323
30007	375	375
30009	167	167
30017	336	336
30018	177	177
30019	78	78
30020	393	393
30023	366	366
30024	194	194
30025	285	285
30026	203	203
30027	233	233
30031	222	222
31001	217	217
31002	192	192
31005	249	249
31006	167	167
31007	404	404
31008	189	189
31009	215	215
31010	208	208
31011	174	174
31012	207	207
31013	242	242
31014	175	175
31017	204	204
31018	227	227
31020	196	196
31021	178	178
31023	236	236
31024	219	219
31026	250	250
31027	236	236
31028	186	186
31029	244	244
31030	179	179
31032	193	193
31033	190	190
31034	206	206
31035	246	246
31036	253	253
31037	225	225
31038	192	192
31040	272	272
31041	192	192
32003	270	270
32011	481	481
32012	384	384
32014	529	529
32020	498	498
32022	644	644
32026	287	287
32028	296	296
32043	28	28
35002	65	65
35010	581	581
35011	474	474
35015	520	520
35017	499	499
35025	494	494
35028	405	405
36009	5	5
36014	334	334
36016	330	330
36017	354	354
36018	238	238
36020	336	336
38023	358	358
38034	336	336
38035	353	353
38039	115	115
45008	376	376
45009	353	353
45010	382	382
45011	274	274
