Precinct	total_votes	votes|John P. Daley
03029	46	46
11001	206	206
11004	196	196
11005	237	237
11008	178	178
11009	167	167
11010	195	195
11011	198	198
11012	322	322
11013	289	289
11014	84	84
11015	90	90
11016	142	142
11017	243	243
11018	181	181
11019	237	237
11020	151	151
11021	339	339
11022	235	235
11023	169	169
11024	354	354
11025	239	239
11026	276	276
11027	72	72
11028	94	94
11029	313	313
11030	87	87
11031	238	238
11032	126	126
11034	77	77
11035	80	80
11036	88	88
12019	104	104
12023	156	156
13001	163	163
13002	172	172
13004	173	173
13005	128	128
13006	192	192
13007	126	126
13008	139	139
13009	145	145
13010	169	169
13011	193	193
13012	135	135
13013	179	179
13014	141	141
13016	107	107
13017	159	159
13018	139	139
13019	129	129
13020	111	111
13021	191	191
13022	198	198
13023	129	129
13024	173	173
13025	152	152
13026	154	154
13027	183	183
13029	136	136
13030	25	25
13031	198	198
13032	156	156
13033	181	181
13035	140	140
13036	98	98
13037	217	217
13038	156	156
13039	149	149
13040	141	141
13041	169	169
13042	178	178
13043	197	197
13044	193	193
13045	224	224
13046	118	118
13047	168	168
13048	188	188
14001	231	231
14004	207	207
14009	220	220
14022	9	9
14023	141	141
14024	245	245
15003	18	18
15016	45	45
15019	6	6
16002	124	124
16007	105	105
16008	75	75
16010	23	23
16011	92	92
16012	87	87
16013	63	63
16017	57	57
16018	109	109
16019	94	94
16021	58	58
16022	3	3
16023	28	28
17001	137	137
17007	17	17
17012	22	22
17016	107	107
17030	94	94
18002	120	120
18003	123	123
18006	139	139
18011	135	135
18015	193	193
18017	167	167
18024	142	142
18025	161	161
18028	141	141
18029	183	183
18030	149	149
18036	147	147
18040	202	202
18043	119	119
18044	147	147
18045	132	132
18046	191	191
19001	210	210
19002	309	309
19003	120	120
19004	217	217
19005	292	292
19006	207	207
19007	220	220
19008	183	183
19009	170	170
19010	310	310
19011	160	160
19012	147	147
19013	302	302
19014	246	246
19015	210	210
19016	215	215
19017	193	193
19018	221	221
19019	284	284
19020	237	237
19021	158	158
19022	236	236
19023	230	230
19024	159	159
19025	230	230
19026	239	239
19027	230	230
19028	259	259
19029	159	159
19030	170	170
19031	210	210
19032	184	184
19033	168	168
19034	213	213
19035	247	247
19036	271	271
19037	235	235
19038	214	214
19039	57	57
19040	236	236
19041	170	170
19042	167	167
19043	281	281
19044	190	190
19045	220	220
19046	237	237
19047	343	343
19048	235	235
19049	306	306
19050	176	176
19051	277	277
19052	189	189
19053	205	205
19054	122	122
19055	143	143
19056	259	259
19057	207	207
20004	47	47
20017	39	39
20021	70	70
20025	6	6
23001	169	169
23002	145	145
23003	165	165
23004	195	195
23006	152	152
23008	195	195
23010	67	67
23012	160	160
23014	157	157
23016	187	187
23018	134	134
23021	185	185
23022	153	153
23023	158	158
23025	140	140
23026	18	18
23027	163	163
23028	158	158
23029	143	143
23035	110	110
23036	155	155
23037	178	178
23038	131	131
34049	0	0
