Precinct	total_votes	votes|Jesse White	votes|Jason Helland	votes|Steve Dutner
01001	587	522	43	22
01002	473	436	23	14
01003	647	575	53	19
01004	634	551	61	22
01005	655	575	59	21
01006	556	474	57	25
01007	411	362	28	21
01008	515	441	62	12
01009	459	405	35	19
01010	733	630	86	17
01011	668	564	72	32
01012	667	567	79	21
01013	259	227	21	11
01014	541	479	45	17
01015	516	451	51	14
01016	661	601	40	20
01017	485	442	28	15
01018	536	499	24	13
01019	645	589	39	17
01020	448	408	24	16
01021	775	687	67	21
01022	363	327	18	18
01023	771	700	48	23
01024	482	444	26	12
01025	557	498	34	25
01026	352	323	18	11
01027	609	526	57	26
01028	158	146	9	3
01029	674	587	63	24
01030	595	537	35	23
01031	524	471	34	19
01032	552	466	65	21
01033	656	565	75	16
01034	448	402	30	16
01035	693	578	85	30
01036	593	510	65	18
01037	587	480	80	27
01038	536	458	51	27
01039	501	429	56	16
01040	560	471	66	23
01041	330	300	15	15
01042	181	158	16	7
01043	354	326	22	6
01044	509	447	38	24
02001	647	542	75	30
02002	462	368	84	10
02003	669	569	78	22
02004	523	456	45	22
02005	691	596	69	26
02006	556	488	49	19
02007	556	450	78	28
02008	682	565	74	43
02009	542	406	115	21
02010	502	387	112	3
02011	634	498	129	7
02012	546	483	50	13
02013	511	418	88	5
02014	612	518	70	24
02015	561	485	59	17
02016	520	445	54	21
02017	681	589	68	24
02018	569	454	106	9
02019	447	336	103	8
02020	655	504	130	21
02021	609	542	52	15
02022	633	499	113	21
02023	418	336	76	6
02024	542	447	82	13
02025	618	515	78	25
02026	532	428	90	14
02027	541	407	120	14
02028	660	517	117	26
02029	656	527	112	17
02030	494	368	106	20
02031	678	535	131	12
02032	457	366	82	9
02033	861	674	173	14
02034	473	371	95	7
02035	753	568	159	26
02036	649	515	118	16
02037	534	424	93	17
02038	543	406	124	13
02039	418	271	129	18
02040	794	616	154	24
02041	595	471	110	14
02042	650	524	117	9
02043	788	629	149	10
