Precinct	total_votes	votes|John J. Cullerton
01028	55	55
01042	17	17
02020	50	50
02022	166	166
02024	162	162
02026	128	128
02028	154	154
02030	150	150
02031	204	204
02033	281	281
02035	152	152
02037	163	163
02038	55	55
02044	112	112
27009	0	0
27012	83	83
27046	92	92
32001	156	156
32005	7	7
32007	187	187
32008	178	178
32009	167	167
32010	172	172
32013	173	173
32015	179	179
32016	186	186
32018	149	149
32019	166	166
32021	219	219
32023	160	160
32024	97	97
32025	197	197
32027	143	143
32029	61	61
32030	135	135
32033	86	86
32034	8	8
32036	10	10
32037	87	87
32038	164	164
32039	181	181
32040	204	204
32041	186	186
32042	154	154
33003	53	53
33005	34	34
33008	319	319
33010	188	188
33020	37	37
33023	229	229
33024	364	364
43002	155	155
43004	179	179
43006	111	111
43008	149	149
43009	211	211
43012	130	130
43013	184	184
43014	196	196
43015	155	155
43016	120	120
43017	131	131
43018	190	190
43019	198	198
43020	168	168
43021	175	175
43022	114	114
43024	120	120
43025	171	171
43026	127	127
43027	161	161
43028	195	195
43029	130	130
43030	155	155
43031	180	180
43032	200	200
43033	204	204
43034	157	157
43036	73	73
43037	166	166
43038	138	138
43039	124	124
43040	122	122
43041	237	237
43042	177	177
43043	194	194
43044	162	162
43046	85	85
44001	311	311
44002	202	202
44003	188	188
44004	197	197
44005	224	224
44006	252	252
44007	157	157
44008	269	269
44009	157	157
44010	166	166
44011	197	197
44012	227	227
44013	128	128
44014	152	152
44015	192	192
44016	206	206
44017	302	302
44018	191	191
44019	254	254
44020	189	189
44021	226	226
44022	241	241
44023	199	199
44024	175	175
44025	183	183
44026	220	220
44027	242	242
44028	207	207
44029	171	171
44030	205	205
44031	148	148
44032	201	201
44033	207	207
44034	245	245
44035	283	283
44036	189	189
44037	231	231
44038	140	140
44039	181	181
44040	127	127
44041	219	219
46003	291	291
46005	203	203
46007	273	273
46009	243	243
46010	262	262
46011	168	168
46013	193	193
46015	209	209
46017	272	272
46018	233	233
46019	179	179
46024	249	249
46026	107	107
46027	263	263
46028	256	256
46029	178	178
46030	210	210
46031	196	196
46033	245	245
46034	218	218
46035	191	191
46036	223	223
46038	164	164
46039	204	204
47001	123	123
47002	253	253
47003	267	267
47004	289	289
47005	53	53
47006	227	227
47007	212	212
47008	245	245
47009	205	205
47011	202	202
47012	280	280
47013	260	260
47014	217	217
47016	259	259
47017	224	224
47018	208	208
47021	236	236
47024	211	211
47025	248	248
47027	224	224
47028	8	8
47029	253	253
47033	181	181
47035	226	226
47039	247	247
47040	290	290
47041	134	134
47043	207	207
47044	170	170
47046	229	229
47047	245	245
47048	25	25
