Precinct	total_votes	votes|Mike Quigley	votes|Tom Hanson
38023	433	335	98
38024	454	290	164
38025	376	289	87
38026	439	317	122
38027	419	291	128
38028	511	321	190
38029	414	320	94
38030	412	273	139
38031	427	331	96
38032	421	317	104
38033	412	316	96
38034	424	349	75
38035	193	164	29
38036	388	305	83
38037	422	332	90
38038	402	281	121
38039	455	368	87
38040	436	320	116
39001	472	323	149
39002	463	307	156
39003	514	424	90
39004	420	286	134
39005	465	345	120
39006	434	368	66
39007	411	341	70
39008	457	383	74
39009	421	341	80
39010	223	203	20
39011	407	318	89
39012	424	374	50
39013	375	290	85
39014	486	394	92
39015	514	332	182
39016	375	302	73
39017	492	393	99
39018	438	353	85
39019	470	385	85
39020	560	377	183
39021	425	278	147
39022	384	317	67
39023	477	316	161
39024	594	390	204
39025	384	332	52
39026	435	295	140
39027	85	60	25
39028	280	240	40
39029	259	229	30
39030	553	489	64
39032	393	274	119
39033	503	409	94
39034	502	411	91
39035	464	387	77
39036	128	107	21
39037	467	338	129
39038	279	218	61
39039	297	224	73
39040	426	306	120
39041	495	346	149
39042	504	308	196
39043	508	332	176
39044	362	246	116
39045	450	315	135
40001	423	344	79
40002	434	367	67
40003	650	607	43
40005	529	464	65
40006	641	586	55
40007	523	468	55
40008	679	632	47
40010	124	98	26
40011	552	494	58
40012	461	412	49
40013	841	787	54
40014	402	335	67
40015	445	385	60
40016	713	654	59
40017	423	368	55
40019	573	493	80
40020	512	443	69
40021	586	525	61
40023	633	583	50
40024	405	346	59
40025	513	476	37
40029	487	403	84
40030	421	335	86
40031	79	71	8
40032	589	541	48
40034	422	350	72
40038	664	606	58
41003	448	299	149
41006	572	366	206
41009	458	314	144
41011	149	99	50
41012	458	286	172
41014	540	355	185
41016	433	281	152
41017	381	242	139
41019	562	368	194
41021	508	341	167
41022	532	315	217
41023	211	125	86
41024	405	228	177
41026	468	295	173
41027	384	224	160
41030	487	307	180
41032	395	251	144
41033	374	230	144
41035	576	355	221
41038	448	281	167
41039	511	307	204
41045	189	127	62
41046	496	310	186
41047	503	325	178
43002	666	506	160
43003	597	455	142
43004	717	544	173
43005	467	375	92
43006	484	384	100
43007	393	317	76
43008	454	354	100
43009	535	429	106
43010	738	577	161
43011	575	449	126
43012	432	351	81
43013	574	490	84
43014	620	483	137
43015	606	468	138
43016	731	567	164
43017	480	365	115
43018	709	556	153
43019	665	539	126
43020	687	569	118
43021	684	536	148
43022	425	358	67
43023	433	345	88
43024	461	353	108
43025	488	397	91
43026	401	334	67
43027	602	474	128
43028	771	618	153
43029	580	473	107
43030	651	530	121
43031	591	475	116
43032	631	516	115
43034	441	355	86
43036	334	294	40
43037	666	570	96
43038	503	349	154
43039	572	459	113
43040	444	356	88
43041	790	652	138
43042	577	490	87
43043	570	427	143
43044	595	476	119
43046	354	295	59
44001	967	860	107
44002	628	543	85
44005	717	653	64
44006	794	708	86
44008	893	797	96
44009	634	536	98
44010	643	545	98
44011	706	588	118
44012	666	576	90
44013	531	439	92
44014	597	507	90
44015	571	496	75
44016	737	610	127
44017	849	757	92
44018	700	592	108
44019	774	671	103
44020	688	611	77
44021	807	719	88
44022	677	572	105
44023	631	565	66
44025	651	564	87
44026	774	682	92
44027	778	658	120
44028	596	535	61
44029	705	592	113
44030	787	681	106
44031	544	467	77
44032	720	602	118
44033	674	632	42
44034	674	615	59
44036	671	588	83
44037	710	652	58
44038	649	535	114
44039	688	573	115
44040	623	496	127
44041	807	709	98
45003	441	377	64
45004	591	508	83
45005	491	402	89
45006	652	553	99
45007	703	569	134
45008	36	28	8
45011	333	279	54
45012	438	358	80
45013	402	325	77
45014	582	484	98
45015	562	473	89
45016	401	327	74
45017	533	401	132
45018	474	353	121
45019	246	198	48
45020	333	265	68
45021	420	298	122
45022	422	326	96
45023	406	294	112
45024	361	260	101
45025	289	203	86
45026	247	146	101
45027	445	287	158
45028	365	268	97
45029	303	224	79
45030	387	328	59
45031	370	296	74
45032	396	297	99
45033	339	272	67
45034	450	357	93
45035	492	366	126
45036	479	340	139
45037	451	330	121
45038	413	311	102
45039	445	323	122
45040	443	297	146
45041	421	278	143
45042	427	284	143
45043	441	282	159
45044	444	292	152
45045	313	188	125
45046	332	220	112
45047	324	211	113
45048	378	232	146
46003	703	626	77
46005	764	672	92
46010	943	849	94
46012	97	92	5
46016	296	280	16
46019	416	365	51
46024	186	174	12
46028	577	502	75
46030	623	575	48
46031	594	553	41
46033	694	624	70
46036	588	494	94
46038	543	502	41
46039	589	502	87
47001	412	353	59
47002	618	537	81
47003	577	490	87
47004	671	577	94
47005	650	585	65
47006	734	653	81
47007	544	475	69
47008	587	514	73
47009	585	505	80
47010	753	696	57
47011	606	522	84
47012	644	574	70
47013	575	513	62
47014	545	487	58
47016	592	519	73
47017	595	520	75
47018	609	537	72
47020	565	512	53
47021	567	516	51
47022	624	558	66
47024	630	552	78
47025	717	632	85
47026	780	730	50
47027	571	498	73
47028	556	493	63
47029	663	589	74
47030	354	319	35
47031	602	543	59
47032	729	684	45
47033	575	489	86
47034	620	565	55
47035	625	528	97
47036	674	622	52
47037	595	541	54
47038	604	536	68
47039	612	560	52
47040	607	559	48
47041	671	609	62
47042	623	582	41
47043	565	480	85
47044	586	497	89
47045	578	526	52
47046	596	492	104
47047	706	604	102
47048	48	42	6
50024	327	155	172
50025	27	12	15
