Precinct	total_votes	votes|Emil Jones, Iii
09001	58	58
09002	174	174
09004	26	26
09005	202	202
09006	184	184
09009	63	63
09010	143	143
09013	66	66
09014	260	260
09017	130	130
09019	183	183
09020	221	221
09021	168	168
09022	228	228
09027	174	174
09029	155	155
09030	143	143
09031	116	116
09032	202	202
09034	144	144
09035	208	208
09038	87	87
09039	219	219
09040	244	244
09043	76	76
09044	34	34
19014	238	238
19020	236	236
19031	191	191
19040	221	221
19042	166	166
19043	319	319
19047	357	357
19048	263	263
19049	320	320
21002	55	55
21005	231	231
21006	147	147
21010	172	172
21011	160	160
21012	156	156
21017	140	140
21019	209	209
21020	48	48
21021	173	173
21022	119	119
21023	170	170
21024	214	214
21025	180	180
21027	171	171
21033	164	164
21034	19	19
21035	235	235
21036	134	134
21037	165	165
21038	161	161
21039	123	123
21040	172	172
21041	189	189
21042	170	170
21043	13	13
21044	137	137
21045	156	156
21046	216	216
21048	156	156
21049	231	231
21050	151	151
21052	22	22
34001	227	227
34002	178	178
34003	182	182
34004	136	136
34005	174	174
34006	225	225
34007	227	227
34008	156	156
34009	132	132
34010	206	206
34011	138	138
34012	190	190
34013	210	210
34014	144	144
34015	140	140
34016	156	156
34017	252	252
34018	155	155
34019	187	187
34020	247	247
34021	268	268
34022	224	224
34023	168	168
34024	181	181
34025	302	302
34026	230	230
34027	172	172
34028	113	113
34029	160	160
34030	226	226
34031	145	145
34032	164	164
34033	147	147
34034	210	210
34035	194	194
34036	199	199
34037	108	108
34038	85	85
34039	139	139
34040	192	192
34041	129	129
34042	240	240
34043	219	219
34044	220	220
34045	188	188
34046	149	149
34047	166	166
34048	241	241
34049	193	193
34050	139	139
34051	239	239
34052	170	170
34053	105	105
