Precinct	total_votes	votes|Bridget Degnen
01005	445	445
01008	407	407
01011	569	569
01014	323	323
01021	642	642
01028	115	115
01038	219	219
01042	35	35
02001	347	347
02006	477	477
02007	447	447
02008	555	555
02015	462	462
02016	409	409
02020	506	506
02022	463	463
02024	419	419
02025	496	496
02026	384	384
02027	104	104
02032	352	352
02039	268	268
02040	640	640
02041	465	465
02042	274	274
02043	590	590
02045	526	526
27001	632	632
27011	321	321
27028	352	352
27035	424	424
27037	17	17
30001	395	395
30004	322	322
30009	186	186
30017	339	339
30021	146	146
32001	374	374
32002	488	488
32004	438	438
32005	331	331
32006	573	573
32007	506	506
32008	568	568
32009	437	437
32010	476	476
32013	486	486
32015	470	470
32018	418	418
32019	491	491
32021	500	500
32023	516	516
32024	339	339
32025	481	481
32027	446	446
32030	461	461
32031	509	509
32032	521	521
32033	486	486
32034	547	547
32035	491	491
32036	504	504
32037	485	485
32038	440	440
32039	499	499
32040	525	525
32041	495	495
32042	426	426
33002	581	581
33004	4	4
33007	525	525
33008	355	355
33009	415	415
33010	444	444
33018	645	645
33022	377	377
33023	513	513
33024	628	628
33025	582	582
36014	330	330
36015	322	322
36016	327	327
36017	351	351
36018	319	319
36020	336	336
36024	257	257
36030	308	308
38001	321	321
38008	273	273
38010	251	251
38011	279	279
38014	344	344
38015	284	284
38018	345	345
38019	60	60
38021	277	277
38022	325	325
38023	341	341
38025	286	286
38026	181	181
38031	335	335
38032	310	310
38033	322	322
38034	337	337
38035	342	342
38036	302	302
38037	319	319
38039	361	361
38040	327	327
38041	322	322
39003	397	397
39004	3	3
39005	364	364
39006	358	358
39007	338	338
39008	380	380
39009	331	331
39010	194	194
39011	312	312
39012	506	506
39014	397	397
39017	379	379
39019	375	375
39022	212	212
39025	336	336
39028	469	469
39029	224	224
39030	466	466
39031	326	326
39033	411	411
39034	395	395
39035	373	373
39038	209	209
39039	96	96
40001	335	335
40003	563	563
40005	456	456
40006	572	572
40007	459	459
40008	601	601
40011	467	467
40012	393	393
40013	0	0
40014	343	343
40016	262	262
40017	358	358
40019	213	213
40020	426	426
40021	93	93
40024	220	220
40030	214	214
40034	355	355
40038	583	583
42005	415	415
42014	309	309
42015	502	502
42017	12	12
42019	358	358
42020	517	517
42022	223	223
42023	481	481
42025	7	7
42027	338	338
42032	479	479
42037	364	364
42038	446	446
42039	678	678
43002	511	511
43005	428	428
43006	371	371
43007	137	137
43010	543	543
43011	423	423
43016	564	564
43018	545	545
43023	347	347
43030	520	520
43031	464	464
43039	451	451
43041	641	641
43046	284	284
45003	15	15
45004	475	475
45005	386	386
45006	517	517
45007	555	555
45008	398	398
45009	350	350
45010	373	373
45011	269	269
45012	347	347
45013	323	323
45014	470	470
45015	477	477
45016	328	328
45017	437	437
45018	381	381
45019	189	189
45020	268	268
45021	301	301
45022	321	321
45023	305	305
45024	255	255
45025	206	206
45026	82	82
45027	212	212
45028	268	268
45029	226	226
45030	325	325
45031	296	296
45032	313	313
45033	272	272
45034	366	366
47001	344	344
47002	500	500
47003	473	473
47004	554	554
47005	110	110
47006	626	626
47007	465	465
47008	495	495
47009	478	478
47010	120	120
47011	493	493
47012	544	544
47013	518	518
47014	461	461
47016	497	497
47017	514	514
47021	505	505
47025	600	600
47027	477	477
47028	331	331
47029	574	574
47033	310	310
47035	498	498
47037	508	508
47039	512	512
47040	521	521
47042	270	270
47043	473	473
47046	479	479
47047	583	583
47048	37	37
