Precinct	total_votes	votes|Elgie R. Sims, Jr.
06001	406	406
06002	390	390
06003	403	403
06008	367	367
06013	292	292
06014	340	340
06016	381	381
06019	60	60
06029	391	391
06031	387	387
06034	380	380
06035	328	328
06036	436	436
06037	382	382
06038	379	379
06039	281	281
06041	368	368
06042	376	376
06043	318	318
06044	355	355
06045	378	378
06046	251	251
07026	282	282
07027	269	269
07028	241	241
07029	279	279
07030	200	200
07032	206	206
07036	406	406
07037	22	22
07038	285	285
07039	312	312
07040	279	279
07041	336	336
07042	286	286
07043	345	345
07044	282	282
07045	311	311
08003	396	396
08004	400	400
08005	401	401
08006	368	368
08007	407	407
08008	351	351
08010	462	462
08011	279	279
08012	304	304
08014	241	241
08015	315	315
08017	310	310
08018	325	325
08019	385	385
08022	347	347
08023	310	310
08024	217	217
08025	348	348
08026	107	107
08027	391	391
08029	394	394
08030	350	350
08031	273	273
08032	301	301
08033	324	324
08034	349	349
08035	383	383
08036	386	386
08037	300	300
08038	228	228
08039	368	368
08040	269	269
08041	394	394
08043	146	146
08044	237	237
08045	337	337
08046	287	287
08047	296	296
08048	326	326
08049	334	334
08050	351	351
08051	382	382
08052	431	431
08053	206	206
08054	118	118
08056	348	348
09001	140	140
09007	5	5
09008	337	337
09009	278	278
09012	395	395
09013	302	302
09023	394	394
09024	341	341
09025	349	349
09028	82	82
09031	38	38
09036	271	271
09037	461	461
09038	243	243
09042	348	348
09043	142	142
09046	335	335
09047	352	352
09048	387	387
09049	369	369
09050	456	456
09051	347	347
10002	280	280
10003	283	283
10005	224	224
10009	230	230
10013	272	272
10014	5	5
10015	626	626
10016	217	217
10017	366	366
10021	3	3
10023	34	34
10024	265	265
10027	16	16
10033	2	2
17021	358	358
21031	258	258
21053	129	129
