Precinct	total_votes	votes|Danny K. Davis	votes|Anthony V. Clark
01012	258	147	111
01014	48	31	17
01015	43	28	15
01032	73	46	27
02002	190	129	61
02009	147	105	42
02010	194	137	57
02011	241	170	71
02012	145	120	25
02013	209	144	65
02014	222	138	84
02017	279	186	93
02018	202	152	50
02019	170	110	60
02020	28	18	10
02021	6	3	3
02023	173	119	54
02027	179	120	59
02028	29	17	12
02029	201	131	70
02032	157	93	64
02034	237	177	60
02035	193	122	71
02036	168	116	52
02038	133	90	43
02039	133	87	46
02040	199	137	62
02041	134	95	39
02042	174	113	61
02043	214	153	61
02045	219	156	63
02046	112	83	29
03001	361	307	54
03002	392	352	40
03003	240	184	56
03004	142	123	19
03005	141	120	21
03006	265	182	83
03008	203	173	30
03009	266	221	45
03010	130	125	5
03011	253	207	46
03012	314	273	41
03013	311	218	93
03014	225	157	68
03015	245	218	27
03016	230	201	29
03017	263	201	62
03018	187	157	30
03019	259	184	75
03020	274	238	36
03021	327	272	55
03022	257	176	81
03023	174	151	23
03024	250	215	35
03025	376	265	111
03026	353	272	81
03027	268	189	79
03028	194	176	18
03029	245	216	29
03030	128	119	9
03031	284	247	37
03032	274	208	66
03033	226	146	80
03034	302	212	90
03035	6	5	1
03036	137	120	17
03037	212	173	39
03039	303	201	102
03040	280	243	37
04002	297	206	91
04004	344	303	41
04005	305	254	51
04006	388	337	51
04007	415	353	62
04008	39	35	4
04010	368	288	80
04011	148	132	16
04013	173	104	69
04014	43	38	5
04015	100	82	18
04016	327	230	97
04017	311	198	113
04020	268	176	92
04021	258	173	85
04022	12	10	2
04025	271	190	81
04028	174	143	31
04029	73	60	13
04030	42	33	9
04034	279	236	43
04035	360	302	58
04036	157	134	23
04037	365	236	129
06021	102	90	12
11002	15	11	4
11006	261	164	97
11007	172	118	54
11014	82	57	25
11030	100	61	39
11033	207	140	67
11034	95	60	35
11035	67	55	12
11036	83	52	31
11037	65	55	10
12010	34	25	9
12015	98	70	28
12018	8	6	2
15002	113	101	12
15003	122	108	14
