Precinct	total_votes	votes|Christian L. Mitchell
02002	159	159
02010	151	151
02011	200	200
02013	176	176
02018	160	160
02019	125	125
02023	134	134
02027	117	117
02029	121	121
02034	193	193
02042	40	40
03002	28	28
03004	254	254
03011	103	103
03012	159	159
03019	225	225
03021	112	112
03027	127	127
03030	191	191
03031	136	136
04003	195	195
04004	304	304
04006	62	62
04007	342	342
04008	288	288
04011	144	144
04012	259	259
04015	52	52
04018	225	225
04019	155	155
04023	71	71
04024	222	222
04026	216	216
04028	206	206
04029	201	201
04030	249	249
04032	251	251
04033	243	243
04034	30	30
04035	309	309
04036	151	151
04038	196	196
05004	272	272
05005	167	167
05006	183	183
05010	151	151
05013	161	161
05014	20	20
05015	200	200
05016	174	174
05017	72	72
05021	105	105
05028	119	119
05030	66	66
05036	110	110
07001	153	153
07002	144	144
07003	224	224
07004	193	193
07010	209	209
07011	14	14
07015	182	182
07016	10	10
07017	15	15
07019	195	195
07020	124	124
07021	37	37
07023	226	226
07024	152	152
07025	76	76
07028	14	14
07030	12	12
07031	100	100
07033	3	3
08001	7	7
08002	113	113
08021	0	0
08042	235	235
10018	77	77
10027	128	128
10034	54	54
10036	0	0
20005	171	171
20009	228	228
20016	180	180
20022	229	229
20024	34	34
42001	173	173
42002	138	138
42004	228	228
42006	243	243
42007	197	197
42008	156	156
42011	126	126
42013	196	196
42019	51	51
42024	152	152
42026	176	176
42028	227	227
42029	151	151
42030	179	179
42031	177	177
42034	144	144
42035	235	235
42040	139	139
43035	217	217
