Precinct	total_votes	votes|Will Guzzardi
01002	53	53
01007	134	134
01009	162	162
01013	98	98
01016	206	206
01017	29	29
01019	220	220
01023	290	290
01034	178	178
01041	125	125
01042	27	27
01043	106	106
26007	151	151
26034	176	176
26037	3	3
30001	179	179
30004	121	121
30007	145	145
30009	76	76
30017	154	154
30018	68	68
30019	30	30
30020	151	151
30023	124	124
30024	29	29
30025	133	133
30026	83	83
30027	85	85
30031	86	86
31001	73	73
31002	86	86
31005	121	121
31006	71	71
31007	187	187
31008	68	68
31009	98	98
31010	86	86
31011	74	74
31012	74	74
31013	100	100
31014	53	53
31017	89	89
31018	97	97
31020	78	78
31021	72	72
31023	81	81
31024	110	110
31026	107	107
31027	83	83
31028	74	74
31029	101	101
31030	73	73
31032	57	57
31033	73	73
31034	95	95
31035	89	89
31036	120	120
31037	87	87
31038	67	67
31040	104	104
31041	79	79
32003	132	132
32011	264	264
32012	168	168
32014	234	234
32020	252	252
32022	316	316
32026	100	100
32028	133	133
32043	14	14
35002	19	19
35010	288	288
35011	180	180
35015	214	214
35017	193	193
35025	219	219
35028	171	171
36009	0	0
36014	162	162
36016	164	164
36017	182	182
36018	97	97
36020	136	136
38023	179	179
38034	154	154
38035	156	156
38039	67	67
45008	160	160
45009	172	172
45010	184	184
45011	127	127
