Precinct	total_votes	votes|Luis Arroyo Jr.
01001	190	190
01002	152	152
01007	126	126
01009	175	175
01013	90	90
01015	138	138
01016	198	198
01017	171	171
01018	201	201
01019	205	205
01020	143	143
01022	131	131
01023	276	276
01024	159	159
01025	165	165
01026	126	126
01027	187	187
01029	198	198
01030	215	215
01031	208	208
01034	170	170
01038	52	52
01041	129	129
01042	39	39
01043	108	108
01044	178	178
26001	157	157
26002	136	136
26003	167	167
26004	87	87
26005	141	141
26006	122	122
26007	130	130
26008	73	73
26009	133	133
26010	143	143
26011	141	141
26012	130	130
26013	73	73
26014	110	110
26015	79	79
26016	78	78
26017	96	96
26018	94	94
26019	87	87
26020	124	124
26021	141	141
26022	58	58
26023	91	91
26024	140	140
26025	124	124
26026	80	80
26027	192	192
26029	85	85
26030	112	112
26031	71	71
26033	154	154
26034	182	182
26035	136	136
26036	116	116
26037	137	137
26038	62	62
26039	143	143
26040	97	97
26041	149	149
26042	113	113
26043	73	73
26044	94	94
26045	51	51
26046	82	82
26047	76	76
26048	117	117
26049	68	68
30001	8	8
30002	122	122
30003	133	133
30005	90	90
30006	118	118
30007	143	143
30008	196	196
30009	29	29
30010	134	134
30011	114	114
30012	91	91
30013	119	119
30014	83	83
30015	185	185
30016	51	51
30018	156	156
30019	130	130
30020	149	149
30021	43	43
30022	193	193
30023	133	133
30024	179	179
30025	218	218
30026	87	87
30027	88	88
30028	186	186
30029	74	74
30030	41	41
30031	89	89
30032	127	127
31001	88	88
31002	93	93
31003	72	72
31004	162	162
31005	134	134
31006	89	89
31007	183	183
31008	87	87
31009	106	106
31010	84	84
31011	67	67
31012	76	76
31013	125	125
31014	102	102
31015	91	91
31016	151	151
31017	95	95
31018	95	95
31019	74	74
31020	93	93
31021	103	103
31022	85	85
31023	87	87
31024	136	136
31025	81	81
31026	122	122
31027	113	113
31028	76	76
31029	123	123
31030	76	76
31031	82	82
31032	66	66
31033	77	77
31034	93	93
31035	93	93
31036	118	118
31037	88	88
31038	74	74
31039	112	112
31040	104	104
31041	94	94
32001	24	24
32003	249	249
32005	64	64
32011	225	225
32012	167	167
32014	209	209
32016	181	181
32017	212	212
32020	227	227
32022	287	287
32026	250	250
32028	213	213
32029	217	217
32032	14	14
32043	199	199
33001	233	233
33003	283	283
33004	249	249
33005	146	146
33006	189	189
33008	134	134
33009	18	18
33011	207	207
33012	199	199
33013	205	205
33014	90	90
33015	247	247
33016	284	284
33017	225	225
33019	202	202
33020	222	222
33021	244	244
33022	27	27
33026	156	156
33027	199	199
33028	201	201
35001	173	173
35002	223	223
35003	175	175
35004	156	156
35005	160	160
35006	169	169
35007	189	189
35008	202	202
35009	151	151
35010	247	247
35011	172	172
35012	133	133
35013	123	123
35014	134	134
35015	200	200
35016	109	109
35017	187	187
35018	138	138
35019	82	82
35020	148	148
35021	175	175
35022	209	209
35023	184	184
35024	145	145
35025	189	189
35026	146	146
35027	159	159
35028	153	153
35029	118	118
35030	154	154
35031	206	206
36002	112	112
36004	34	34
36005	131	131
36006	104	104
36008	104	104
36009	120	120
36011	87	87
36012	74	74
36013	78	78
36021	112	112
36022	97	97
36023	87	87
36025	114	114
45001	149	149
45002	181	181
45003	167	167
