Precinct	total_votes	votes|John J. Cullerton	votes|Ross Outten
45025	117	65	52
45026	95	56	39
45027	144	88	56
45028	117	73	44
45029	108	78	30
45030	157	115	42
45031	145	105	40
45032	139	94	45
45033	124	78	46
45034	193	114	79
45035	208	136	72
45036	199	134	65
45037	165	116	49
45038	145	109	36
45039	160	108	52
45040	182	122	60
45041	163	102	61
45042	185	116	69
45043	179	116	63
45044	159	104	55
45045	94	68	26
45046	124	90	34
45047	121	85	36
45048	115	76	39
46003	293	189	104
46005	201	110	91
46010	257	159	98
46012	38	19	19
46016	119	81	38
46019	187	128	59
46024	71	41	30
46028	277	188	89
46030	213	149	64
46031	206	130	76
46033	246	145	101
46036	235	161	74
46038	142	99	43
46039	210	131	79
47001	123	72	51
47002	277	200	77
47003	295	215	80
47004	301	206	95
47005	271	146	125
47006	243	149	94
47007	222	134	88
47008	263	162	101
47009	213	126	87
47010	312	171	141
47011	198	134	64
47012	292	170	122
47013	275	161	114
47014	241	152	89
47016	283	178	105
47017	242	165	77
47018	239	128	111
47020	240	139	101
47021	256	148	108
47022	287	164	123
47024	229	147	82
47025	249	147	102
47026	272	159	113
47027	224	147	77
47028	258	151	107
47029	251	168	83
47030	134	66	68
47031	214	130	84
47032	293	153	140
47033	185	112	73
47034	266	147	119
47035	239	143	96
47036	283	155	128
47037	256	163	93
47038	231	121	110
47039	259	165	94
47040	330	181	149
47041	297	178	119
47042	254	144	110
47043	221	147	74
47044	178	125	53
47045	256	148	108
47046	249	170	79
47047	254	171	83
47048	28	21	7
50024	120	72	48
50025	12	10	2
