Precinct	total_votes	votes|Camille Lilly
29001	280	280
29004	213	213
29005	119	119
29007	210	210
29009	217	217
29010	252	252
29012	226	226
29013	175	175
29015	220	220
29017	193	193
29023	150	150
29024	147	147
29025	240	240
29026	202	202
29027	159	159
29030	112	112
29033	159	159
29035	131	131
29036	33	33
29037	177	177
29040	224	224
29041	135	135
29043	259	259
29044	217	217
37018	152	152
37029	80	80
37035	191	191
37037	181	181
