Precinct	total_votes	votes|Arthur Turner
02009	110	110
02012	170	170
02020	1	1
02041	23	23
02046	88	88
11002	11	11
11006	212	212
11007	154	154
11033	178	178
12010	25	25
22019	34	34
22021	173	173
24001	142	142
24002	129	129
24003	124	124
24004	101	101
24005	66	66
24006	149	149
24007	77	77
24008	65	65
24009	105	105
24010	69	69
24011	132	132
24012	77	77
24013	55	55
24014	100	100
24015	57	57
24016	9	9
24017	80	80
24018	144	144
24020	26	26
24021	58	58
24022	167	167
24023	105	105
24024	147	147
24025	115	115
24026	232	232
24027	155	155
24028	113	113
24029	132	132
24030	81	81
24031	148	148
24033	77	77
24034	117	117
24035	112	112
24036	180	180
24037	88	88
24038	132	132
24039	182	182
24040	131	131
25003	173	173
25004	147	147
25010	179	179
25016	152	152
25020	95	95
25025	140	140
25027	87	87
25029	154	154
25031	179	179
27002	152	152
27006	134	134
27009	69	69
27010	61	61
27011	37	37
27014	11	11
27016	69	69
27018	120	120
27020	77	77
27021	116	116
27025	33	33
27028	89	89
27033	42	42
27037	154	154
27038	159	159
27041	149	149
27042	99	99
27045	192	192
27047	120	120
27048	191	191
28004	86	86
28005	105	105
28006	88	88
28008	100	100
28010	178	178
28011	201	201
28018	114	114
28019	120	120
28027	126	126
28028	166	166
28029	55	55
28032	8	8
28034	201	201
28035	141	141
28045	108	108
28046	204	204
42003	170	170
42009	0	0
42012	105	105
42016	172	172
42018	0	0
42021	43	43
42036	69	69
42041	40	40
43001	102	102
43003	167	167
43005	39	39
43045	121	121
