Precinct	total_votes	votes|Robin Kelly	votes|Carrie M. Austin
05001	202	144	58
05006	210	163	47
05010	29	20	9
05011	204	160	44
05014	260	189	71
05018	98	78	20
05023	450	366	84
05025	221	177	44
05026	262	221	41
05028	318	240	78
05029	266	200	66
05031	196	146	50
05032	333	253	80
05035	47	38	9
05036	137	109	28
05037	324	268	56
05038	240	186	54
05040	202	153	49
05041	186	136	50
07001	26	20	6
07002	178	154	24
07003	265	211	54
07004	228	169	59
07005	181	127	54
07006	266	212	54
07007	174	129	45
07008	168	133	35
07009	365	271	94
07010	232	178	54
07011	168	129	39
07012	181	131	50
07013	150	115	35
07014	212	161	51
07015	215	175	40
07016	162	114	48
07017	158	126	32
07018	163	112	51
07019	222	175	47
07020	137	99	38
07021	158	119	39
07022	172	118	54
07023	250	199	51
07024	177	137	40
07025	125	88	37
07026	171	136	35
07027	181	158	23
07028	130	96	34
07029	163	129	34
07030	133	84	49
07031	111	79	32
07032	355	271	84
07033	337	264	73
07034	271	208	63
07035	202	151	51
07036	273	187	86
07037	227	182	45
07038	177	125	52
07039	195	148	47
07040	180	145	35
07041	189	135	54
07042	196	149	47
07043	194	152	42
07044	149	109	40
07045	159	119	40
07046	124	98	26
08004	179	133	46
08005	2	1	1
08007	286	204	82
08009	166	111	55
08017	219	154	65
08027	205	142	63
08028	235	177	58
08032	168	114	54
08036	240	174	66
08039	220	166	54
08042	273	201	72
08046	162	117	45
08049	12	9	3
08050	96	64	32
08053	121	84	37
09001	223	138	85
09002	187	119	68
09003	120	95	25
09004	154	95	59
09005	222	137	85
09006	200	106	94
09007	156	82	74
09008	189	133	56
09009	248	163	85
09010	158	90	68
09011	150	82	68
09013	258	169	89
09014	280	197	83
09015	120	86	34
09016	188	115	73
09017	138	87	51
09018	140	78	62
09019	193	112	81
09020	234	156	78
09021	169	106	63
09022	239	151	88
09026	148	83	65
09027	188	101	87
09028	118	68	50
09029	167	104	63
09030	155	93	62
09031	144	74	70
09032	212	127	85
09033	139	96	43
09034	149	83	66
09035	230	144	86
09037	294	204	90
09038	182	134	48
09039	237	139	98
09040	264	168	96
09041	165	104	61
09043	166	97	69
09044	201	109	92
09045	152	91	61
09046	215	137	78
10001	162	119	43
10002	159	104	55
10003	138	95	43
10004	122	75	47
10005	107	72	35
10006	118	68	50
10007	93	62	31
10008	80	55	25
10009	126	94	32
10010	150	95	55
10011	153	108	45
10012	84	53	31
10013	143	100	43
10014	164	109	55
10015	403	298	105
10016	102	73	29
10017	195	126	69
10018	86	67	19
10019	127	77	50
10020	153	106	47
10021	111	75	36
10022	85	63	22
10023	118	80	38
10024	130	68	62
10025	49	38	11
10026	94	57	37
10027	141	102	39
10028	150	100	50
10029	113	68	45
10030	128	89	39
10031	97	68	29
10032	122	81	41
10033	103	61	42
10034	87	62	25
10035	160	104	56
10036	44	30	14
34002	36	17	19
34004	150	65	85
34018	167	84	83
34022	178	76	102
34023	181	75	106
34024	191	85	106
34027	180	91	89
34028	126	54	72
34030	165	87	78
34036	225	110	115
34037	117	60	57
34038	92	45	47
34039	146	65	81
34041	135	81	54
34053	116	62	54
