Precinct	total_votes	votes|Ann M. Williams
01028	57	57
01042	19	19
02020	51	51
02022	168	168
02024	172	172
02026	133	133
32001	160	160
32005	8	8
32007	191	191
32008	177	177
32009	173	173
32010	185	185
32013	173	173
32015	187	187
32016	197	197
32018	154	154
32019	175	175
32021	226	226
32023	169	169
32024	107	107
32025	205	205
32027	159	159
32029	60	60
32030	141	141
32033	89	89
32034	7	7
32036	10	10
32037	92	92
32038	161	161
32039	184	184
32040	215	215
32041	192	192
32042	161	161
33003	58	58
33005	35	35
33008	352	352
33010	194	194
33020	38	38
33023	237	237
33024	392	392
43002	162	162
43006	115	115
43009	216	216
43016	125	125
43017	146	146
43018	203	203
43020	166	166
43021	178	178
43022	112	112
43024	126	126
43029	154	154
43030	162	162
43031	201	201
43037	174	174
43039	125	125
43040	123	123
43041	247	247
43044	164	164
43046	81	81
44002	208	208
44009	158	158
44011	140	140
44016	221	221
44025	184	184
44030	215	215
47001	131	131
47002	265	265
47003	291	291
47004	304	304
47005	55	55
47006	238	238
47007	218	218
47008	268	268
47009	214	214
47011	210	210
47012	294	294
47013	273	273
47014	244	244
47016	277	277
47017	238	238
47018	229	229
47021	256	256
47024	213	213
47025	249	249
47027	232	232
47028	9	9
47029	257	257
47033	192	192
47035	243	243
47039	262	262
47040	314	314
47041	138	138
47043	213	213
47044	179	179
47046	245	245
47047	259	259
47048	27	27
