Precinct	total_votes	votes|Joshua Gray	votes|Bill Lowry	votes|Patricia Horton	votes|Charise A. Williams	votes|Steven R. Wolfe	votes|Erick M. Nickerson	votes|Horace ''Washington'' Howard
02002	145	8	58	48	15	7	4	5
02009	107	9	38	25	14	11	1	9
02010	160	13	77	41	3	18	3	5
02011	191	18	87	37	22	19	3	5
02012	185	16	62	50	28	15	1	13
02013	169	11	81	42	6	18	5	6
02018	166	17	66	41	20	8	5	9
02019	135	7	61	42	8	6	6	5
02023	121	13	58	26	7	12	1	4
02027	121	10	45	39	10	12	2	3
02028	166	6	63	53	21	8	3	12
02029	165	15	65	42	17	13	3	10
02030	141	2	76	32	16	12	1	2
02031	239	12	105	66	14	33	2	7
02033	286	14	135	71	17	32	7	10
02034	186	11	90	40	17	21	3	4
02035	165	14	59	34	30	18	1	9
02036	141	9	48	52	11	12	0	9
02037	167	11	64	56	13	15	3	5
02038	131	9	69	25	9	12	6	1
02042	42	4	7	15	9	3	0	4
02044	104	4	42	28	10	14	0	6
02046	90	8	33	27	8	7	2	5
03001	268	30	50	65	76	21	2	24
03002	387	30	117	103	84	18	3	32
03004	284	24	78	49	79	28	3	23
03007	217	31	50	36	59	8	7	26
03009	247	28	56	52	76	14	1	20
03011	244	23	44	50	80	18	3	26
03012	314	28	71	70	95	22	4	24
03015	224	17	56	61	49	13	2	26
03018	119	5	21	20	54	9	0	10
03019	212	7	75	68	40	11	2	9
03020	252	30	42	66	59	13	12	30
03021	122	5	48	32	23	9	2	3
03023	194	22	35	60	37	13	4	23
03024	153	13	32	37	36	13	5	17
03027	130	9	30	34	37	7	0	13
03029	91	9	18	27	25	4	1	7
03030	233	25	53	48	66	15	5	21
03031	275	39	63	61	65	13	5	29
03035	93	9	25	19	25	4	2	9
03037	139	18	29	31	36	11	2	12
03038	272	12	56	93	61	19	3	28
03041	221	18	54	46	57	21	3	22
04001	346	41	151	45	61	16	0	32
04002	266	22	107	58	45	15	5	14
04003	225	21	68	51	31	20	4	30
04004	353	35	118	59	44	49	7	41
04005	292	34	108	48	58	27	3	14
04006	340	22	112	80	74	19	4	29
04007	389	39	154	63	65	38	3	27
04008	325	24	124	52	76	22	1	26
04009	386	29	165	76	69	21	2	24
04010	349	21	167	47	68	19	3	24
04011	237	35	64	53	39	24	2	20
04012	284	21	95	64	60	16	3	25
04013	89	4	37	18	16	1	0	13
04014	296	24	94	65	73	11	5	24
04015	339	39	110	52	63	33	1	41
04016	268	20	110	66	36	14	4	18
04017	273	24	76	75	59	13	3	23
04018	296	23	95	60	46	32	3	37
04019	182	24	66	31	21	11	4	25
04020	238	14	91	59	31	30	2	11
04021	223	13	98	55	29	10	3	15
04022	278	20	151	35	42	12	2	16
04023	383	29	208	45	61	14	2	24
04024	255	20	140	26	39	13	3	14
04025	227	16	91	52	35	11	3	19
04026	260	19	115	42	29	29	3	23
04027	319	31	131	42	62	12	3	38
04028	237	11	77	54	51	17	1	26
04029	241	22	74	53	47	23	2	20
04030	314	35	102	58	57	32	6	24
04031	357	16	170	41	64	33	6	27
04032	295	34	99	59	58	22	3	20
04033	278	27	113	34	50	28	6	20
04034	268	21	83	56	59	15	3	31
04035	334	22	145	42	67	29	5	24
04036	322	26	108	59	81	19	3	26
04037	313	18	129	72	59	12	1	22
04038	323	21	122	58	67	27	2	26
05001	195	17	58	45	40	7	5	23
05002	157	13	51	27	27	11	3	25
05003	227	16	117	34	30	8	2	20
05004	303	39	103	42	63	26	5	25
05005	224	29	68	42	36	18	6	25
