Precinct	total_votes	votes|Cynthia M. Santos	votes|Melissa Lindberg
01003	209	112	97
01004	201	119	82
01005	176	90	86
01006	173	123	50
01008	172	107	65
01010	168	92	76
01011	192	96	96
01014	149	97	52
01021	190	114	76
01028	78	68	10
01032	113	77	36
01033	219	111	108
01035	216	131	85
01036	177	91	86
01037	192	122	70
01038	30	12	18
01039	167	95	72
01040	206	130	76
02001	185	101	84
02003	214	135	79
02004	141	82	59
02005	202	123	79
02006	150	84	66
02007	168	97	71
02008	183	108	75
02012	67	35	32
02014	24	18	6
02015	184	96	88
02016	170	114	56
02017	0	0	0
02020	106	60	46
02021	217	116	101
02022	167	83	84
02024	165	108	57
02025	184	110	74
02026	124	82	42
02028	139	79	60
02030	144	88	56
02031	209	108	101
02033	278	162	116
02037	162	103	59
02038	26	16	10
02044	108	69	39
26028	108	63	45
26032	161	104	57
27007	217	137	80
27012	75	50	25
27013	87	64	23
27027	5	1	4
27035	4	2	2
27037	7	6	1
27040	27	19	8
27042	32	18	14
27043	7	2	5
27046	86	54	32
29023	32	16	16
29029	149	103	46
29031	137	100	37
29032	109	74	35
29038	0	0	0
29039	83	69	14
30015	161	98	63
30017	78	60	18
30021	118	88	30
32001	222	136	86
32002	159	75	84
32004	184	102	82
32005	190	101	89
32006	182	99	83
32007	171	97	74
32008	168	93	75
32009	169	95	74
32010	186	96	90
32013	162	93	69
32015	178	110	68
32016	194	107	87
32018	143	92	51
32019	170	100	70
32021	211	122	89
32023	156	97	59
32024	91	55	36
32025	186	105	81
32027	151	93	58
32029	223	124	99
32030	130	67	63
32031	187	110	77
32032	199	104	95
32033	191	102	89
32034	175	94	81
32035	157	91	66
32036	181	88	93
32037	166	95	71
32038	154	110	44
32039	173	103	70
32040	199	112	87
32041	179	109	70
32042	150	76	74
33002	275	173	102
33003	28	16	12
33005	160	108	52
33007	138	84	54
33008	220	130	90
33010	17	13	4
33018	270	169	101
33019	112	57	55
33023	15	10	5
33024	371	223	148
33027	1	0	1
36007	207	150	57
36014	157	107	50
36015	190	132	58
36016	135	91	44
36017	182	123	59
36018	163	112	51
36020	74	47	27
36024	103	79	24
36026	117	91	26
36028	102	73	29
36029	77	54	23
36030	135	101	34
38002	171	101	70
38003	134	93	41
38004	155	110	45
38005	149	105	44
38006	136	104	32
38007	138	104	34
38008	135	93	42
38009	166	109	57
38010	127	80	47
38011	164	97	67
38012	148	98	50
38013	171	114	57
38014	168	107	61
38015	151	106	45
38016	157	95	62
38017	172	119	53
38018	161	89	72
