Precinct	total_votes	votes|Theresa Mah
11001	340	340
11003	391	391
11004	327	327
11005	487	487
11008	367	367
11009	299	299
11010	323	323
11011	400	400
11014	227	227
11015	145	145
11016	241	241
11017	467	467
11018	270	270
11019	474	474
11020	239	239
11022	412	412
11023	224	224
11025	479	479
11026	419	419
11027	126	126
11030	188	188
11036	147	147
11037	114	114
11038	204	204
12001	321	321
12003	453	453
12004	374	374
12005	283	283
12006	16	16
12008	356	356
12009	275	275
12013	240	240
12017	137	137
12019	345	345
12021	317	317
12023	339	339
15005	228	228
15009	284	284
15013	210	210
15014	256	256
15015	222	222
20020	0	0
25001	319	319
25002	480	480
25005	413	413
25006	129	129
25007	427	427
25008	449	449
25009	394	394
25011	441	441
25012	404	404
25013	478	478
25014	272	272
25015	347	347
25017	465	465
25018	246	246
25019	439	439
25022	384	384
25023	468	468
25024	412	412
25026	349	349
25027	32	32
25028	425	425
25030	391	391
25032	322	322
28019	3	3
