Precinct	total_votes	votes|Danny K. Davis	votes|Craig Cameron
01012	654	562	92
01014	140	126	14
01015	76	72	4
01032	231	180	51
02002	454	336	118
02009	534	389	145
02010	492	335	157
02011	627	445	182
02012	289	273	16
02013	518	401	117
02014	509	441	68
02017	673	584	89
02018	562	425	137
02019	438	309	129
02020	303	240	63
02021	15	13	2
02023	410	286	124
02027	533	379	154
02028	255	189	66
02029	647	487	160
02032	454	340	114
02034	468	331	137
02035	737	552	185
02036	642	489	153
02038	416	290	126
02039	401	256	145
02040	787	609	178
02041	590	457	133
02042	641	509	132
02043	787	594	193
02045	665	522	143
02046	322	227	95
03001	639	621	18
03002	581	572	9
03003	456	422	34
03004	272	268	4
03005	301	293	8
03006	726	577	149
03008	412	396	16
03009	514	497	17
03010	229	226	3
03011	509	494	15
03012	456	447	9
03013	619	527	92
03014	595	523	72
03015	468	461	7
03016	431	418	13
03017	746	684	62
03018	493	477	16
03019	631	481	150
03020	516	508	8
03021	615	509	106
03022	741	623	118
03023	184	178	6
03024	418	404	14
03025	940	717	223
03026	627	507	120
03027	713	556	157
03028	326	315	11
03029	481	459	22
03030	111	106	5
03031	528	521	7
03032	663	562	101
03033	670	570	100
03034	694	596	98
03035	143	133	10
03036	267	261	6
03037	448	439	9
03039	894	757	137
03040	554	507	47
04002	710	599	111
04004	651	635	16
04005	516	495	21
04006	615	578	37
04007	613	593	20
04008	55	55	0
04010	656	638	18
04011	330	321	9
04013	672	582	90
04014	106	101	5
04015	185	175	10
04016	932	815	117
04017	709	634	75
04020	516	441	75
04021	767	675	92
04022	5	5	0
04025	628	520	108
04028	315	299	16
04029	135	132	3
04030	70	70	0
04034	458	446	12
04035	612	591	21
04036	295	286	9
04037	1018	877	141
06021	203	198	5
11002	33	24	9
11006	718	601	117
11007	678	615	63
11014	232	166	66
11030	225	169	56
11033	557	443	114
11034	156	121	35
11035	113	93	20
11036	178	141	37
11037	125	107	18
12010	64	64	0
12015	160	146	14
12018	138	130	8
15002	216	212	4
15003	227	217	10
15007	245	235	10
15013	33	28	5
15014	3	3	0
15016	11	9	2
15017	264	251	13
15018	211	209	2
15020	261	252	9
15021	215	210	5
15022	281	275	6
15023	264	261	3
15024	206	204	2
16002	284	266	18
16003	231	225	6
16004	294	283	11
16005	201	193	8
16006	284	279	5
16007	249	240	9
16008	186	178	8
16009	19	18	1
16010	267	264	3
16011	272	265	7
16012	244	237	7
16013	269	252	17
16014	212	206	6
16015	293	287	6
16016	269	266	3
16017	336	314	22
16018	315	307	8
16019	246	237	9
16020	227	219	8
16021	243	233	10
16022	234	227	7
16023	31	28	3
16024	153	151	2
16025	326	307	19
16026	216	209	7
16027	237	232	5
16029	271	269	2
16031	227	223	4
16033	263	255	8
16034	206	204	2
16035	237	229	8
16036	217	214	3
17006	171	166	5
17007	282	271	11
17008	10	10	0
17012	379	358	21
17013	294	286	8
17014	381	357	24
17016	90	85	5
17019	201	195	6
17025	14	14	0
17031	210	207	3
17033	154	148	6
17035	141	134	7
17036	56	55	1
20002	157	153	4
20004	125	124	1
20006	171	167	4
20011	313	305	8
20015	150	140	10
20017	221	206	15
20020	244	222	22
20021	261	251	10
20025	273	260	13
20027	93	86	7
20030	173	170	3
20031	321	319	2
20032	367	362	5
20036	126	121	5
20037	5	5	0
20038	126	121	5
20039	25	24	1
22014	132	126	6
22015	9	9	0
22019	176	168	8
22021	366	358	8
23017	89	80	9
23019	23	20	3
23031	60	48	12
24001	292	287	5
24002	302	295	7
24003	337	329	8
24004	256	249	7
24005	176	174	2
24006	320	314	6
24007	207	192	15
24008	157	153	4
24009	302	295	7
24010	140	136	4
24011	364	347	17
24012	189	180	9
24013	176	171	5
24014	298	292	6
24015	168	162	6
24016	175	157	18
24017	255	246	9
24018	361	357	4
24019	381	378	3
24020	269	265	4
24021	150	147	3
24022	398	391	7
24023	255	247	8
24024	351	337	14
24025	269	264	5
24026	438	425	13
24027	336	329	7
24028	214	210	4
24029	252	247	5
24030	185	182	3
24031	348	340	8
24032	167	160	7
24033	190	186	4
24034	301	294	7
24035	297	295	2
24036	379	368	11
24037	189	182	7
24038	261	250	11
24039	335	317	18
24040	371	362	9
24041	222	216	6
25003	788	627	161
25004	394	362	32
25006	150	122	28
25010	750	596	154
25014	248	210	38
25016	768	586	182
25018	284	230	54
25020	303	294	9
25021	875	752	123
25025	483	369	114
25027	570	474	96
25029	371	344	27
25031	908	702	206
26001	200	185	15
26003	443	383	60
26004	232	217	15
26010	238	229	9
26017	321	241	80
26019	222	203	19
26021	432	401	31
26027	208	190	18
26028	244	208	36
26033	343	318	25
26036	360	321	39
26039	238	212	26
26045	84	71	13
26046	271	207	64
27001	914	754	160
27002	472	397	75
27003	247	237	10
27004	216	201	15
27005	324	305	19
27006	512	437	75
27008	306	295	11
27009	234	174	60
27010	432	418	14
27011	613	492	121
27013	481	458	23
27014	205	203	2
27015	212	206	6
27016	502	413	89
27017	398	374	24
27018	291	278	13
27019	203	190	13
27020	320	315	5
27021	468	380	88
27022	195	190	5
27023	295	290	5
27024	289	275	14
27025	375	347	28
27026	314	301	13
27027	473	445	28
27028	417	332	85
27029	263	254	9
27030	191	182	9
27031	319	312	7
27032	367	344	23
27033	474	396	78
27034	295	285	10
27035	497	398	99
27036	334	322	12
27037	517	429	88
27038	658	551	107
27039	291	282	9
27040	552	450	102
27041	345	341	4
27042	116	110	6
27043	254	238	16
27044	270	264	6
27045	977	776	201
27047	290	271	19
27048	838	730	108
27049	292	284	8
27050	385	374	11
28001	233	225	8
28002	302	293	9
28003	269	261	8
28004	342	284	58
28005	222	209	13
28006	201	180	21
28007	313	305	8
28008	442	370	72
28009	320	316	4
28010	461	406	55
28011	687	629	58
28012	324	321	3
28013	373	363	10
28014	250	247	3
28015	70	69	1
28016	205	200	5
28017	277	273	4
28018	285	283	2
28019	292	267	25
28020	298	293	5
28021	268	264	4
28022	297	285	12
28023	369	359	10
28024	264	250	14
28025	445	432	13
28026	318	310	8
28027	379	284	95
28028	446	359	87
28029	173	165	8
28030	51	49	2
28031	437	423	14
28032	300	291	9
28033	341	335	6
28034	565	545	20
28035	373	365	8
28036	184	181	3
28037	406	403	3
28038	155	149	6
28039	244	235	9
28040	425	416	9
28041	234	227	7
28042	330	324	6
28043	394	390	4
28044	229	225	4
28045	449	371	78
28046	663	575	88
29001	525	442	83
29002	524	511	13
29003	434	427	7
29004	430	424	6
29005	341	327	14
29006	346	337	9
29007	417	382	35
29008	353	347	6
29009	2	1	1
29010	544	451	93
29011	239	233	6
29012	489	473	16
29013	434	422	12
29014	371	362	9
29015	465	447	18
29016	360	353	7
29017	360	355	5
29018	387	377	10
