Precinct	total_votes	votes|Patricia Van Pelt
01008	118	118
01011	35	35
01012	226	226
01021	19	19
01032	30	30
01033	5	5
01037	34	34
02001	122	122
02006	156	156
02007	158	158
02008	179	179
02009	112	112
02012	179	179
02015	163	163
02017	199	199
02020	89	89
02025	185	185
02041	24	24
02046	90	90
11002	11	11
11006	213	213
11007	156	156
11033	178	178
12010	24	24
22019	33	33
22021	152	152
24001	120	120
24002	116	116
24003	102	102
24004	103	103
24005	56	56
24006	129	129
24007	76	76
24008	58	58
24009	89	89
24010	59	59
24011	115	115
24012	63	63
24013	49	49
24014	95	95
24015	52	52
24016	11	11
24017	103	103
24018	140	140
24019	165	165
24020	98	98
24021	54	54
24022	151	151
24023	89	89
24024	130	130
24025	99	99
24026	209	209
24027	141	141
24028	95	95
24029	99	99
24030	70	70
24031	126	126
24032	64	64
24033	73	73
24034	107	107
24035	105	105
24036	156	156
24037	75	75
24038	118	118
24039	167	167
24040	121	121
24041	99	99
25003	177	177
25004	149	149
25010	183	183
25016	151	151
25020	99	99
25025	148	148
25027	86	86
25029	164	164
25031	178	178
26004	10	10
26017	102	102
26019	40	40
26028	156	156
26046	80	80
27001	157	157
27002	151	151
27003	94	94
27004	86	86
27005	113	113
27006	137	137
27008	103	103
27009	66	66
27010	204	204
27011	127	127
27013	185	185
27014	74	74
27015	70	70
27016	98	98
27017	141	141
27018	114	114
27019	61	61
27020	81	81
27021	117	117
27022	85	85
27023	119	119
27024	74	74
27025	142	142
27026	130	130
27027	150	150
27028	91	91
27029	85	85
27030	90	90
27031	125	125
27032	131	131
27033	127	127
27034	110	110
27035	145	145
27036	131	131
27037	168	168
27038	160	160
27039	126	126
27040	139	139
27041	154	154
27042	103	103
27043	97	97
27044	92	92
27045	212	212
27047	124	124
27048	217	217
27049	119	119
27050	138	138
28001	0	0
28002	108	108
28003	110	110
28004	86	86
28005	100	100
28006	91	91
28007	118	118
28008	97	97
28009	120	120
28010	176	176
28011	207	207
28013	121	121
28015	40	40
28016	88	88
28017	96	96
28018	110	110
28019	118	118
28020	123	123
28021	112	112
28022	119	119
28023	149	149
28024	116	116
28025	199	199
28026	139	139
28027	131	131
28028	168	168
28029	51	51
28030	31	31
28032	114	114
28033	144	144
28034	190	190
28035	140	140
28036	55	55
28037	171	171
28038	53	53
28040	172	172
28042	41	41
28044	89	89
28045	112	112
28046	203	203
29006	3	3
32002	167	167
32004	170	170
32005	183	183
32006	202	202
32029	158	158
32031	193	193
32032	194	194
32033	96	96
32034	168	168
32035	157	157
32036	179	179
32037	71	71
37002	89	89
37003	97	97
37004	96	96
37007	91	91
37008	82	82
37012	78	78
37013	112	112
37014	2	2
37019	113	113
37020	27	27
37021	121	121
37022	12	12
37027	2	2
37028	111	111
37030	4	4
42003	170	170
42009	0	0
42012	110	110
42016	177	177
42018	0	0
42021	46	46
42036	70	70
42041	40	40
43001	106	106
43003	172	172
43005	153	153
43007	128	128
43010	213	213
43011	101	101
43023	129	129
43045	118	118
