Precinct	total_votes	votes|Ann M. Williams
01028	112	112
01042	52	52
02020	58	58
02022	493	493
02024	428	428
02026	408	408
32001	390	390
32005	31	31
32007	526	526
32008	604	604
32009	457	457
32010	491	491
32013	516	516
32015	485	485
32016	510	510
32018	434	434
32019	516	516
32021	525	525
32023	531	531
32024	362	362
32025	516	516
32027	452	452
32029	130	130
32030	488	488
32033	234	234
32034	65	65
32036	13	13
32037	281	281
32038	453	453
32039	524	524
32040	555	555
32041	524	524
32042	446	446
33003	105	105
33005	102	102
33008	653	653
33010	452	452
33020	61	61
33023	526	526
33024	626	626
43002	542	542
43006	391	391
43009	490	490
43016	589	589
43017	369	369
43018	574	574
43020	544	544
43021	543	543
43022	360	360
43024	368	368
43029	467	467
43030	546	546
43031	469	469
43037	574	574
43039	473	473
43040	364	364
43041	651	651
43044	468	468
43046	294	294
44002	532	532
44009	546	546
44011	388	388
44016	623	623
44025	521	521
44030	675	675
47001	359	359
47002	525	525
47003	479	479
47004	568	568
47005	110	110
47006	640	640
47007	467	467
47008	504	504
47009	499	499
47011	510	510
47012	562	562
47013	525	525
47014	472	472
47016	523	523
47017	518	518
47018	488	488
47021	499	499
47024	548	548
47025	621	621
47027	499	499
47028	38	38
47029	588	588
47033	501	501
47035	518	518
47039	527	527
47040	535	535
47041	86	86
47043	486	486
47044	466	466
47046	486	486
47047	611	611
47048	37	37
