Precinct	total_votes	votes|Deborah Sims	votes|Timothy ''Tim'' Parker	votes|Audrey Lynn Tanksley
09001	63	55	6	2
09002	29	26	3	0
09003	121	95	23	3
09004	149	127	17	5
09005	219	185	23	11
09006	188	157	19	12
09007	152	125	20	7
09009	241	198	31	12
09011	143	108	27	8
09013	252	223	25	4
09014	271	219	38	14
09015	119	93	17	9
09016	189	155	25	9
09017	81	63	14	4
09018	137	105	25	7
09019	184	151	23	10
09022	229	195	24	10
09026	142	108	29	5
09028	112	84	18	10
09029	164	131	22	11
09031	139	106	27	6
09032	213	164	36	13
09033	138	114	21	3
09034	150	123	15	12
09035	217	168	31	18
09037	7	5	2	0
09038	185	158	20	7
09039	231	181	37	13
09040	255	214	30	11
09041	161	132	24	5
09043	160	121	26	13
09044	195	161	22	12
09045	145	103	32	10
09046	179	152	14	13
34001	250	210	31	9
34002	199	169	17	13
34003	195	163	22	10
34004	143	114	22	7
34005	178	152	20	6
34006	235	186	41	8
34007	249	217	31	1
34008	168	137	23	8
34009	152	132	10	10
34010	219	192	22	5
34011	154	120	26	8
34012	212	170	33	9
34013	216	173	29	14
34014	157	126	22	9
34015	160	123	30	7
34016	174	141	24	9
34017	264	209	32	23
34018	162	129	24	9
34019	208	165	31	12
34020	272	228	27	17
34021	276	243	25	8
34022	235	201	23	11
34023	178	155	16	7
34024	187	145	21	21
34025	330	273	41	16
34026	237	190	40	7
34027	180	145	23	12
34028	124	106	13	5
34029	176	146	17	13
34030	251	220	21	10
34031	159	123	28	8
34032	179	146	21	12
34033	163	125	25	13
34034	244	193	31	20
34035	211	164	32	15
34036	217	180	24	13
34037	120	99	16	5
34038	91	74	10	7
34039	137	116	17	4
34040	224	168	42	14
34041	134	108	13	13
34042	254	211	30	13
34043	230	195	31	4
34044	240	184	37	19
34045	210	160	34	16
34046	160	134	17	9
34047	179	150	22	7
34048	260	221	26	13
34049	218	174	32	12
34050	146	123	15	8
34051	254	194	43	17
34052	171	146	16	9
34053	114	90	19	5
