Precinct	total_votes	votes|Kimberly Neely Dubuclet
01001	174	174
01002	142	142
01003	192	192
01004	179	179
01005	153	153
01006	145	145
01007	119	119
01008	143	143
01009	150	150
01010	156	156
01011	165	165
01012	202	202
01013	82	82
01014	163	163
01015	158	158
01016	184	184
01017	160	160
01018	190	190
01019	189	189
01020	135	135
01021	159	159
01022	123	123
01023	252	252
01024	146	146
01025	151	151
01026	107	107
01027	176	176
01028	56	56
01029	189	189
01030	181	181
01031	191	191
01032	153	153
01033	163	163
01034	154	154
01035	193	193
01036	140	140
01037	168	168
01038	152	152
01039	143	143
01040	180	180
01041	111	111
01042	47	47
01043	97	97
01044	173	173
02001	167	167
02002	134	134
02003	194	194
02004	129	129
02005	174	174
02006	140	140
02007	150	150
02008	162	162
02009	101	101
02010	132	132
02011	160	160
02012	167	167
02013	143	143
02014	176	176
02015	163	163
02016	147	147
02017	204	204
02018	145	145
02019	103	103
02020	124	124
02021	177	177
02022	144	144
02023	107	107
02024	148	148
02025	166	166
02026	99	99
02027	127	127
02028	137	137
02029	153	153
02030	117	117
02031	180	180
02032	109	109
02033	251	251
02034	169	169
02035	129	129
02036	135	135
02037	130	130
02038	115	115
02039	94	94
02040	164	164
02041	106	106
02042	128	128
02043	150	150
02044	94	94
02045	179	179
02046	78	78
03001	280	280
03002	323	323
03003	167	167
03004	240	240
03005	123	123
03006	212	212
03007	178	178
03008	154	154
03009	217	217
03010	103	103
03011	213	213
03012	278	278
03013	234	234
03014	181	181
03015	198	198
03016	190	190
03017	215	215
03018	263	263
03019	181	181
03020	208	208
03021	244	244
03022	203	203
03023	172	172
03024	187	187
03025	296	296
03026	263	263
03027	203	203
03028	170	170
03029	192	192
03030	202	202
03031	242	242
03032	196	196
03033	190	190
03034	242	242
03035	73	73
03036	125	125
03037	175	175
03038	239	239
03039	259	259
03040	240	240
03041	194	194
04001	291	291
04002	230	230
04003	194	194
04004	302	302
04005	239	239
04006	297	297
04007	330	330
04008	278	278
04009	333	333
04010	312	312
04011	203	203
04012	241	241
04013	141	141
04014	248	248
04015	295	295
04016	249	249
04017	245	245
04018	233	233
04019	150	150
04020	209	209
04021	197	197
04022	227	227
04023	327	327
04024	219	219
04025	208	208
04026	223	223
04027	280	280
04028	195	195
04029	193	193
04030	263	263
04031	310	310
04032	241	241
04033	231	231
04034	228	228
04035	295	295
04036	273	273
04037	275	275
04038	276	276
05001	157	157
05002	135	135
05003	196	196
05004	265	265
05005	194	194
05006	167	167
05007	223	223
05008	241	241
05009	267	267
05010	161	161
05011	264	264
05012	137	137
05013	166	166
05014	220	220
05015	194	194
05016	171	171
05017	168	168
05018	208	208
05019	229	229
05020	258	258
05021	202	202
05022	279	279
05023	356	356
05024	241	241
05025	242	242
05026	231	231
05027	185	185
05028	259	259
05029	229	229
05030	145	145
05031	163	163
05032	279	279
05033	244	244
05034	208	208
05035	241	241
05036	113	113
05037	251	251
05038	188	188
05039	186	186
05040	162	162
05041	159	159
06001	225	225
06002	192	192
06003	220	220
06004	108	108
06005	93	93
06006	203	203
06007	182	182
06008	172	172
06009	149	149
06010	94	94
06011	147	147
06012	105	105
06013	132	132
06014	183	183
06015	108	108
06016	226	226
06017	110	110
06018	99	99
06019	158	158
06020	88	88
06021	80	80
06022	102	102
06023	66	66
06024	86	86
06025	84	84
06026	105	105
06027	90	90
06028	77	77
06029	237	237
06030	133	133
06031	233	233
06032	183	183
06033	190	190
06034	205	205
06035	179	179
06036	247	247
06037	236	236
06038	210	210
06039	139	139
06040	164	164
06041	187	187
06042	150	150
06043	141	141
06044	157	157
06045	184	184
06046	106	106
06047	130	130
06048	187	187
07001	155	155
07002	145	145
07003	228	228
07004	194	194
07005	150	150
07006	220	220
07007	137	137
07008	143	143
07009	291	291
07010	199	199
07011	145	145
07012	141	141
07013	125	125
07014	170	170
07015	179	179
07016	132	132
07017	123	123
07018	124	124
07019	186	186
07020	108	108
07021	144	144
07022	141	141
07023	218	218
07024	145	145
07025	112	112
07026	163	163
07027	158	158
07028	101	101
07029	140	140
07030	117	117
07031	97	97
07032	296	296
07033	294	294
07034	226	226
07035	185	185
07036	238	238
07037	199	199
07038	160	160
07039	160	160
07040	158	158
07041	161	161
07042	172	172
07043	181	181
07044	128	128
07045	129	129
07046	89	89
08001	139	139
08002	163	163
08003	267	267
08004	235	235
08005	239	239
08006	210	210
08007	252	252
08008	233	233
08009	158	158
08010	295	295
08011	178	178
08012	156	156
08013	202	202
08014	104	104
08015	174	174
08016	52	52
08017	191	191
08018	128	128
08019	257	257
08020	231	231
08021	230	230
08022	180	180
08023	165	165
08024	132	132
08025	162	162
08026	169	169
08027	225	225
08028	200	200
08029	244	244
08030	192	192
08031	158	158
08032	149	149
08033	188	188
08034	201	201
08035	229	229
08036	213	213
08037	189	189
08038	117	117
08039	198	198
08040	148	148
08041	200	200
08042	233	233
08043	80	80
08044	121	121
08045	148	148
08046	138	138
08047	156	156
08048	165	165
08049	186	186
08050	215	215
08051	234	234
08052	283	283
08053	106	106
08054	115	115
08055	172	172
08056	228	228
09001	184	184
09002	175	175
09003	114	114
09004	134	134
09005	188	188
09006	168	168
09007	140	140
09008	152	152
09009	203	203
09010	131	131
09011	133	133
09012	230	230
09013	221	221
09014	234	234
09015	98	98
09016	169	169
09017	121	121
09018	121	121
09019	167	167
09020	205	205
09021	163	163
09022	196	196
09023	227	227
09024	183	183
09025	177	177
09026	125	125
09027	157	157
09028	98	98
09029	137	137
09030	131	131
09031	115	115
09032	180	180
09033	122	122
09034	124	124
09035	192	192
09036	146	146
09037	230	230
09038	155	155
09039	197	197
09040	211	211
09041	137	137
09042	205	205
09043	141	141
09044	165	165
09045	121	121
09046	183	183
09047	230	230
09048	192	192
09049	177	177
09050	284	284
09051	198	198
10001	131	131
10002	130	130
10003	111	111
10004	106	106
10005	96	96
10006	99	99
10007	76	76
10008	65	65
10009	99	99
10010	115	115
10011	129	129
10012	70	70
10013	129	129
10014	137	137
10015	343	343
10016	81	81
10017	166	166
10018	81	81
10019	104	104
10020	124	124
10021	95	95
10022	74	74
10023	105	105
10024	101	101
10025	43	43
10026	84	84
10027	124	124
10028	133	133
10029	105	105
10030	102	102
10031	90	90
10032	107	107
10033	91	91
10034	72	72
10035	139	139
10036	36	36
11001	167	167
11002	13	13
11003	136	136
11004	158	158
11005	219	219
11006	189	189
11007	149	149
11008	146	146
11009	145	145
11010	148	148
11011	171	171
11012	219	219
11013	193	193
11014	61	61
11015	70	70
11016	103	103
11017	227	227
11018	139	139
11019	219	219
11020	120	120
11021	267	267
