Precinct	total_votes	votes|Theresa Mah
11001	203	203
11003	165	165
11004	191	191
11005	255	255
11008	175	175
11009	164	164
11010	190	190
11011	204	204
11014	129	129
11015	90	90
11016	126	126
11017	250	250
11018	175	175
11019	255	255
11020	148	148
11022	230	230
11023	149	149
11025	227	227
11026	274	274
11027	81	81
11030	93	93
11036	81	81
11037	86	86
11038	89	89
12001	195	195
12003	273	273
12004	207	207
12005	186	186
12006	5	5
12008	201	201
12009	162	162
12013	139	139
12017	66	66
12019	155	155
12021	175	175
12023	192	192
15005	85	85
15009	145	145
15013	104	104
15014	98	98
15015	100	100
20020	0	0
25001	176	176
25002	203	203
25005	201	201
25006	68	68
25007	188	188
25008	216	216
25009	179	179
25011	212	212
25012	180	180
25013	205	205
25014	155	155
25015	153	153
25017	229	229
25018	217	217
25019	203	203
25022	184	184
25023	231	231
25024	203	203
25026	157	157
25027	17	17
25028	210	210
25030	187	187
25032	166	166
28019	1	1
