Precinct	total_votes	votes|Silvana Tabares	votes|Rebecca Davies
11001	204	116	88
11004	188	122	66
11005	256	142	114
11008	179	115	64
11009	154	103	51
11010	172	109	63
11011	202	106	96
11012	287	191	96
11013	263	172	91
11015	81	49	32
11016	132	84	48
11017	246	123	123
11018	168	115	53
11019	251	137	114
11020	142	94	48
11021	314	202	112
11022	223	123	100
11023	144	95	49
11024	304	224	80
11025	232	136	96
11026	268	162	106
11027	71	45	26
11028	86	56	30
11029	285	218	67
11031	208	122	86
11032	107	79	28
11037	0	0	0
12001	194	130	64
12003	201	130	71
12004	223	153	70
12005	62	45	17
12008	4	2	2
12009	164	115	49
12019	161	119	42
12023	191	124	67
13001	180	135	45
13002	202	147	55
13003	150	121	29
13004	199	157	42
13005	224	175	49
13006	214	171	43
13007	140	111	29
13008	154	109	45
13009	164	120	44
13010	178	114	64
13011	216	160	56
13012	159	109	50
13013	212	192	20
13014	158	118	40
13015	301	264	37
13016	121	99	22
13017	179	128	51
13018	158	109	49
13020	117	81	36
13021	198	147	51
13022	204	128	76
13023	145	111	34
13024	186	140	46
13025	165	122	43
13026	171	126	45
13027	201	136	65
13028	150	122	28
13029	141	117	24
13030	169	152	17
13031	217	143	74
13032	166	120	46
13033	223	160	63
13034	299	273	26
13035	214	176	38
13036	114	84	30
13037	238	156	82
13038	168	110	58
13039	197	163	34
13040	209	160	49
13041	152	129	23
13042	196	139	57
13043	217	159	58
13044	243	219	24
13045	250	201	49
13046	227	186	41
13047	199	169	30
13048	205	141	64
14001	244	169	75
14004	229	156	73
14005	16	14	2
14007	188	144	44
14008	181	135	46
14009	242	159	83
14012	209	165	44
14018	89	54	35
14021	188	143	45
14022	224	148	76
14023	154	99	55
14024	261	184	77
14025	0	0	0
14026	145	115	30
14029	172	139	33
15001	156	124	32
15005	42	26	16
15008	57	40	17
15013	130	91	39
15014	113	81	32
15015	70	56	14
15016	171	120	51
15019	156	81	75
16001	92	69	23
16007	5	2	3
16023	106	72	34
16032	135	86	49
16035	56	27	29
18015	203	97	106
18024	146	90	56
18025	164	98	66
18030	158	79	79
18040	211	113	98
18043	120	73	47
18046	200	110	90
19001	184	96	88
19002	46	15	31
19003	116	62	54
19004	213	124	89
19005	83	37	46
19006	200	106	94
19007	197	96	101
19008	176	94	82
19009	169	83	86
19010	241	101	140
19011	151	74	77
19012	140	75	65
19015	206	108	98
19016	204	119	85
19017	155	78	77
19018	199	80	119
19019	277	105	172
19021	151	75	76
19022	237	98	139
19023	211	106	105
19024	150	88	62
19025	143	60	83
19026	207	85	122
19029	163	94	69
19030	161	84	77
19032	179	78	101
19033	167	84	83
19034	200	86	114
19035	227	111	116
19041	155	76	79
19044	188	107	81
19045	209	97	112
19046	213	107	106
19050	161	73	88
19051	238	107	131
19052	185	100	85
19053	204	100	104
19054	122	61	61
19055	149	78	71
19056	247	120	127
19057	169	60	109
20004	16	9	7
20015	66	48	18
20020	1	1	0
22001	117	31	86
22002	223	155	68
22008	250	138	112
22012	169	97	72
22023	238	69	169
23001	191	136	55
23002	167	117	50
23003	181	119	62
23004	206	130	76
23005	170	132	38
23006	171	119	52
23007	144	105	39
23008	215	145	70
23009	69	54	15
23010	207	144	63
23011	176	125	51
23012	197	149	48
23014	163	111	52
23015	109	83	26
23016	219	172	47
23017	54	45	9
23018	152	103	49
23019	93	64	29
23020	96	74	22
23021	214	160	54
23022	166	108	58
23023	181	108	73
23025	160	118	42
23026	158	111	47
23027	185	144	41
23028	169	107	62
23029	171	118	53
23030	190	143	47
23031	67	50	17
23032	154	110	44
23033	166	129	37
23034	82	59	23
23035	117	70	47
23036	180	134	46
23037	201	148	53
23038	153	105	48
23039	10	8	2
