Precinct	total_votes	votes|Michael Cabonargi
40004	101	101
40009	116	116
40010	101	101
40018	133	133
40022	223	223
40025	48	48
40026	230	230
40027	260	260
40028	237	237
40031	187	187
40033	268	268
40035	107	107
40036	201	201
40037	185	185
40039	43	43
41001	124	124
41002	134	134
41004	172	172
41005	148	148
41007	158	158
41008	154	154
41010	197	197
41011	98	98
41013	142	142
41015	190	190
41017	23	23
41018	126	126
41020	123	123
41023	53	53
41025	74	74
41028	105	105
41029	74	74
41031	178	178
41033	20	20
41034	138	138
41036	160	160
41037	170	170
41040	172	172
41041	116	116
41042	134	134
41043	140	140
41044	147	147
41045	67	67
44003	174	174
44004	188	188
44007	154	154
44024	170	170
44035	268	268
46001	172	172
46002	199	199
46004	200	200
46005	2	2
46006	140	140
46007	247	247
46008	146	146
46009	235	235
46011	168	168
46012	215	215
46013	187	187
46014	192	192
46015	200	200
46016	140	140
46017	254	254
46018	220	220
46020	162	162
46021	125	125
46022	116	116
46023	161	161
46024	166	166
46025	185	185
46026	210	210
46027	257	257
46029	174	174
46032	178	178
46034	216	216
46035	190	190
46037	157	157
46038	29	29
46040	211	211
47015	331	331
47019	305	305
47023	295	295
47030	155	155
48001	243	243
48002	111	111
48003	230	230
48004	228	228
48005	154	154
48006	275	275
48007	251	251
48008	138	138
48009	141	141
48010	344	344
48011	230	230
48012	285	285
48013	295	295
48014	123	123
48015	123	123
48016	216	216
48017	227	227
48018	159	159
48019	216	216
48020	308	308
48021	231	231
48022	258	258
48023	259	259
48024	210	210
48025	260	260
48026	92	92
48027	241	241
48028	221	221
48029	146	146
48030	227	227
48031	241	241
48032	223	223
48033	166	166
48034	199	199
48035	139	139
48036	158	158
48037	227	227
48038	295	295
48039	189	189
48040	234	234
48041	228	228
48042	322	322
48043	230	230
48044	310	310
48045	203	203
48046	144	144
49001	126	126
49002	145	145
49003	255	255
49004	265	265
49005	260	260
49006	217	217
49007	225	225
49008	158	158
49009	229	229
49010	251	251
49011	300	300
49012	326	326
49013	275	275
49014	200	200
49015	151	151
49016	243	243
49017	127	127
49018	313	313
49019	163	163
49020	355	355
49021	115	115
49022	242	242
49023	292	292
49024	149	149
49025	287	287
49026	250	250
49027	244	244
49028	295	295
49029	277	277
49030	279	279
49031	180	180
49032	222	222
49033	185	185
50001	138	138
50002	97	97
50003	141	141
50004	177	177
50005	92	92
50006	185	185
50007	246	246
50008	134	134
50009	137	137
50010	96	96
50011	101	101
50012	71	71
50013	131	131
50014	45	45
50015	215	215
50016	50	50
50017	95	95
50018	27	27
50019	91	91
50020	151	151
50021	134	134
50022	108	108
50023	80	80
50025	100	100
50026	113	113
50027	50	50
50028	124	124
50029	87	87
50030	83	83
50031	157	157
50032	136	136
50033	128	128
50034	213	213
50035	230	230
50036	162	162
50037	177	177
50038	78	78
50039	68	68
50040	120	120
