Precinct	total_votes	votes|Benjamin Thomas Wolf	votes|Mike Quigley	votes|Sameena Mustafa	votes|Steven J. Schwartzberg
41023	79	7	53	13	6
41024	138	14	99	19	6
41026	214	20	151	37	6
41027	118	18	71	24	5
41030	180	16	129	30	5
41032	165	19	113	23	10
41033	134	9	92	19	14
41035	246	23	187	26	10
41038	187	13	126	34	14
41039	232	27	149	40	16
41045	62	8	38	12	4
41046	242	19	176	34	13
41047	223	23	151	42	7
43002	194	9	131	50	4
43003	217	10	162	34	11
43004	232	18	164	42	8
43005	163	12	116	32	3
43006	147	15	89	37	6
43007	156	21	106	26	3
43008	195	16	144	29	6
43009	232	19	152	51	10
43010	270	22	184	47	17
43011	131	10	89	26	6
43012	159	17	97	40	5
43013	223	20	138	57	8
43014	246	8	167	60	11
43015	204	17	134	43	10
43016	158	13	97	42	6
43017	170	19	127	20	4
43018	248	11	182	43	12
43019	253	16	179	46	12
43020	219	10	156	46	7
43021	222	19	149	47	7
43022	139	15	90	31	3
43023	144	14	94	31	5
43024	150	15	96	31	8
43025	222	17	160	32	13
43026	169	10	134	15	10
43027	212	14	145	39	14
43028	240	20	164	45	11
43029	192	10	137	38	7
43030	206	21	142	34	9
43031	236	23	158	37	18
43032	253	15	164	62	12
43034	193	8	138	36	11
43036	91	6	54	28	3
43037	194	18	119	46	11
43038	203	13	154	15	21
43039	145	13	88	40	4
43040	154	11	89	48	6
43041	298	12	213	55	18
43042	217	16	134	60	7
43043	256	12	189	38	17
43044	213	8	156	38	11
43046	104	5	75	16	8
44001	387	35	227	111	14
44002	252	18	168	57	9
44005	259	18	164	65	12
44006	306	16	182	103	5
44008	333	30	202	92	9
44009	202	15	145	37	5
44010	206	18	133	49	6
44011	244	16	165	57	6
44012	280	19	194	53	14
44013	163	12	108	41	2
44014	179	20	107	48	4
44015	245	13	153	63	16
44016	269	22	181	60	6
44017	385	31	252	90	12
44018	226	17	133	73	3
44019	331	15	208	94	14
44020	229	11	130	82	6
44021	280	23	171	77	9
44022	319	22	206	73	18
44023	235	15	148	62	10
44025	235	18	143	71	3
44026	257	25	154	76	2
44027	293	18	187	84	4
44028	245	14	137	85	9
44029	211	13	138	55	5
44030	251	19	164	59	9
44031	193	13	130	46	4
44032	264	24	139	88	13
44033	248	24	136	86	2
44034	298	24	194	70	10
44036	226	20	121	80	5
44037	290	16	198	73	3
44038	184	10	121	48	5
44039	214	14	145	49	6
44040	182	13	119	47	3
44041	287	20	166	94	7
45003	224	15	141	57	11
45004	280	17	191	65	7
45005	259	20	184	50	5
45006	306	15	205	74	12
45007	345	29	221	85	10
45008	12	1	7	4	0
45011	138	7	85	38	8
45012	221	22	147	39	13
45013	209	20	151	32	6
45014	252	24	167	45	16
45015	304	16	216	60	12
45016	207	23	124	54	6
45017	215	27	128	51	9
45018	186	30	110	32	14
45019	98	16	52	29	1
45020	133	24	76	31	2
45021	194	16	127	44	7
45022	181	19	115	37	10
45023	185	21	112	41	11
45024	160	16	111	23	10
45025	129	9	98	18	4
45026	105	14	67	18	6
45027	166	14	115	27	10
45028	140	10	79	43	8
45029	121	11	85	20	5
45030	185	20	114	46	5
45031	160	27	106	21	6
45032	153	17	82	50	4
45033	138	18	79	37	4
45034	215	27	122	54	12
45035	231	27	149	46	9
45036	228	23	153	38	14
45037	191	24	114	43	10
45038	159	20	97	36	6
45039	172	14	118	31	9
45040	203	32	126	36	9
45041	173	17	114	33	9
45042	196	13	135	33	15
45043	201	27	134	31	9
45044	181	26	123	18	14
45045	105	12	73	16	4
45046	132	8	95	24	5
45047	133	14	90	17	12
45048	134	16	94	17	7
46003	344	25	227	72	20
46005	251	26	153	67	5
46010	318	25	187	100	6
46012	44	1	27	14	2
