Precinct	total_votes	votes|Michael W. Frerichs	votes|Jim Dodge	votes|Michael Leheney
01001	584	493	59	32
01002	462	419	28	15
01003	636	523	92	21
01004	623	528	75	20
01005	649	533	93	23
01006	548	428	94	26
01007	406	338	39	29
01008	498	404	78	16
01009	427	363	46	18
01010	732	602	108	22
01011	660	528	108	24
01012	659	536	100	23
01013	256	220	28	8
01014	530	444	69	17
01015	507	420	72	15
01016	657	570	57	30
01017	477	424	35	18
01018	529	471	38	20
01019	636	547	60	29
01020	441	386	38	17
01021	769	633	104	32
01022	357	310	36	11
01023	761	663	70	28
01024	471	420	35	16
01025	549	479	55	15
01026	346	306	25	15
01027	599	501	75	23
01028	145	128	11	6
01029	667	557	90	20
01030	589	521	49	19
01031	510	426	66	18
01032	544	432	85	27
01033	646	528	100	18
01034	447	397	31	19
01035	683	542	106	35
01036	590	478	86	26
01037	579	452	107	20
01038	537	436	72	29
01039	494	413	66	15
01040	546	411	107	28
01041	326	286	20	20
01042	177	144	23	10
01043	351	293	42	16
01044	502	438	46	18
02001	642	509	102	31
02002	450	331	108	11
02003	661	539	90	32
02004	513	428	62	23
02005	681	568	95	18
02006	551	457	74	20
02007	540	427	86	27
02008	673	520	107	46
02009	532	350	159	23
02010	487	311	170	6
02011	629	431	191	7
02012	531	435	78	18
02013	506	368	126	12
02014	604	487	97	20
02015	554	450	85	19
02016	511	422	72	17
02017	680	565	94	21
02018	563	415	136	12
02019	438	282	145	11
02020	647	460	157	30
02021	596	499	74	23
02022	628	454	159	15
02023	414	281	130	3
02024	535	397	122	16
02025	613	487	102	24
02026	523	383	124	16
02027	532	346	170	16
02028	643	462	164	17
02029	645	465	164	16
02030	482	317	150	15
02031	669	449	199	21
02032	447	310	126	11
02033	850	587	244	19
02034	465	322	132	11
02035	736	512	194	30
02036	645	457	171	17
02037	529	378	133	18
02038	536	360	167	9
02039	402	240	153	9
02040	783	563	198	22
02041	585	417	159	9
02042	641	472	148	21
02043	772	530	225	17
02044	361	246	103	12
02045	664	484	150	30
02046	320	202	108	10
03001	638	586	31	21
03002	596	569	17	10
03003	436	391	36	9
03004	538	515	14	9
03005	306	288	10	8
03006	728	550	152	26
03007	320	299	7	14
03008	408	382	11	15
03009	508	472	20	16
03010	229	219	7	3
